agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[2.0, 1.5707963267948966]",100.0,1.85,0.2757569043208013,0.00015604850640448778
0,"[2.0, 1.5707963267948966]",600.0,10.61,0.271202795493422,1.4052258722204578e-05
0,"[2.0, 1.5707963267948966]",1100.0,19.94,0.26887014464523795,5.920368138449346e-06
0,"[2.0, 1.5707963267948966]",1600.0,27.02,0.27120400479443785,3.2030755924979155e-06
0,"[2.0, 1.5707963267948966]",2100.0,35.34,0.2730433899526772,1.3437963750472807e-05
0,"[2.0, 1.5707963267948966]",2600.0,43.4,0.27176678195185333,3.7098911568557086e-06
0,"[2.0, 1.5707963267948966]",3100.0,51.66,0.2695931518324218,4.641068388229262e-06
0,"[2.0, 1.5707963267948966]",3600.0,58.73,0.2668864266221128,4.269179246532147e-06
0,"[2.0, 1.5707963267948966]",4100.0,65.97,0.2644297811771188,1.615662268794673e-06
0,"[2.0, 1.5707963267948966]",4600.0,73.34,0.2639706831832159,1.1239295842872463e-06
0,"[0.0, -1.5707963267948966]",100.0,1.85,0.27451741422449,9.240210942924746e-05
0,"[0.0, -1.5707963267948966]",600.0,10.61,0.2677572936954992,2.504152148421665e-05
0,"[0.0, -1.5707963267948966]",1100.0,19.94,0.26528311640166885,7.076142755912141e-06
0,"[0.0, -1.5707963267948966]",1600.0,27.02,0.2659520302111244,2.222032208214212e-06
0,"[0.0, -1.5707963267948966]",2100.0,35.34,0.26665148410669903,4.904353064841346e-06
0,"[0.0, -1.5707963267948966]",2600.0,43.4,0.26540584231255576,2.1121320215252893e-06
0,"[0.0, -1.5707963267948966]",3100.0,51.66,0.2640562526989963,2.806172604020839e-06
0,"[0.0, -1.5707963267948966]",3600.0,58.73,0.26119789783861636,9.015830296641141e-07
0,"[0.0, -1.5707963267948966]",4100.0,65.97,0.25865281935729106,1.1913234299728609e-06
0,"[0.0, -1.5707963267948966]",4600.0,73.34,0.25661613312105946,1.4919946272626725e-06
0,"[0.0, 1.5707963267948966]",100.0,1.85,0.27562968605482685,6.284409622168428e-05
0,"[0.0, 1.5707963267948966]",600.0,10.61,0.26524178731469233,1.4475001829519984e-05
0,"[0.0, 1.5707963267948966]",1100.0,19.94,0.2648859049467656,9.98069602614776e-06
0,"[0.0, 1.5707963267948966]",1600.0,27.02,0.26358150892535454,4.597694176661151e-06
0,"[0.0, 1.5707963267948966]",2100.0,35.34,0.26244546615039577,3.925842573951346e-06
0,"[0.0, 1.5707963267948966]",2600.0,43.4,0.2626064135472218,3.3468742877578697e-06
0,"[0.0, 1.5707963267948966]",3100.0,51.66,0.262266194920353,4.118068384664015e-06
0,"[0.0, 1.5707963267948966]",3600.0,58.73,0.2595637417538345,2.0489685572943337e-06
0,"[0.0, 1.5707963267948966]",4100.0,65.97,0.2571902332596939,9.860264839076689e-07
0,"[0.0, 1.5707963267948966]",4600.0,73.34,0.25506233148383667,1.888589591930705e-06
0,"[0.0, 0.0]",100.0,1.85,0.27659789074835855,0.00015013672996971276
0,"[0.0, 0.0]",600.0,10.61,0.2683020555009997,2.2390320995382128e-05
0,"[0.0, 0.0]",1100.0,19.94,0.264259759570472,2.0889209623994892e-05
0,"[0.0, 0.0]",1600.0,27.02,0.2650668312808459,1.8038856218109992e-05
0,"[0.0, 0.0]",2100.0,35.34,0.26497167838635305,7.407693223742571e-06
0,"[0.0, 0.0]",2600.0,43.4,0.2657723101123082,4.4188333375617e-06
0,"[0.0, 0.0]",3100.0,51.66,0.2643292676090697,4.5024315577041574e-06
0,"[0.0, 0.0]",3600.0,58.73,0.2609737320363904,1.7251812412912991e-06
0,"[0.0, 0.0]",4100.0,65.97,0.25956369185500394,2.2177337246285e-06
0,"[0.0, 0.0]",4600.0,73.34,0.258571501468684,1.46458637407169e-06
0,"[1.0, 0.0]",100.0,1.85,0.2857599250738592,0.000165347831058999
0,"[1.0, 0.0]",600.0,10.61,0.2691693836553016,2.8257271755019994e-05
0,"[1.0, 0.0]",1100.0,19.94,0.268573514396075,1.5941082603434206e-05
0,"[1.0, 0.0]",1600.0,27.02,0.2689277142895251,1.7295277998166574e-05
0,"[1.0, 0.0]",2100.0,35.34,0.2676622275099088,1.5794933018108264e-05
0,"[1.0, 0.0]",2600.0,43.4,0.2671029644323581,4.4402273711061906e-06
0,"[1.0, 0.0]",3100.0,51.66,0.26669951925880253,3.408236724817246e-06
0,"[1.0, 0.0]",3600.0,58.73,0.2654017768025624,3.8010188822345123e-06
0,"[1.0, 0.0]",4100.0,65.97,0.2622379381981975,6.556358194495093e-07
0,"[1.0, 0.0]",4600.0,73.34,0.2617903331542982,1.9651869023008208e-06
0,"[2.0, 0.0]",100.0,1.85,0.2810198606829616,0.0002531008811759248
0,"[2.0, 0.0]",600.0,10.61,0.2771138460871846,3.565952769524581e-05
0,"[2.0, 0.0]",1100.0,19.94,0.27374290866698614,1.1077556236260884e-05
0,"[2.0, 0.0]",1600.0,27.02,0.27424951250258184,4.730285091675951e-06
0,"[2.0, 0.0]",2100.0,35.34,0.2753595598549547,8.508668930292316e-06
0,"[2.0, 0.0]",2600.0,43.4,0.27410364316982777,5.962437354418116e-06
0,"[2.0, 0.0]",3100.0,51.66,0.2732554016201804,4.6525271693907e-06
0,"[2.0, 0.0]",3600.0,58.73,0.2710710701538348,1.6622043864575915e-06
0,"[2.0, 0.0]",4100.0,65.97,0.26953735585337235,1.4596402043860047e-06
0,"[2.0, 0.0]",4600.0,73.34,0.2686904152018101,4.526677460561416e-06
0,"[2.0, -1.5707963267948966]",100.0,1.85,0.26863428796028815,0.00015617756811749816
0,"[2.0, -1.5707963267948966]",600.0,10.61,0.27495669456799365,2.768288877880619e-06
0,"[2.0, -1.5707963267948966]",1100.0,19.94,0.27427188786374795,1.3681291027021153e-05
