agent,action,num_iter,runtime,payoff_mean,payoff_var
0,"[1.0, -1.5707963267948966]",100.0,1.44,0.5185214420161877,0.00023367625536684756
0,"[1.0, -1.5707963267948966]",600.0,8.29,0.5093860657534106,4.0257181434504334e-05
0,"[1.0, -1.5707963267948966]",1100.0,17.82,0.5054591353920904,5.681237656672564e-06
0,"[1.0, -1.5707963267948966]",1600.0,24.22,0.49760320555845017,1.4253480118405247e-05
0,"[1.0, -1.5707963267948966]",2100.0,28.46,0.49140715032174176,6.9046113021549e-06
0,"[1.0, -1.5707963267948966]",2600.0,32.06,0.4876584918268074,4.460684515248374e-07
0,"[1.0, -1.5707963267948966]",3100.0,37.67,0.4839621410033669,3.7371814850221144e-06
0,"[1.0, -1.5707963267948966]",3600.0,42.79,0.4821039330904937,2.2066558584297864e-06
0,"[1.0, -1.5707963267948966]",4100.0,48.38,0.4795003888520606,4.322953437899532e-06
0,"[1.0, -1.5707963267948966]",4600.0,48.95,0.4784599949541762,1.0714872121385852e-06
0,"[1.0, 0.0]",100.0,1.44,0.4796387038530245,0.0004004819085664575
0,"[1.0, 0.0]",600.0,8.29,0.4896235653684293,0.00010391776258963178
0,"[1.0, 0.0]",1100.0,17.82,0.48594158224066525,3.155319815109024e-05
0,"[1.0, 0.0]",1600.0,24.22,0.47828637106425675,1.2713858494062331e-05
0,"[1.0, 0.0]",2100.0,28.46,0.4746623559162594,8.131876938067976e-06
0,"[1.0, 0.0]",2600.0,32.06,0.47141818643055133,4.348859184785065e-06
0,"[1.0, 0.0]",3100.0,37.67,0.47226520653408005,9.686950503479061e-06
0,"[1.0, 0.0]",3600.0,42.79,0.4683791800852945,9.376303551251495e-06
0,"[1.0, 0.0]",4100.0,48.38,0.4681584593003292,1.158086280454782e-05
0,"[1.0, 0.0]",4600.0,48.95,0.4668379774710779,5.9666619472273006e-06
0,"[0.0, 0.0]",100.0,1.44,0.5272374326442485,0.00014190425984091808
0,"[0.0, 0.0]",600.0,8.29,0.5121256889518315,2.8307256692297313e-05
0,"[0.0, 0.0]",1100.0,17.82,0.5066996916621571,6.288584109029316e-06
0,"[0.0, 0.0]",1600.0,24.22,0.4989167318367255,4.063742041499895e-06
0,"[0.0, 0.0]",2100.0,28.46,0.4912246835684321,5.43474945889008e-06
0,"[0.0, 0.0]",2600.0,32.06,0.48783500407350217,5.775613854867442e-06
0,"[0.0, 0.0]",3100.0,37.67,0.484721551035258,1.5260165060224822e-06
0,"[0.0, 0.0]",3600.0,42.79,0.4819115412261972,3.5550260512797504e-06
0,"[0.0, 0.0]",4100.0,48.38,0.48060056036582355,3.4472677127504943e-06
0,"[0.0, 0.0]",4600.0,48.95,0.47922165323203014,4.078603397800008e-06
0,"[0.0, -1.5707963267948966]",100.0,1.44,0.5255377428480739,0.00011914535110015725
0,"[0.0, -1.5707963267948966]",600.0,8.29,0.5127263001138624,6.974948551807894e-06
0,"[0.0, -1.5707963267948966]",1100.0,17.82,0.5116910481573949,3.233351361795215e-06
0,"[0.0, -1.5707963267948966]",1600.0,24.22,0.5026593415396581,3.8108139600548185e-06
0,"[0.0, -1.5707963267948966]",2100.0,28.46,0.495802369709342,6.789062846218647e-07
