game_length,weight_final,agent,action,num_iter,runtime,sum_payoffs,num_count,expected_payoff,num_run
2,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.38,78.4852941051811,602,0.13037424269963638,0
2,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.38,664.0441175415849,2998,0.22149570298251664,0
2,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.38,665.1764704825816,3000,0.22172549016086054,0
2,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.38,78.1764705758185,600,0.13029411762636417,0
1,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.26,112.8235293938447,755,0.14943513826999297,0
1,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.26,628.3529410766657,2845,0.22086219370005825,0
1,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.26,628.9705881353912,2847,0.22092398599767865,0
1,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.26,112.41176468802774,753,0.14928521206909395,0
2,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.39,665.1764704825815,3002,0.22157777164642956,1
2,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.39,77.6617646935472,598,0.12986917172833978,1
2,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.39,665.4852940119443,3001,0.22175451316625935,1
2,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.39,77.97058822291,599,0.1301679269163773,1
1,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.29,370.073529352984,1798,0.20582509975138152,1
1,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.29,371.10294111752637,1802,0.20593947897753961,1
1,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.29,370.073529352984,1798,0.20582509975138152,1
1,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.29,371.10294111752637,1802,0.20593947897753961,1
2,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.38,662.9411763652896,3000,0.2209803921217632,2
2,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.38,77.69117645824848,600,0.1294852940970808,2
2,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.38,76.17647057613613,591,0.12889419725234538,2
2,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.38,666.9264704823036,3009,0.22164389181864524,2
1,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.25,87.70588233901057,645,0.13597811215350475,2
1,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.25,653.161764602137,2955,0.22103613015300747,2
1,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.25,654.2941175431337,2958,0.2211947659036963,2
1,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.25,87.19117645673938,642,0.13581180133448503,2
2,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.37,76.6617646937061,594,0.12906020992206416,3
2,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.37,665.4852940119442,3006,0.2213856600172802,3
2,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.37,665.8970587177613,3005,0.2215963589742966,3
2,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.37,76.86764704661461,595,0.1291893227674195,3
1,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.25,683.0147057738659,3092,0.22089738220370825,3
1,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.25,57.955882343735894,508,0.11408638256640924,3
1,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.25,57.955882343735894,508,0.11408638256640924,3
1,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.25,683.2205881267744,3092,0.22096396769947424,3
2,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.4,663.9411763651307,2995,0.22168319745079487,5
2,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.4,79.23529410506201,605,0.13096742827282976,5
2,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.4,660.1617646010252,2984,0.22123383532205937,5
2,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.4,81.3676470458998,616,0.1320903361134737,5
1,0.7000000000000001,0,"[1.0, 0.0]",3600.0,0.27,628.3529410766657,2845,0.22086219370005825,5
1,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.27,112.82352939384465,755,0.1494351382699929,5
1,0.7000000000000001,1,"[1.0, 0.0]",3600.0,0.27,628.9705881353912,2847,0.22092398599767865,5
1,0.7000000000000001,1,"[0.0, 0.0]",3600.0,0.27,112.4117646880277,753,0.1492852120690939,5
2,0.7000000000000001,0,"[0.0, 0.0]",3600.0,0.39,96.60294116112696,683,0.14143915250531033,6
