game_length,weight_final,agent,action,num_iter,gamma_exp3,runtime,sum_payoffs,num_count,expected_payoff,num_run
2,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.68,787.2499998818815,2879,0.2734456408064889,0
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.68,110.7499999833881,721,0.15360610261218877,0
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.68,792.6249998810753,2877,0.27550399717798935,0
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.68,111.37499998329444,723,0.15404564313042107,0
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.4,784.4999998822941,2825,0.277699115002582,0
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.4,117.74999998233862,775,0.15193548384817887,0
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.4,777.7499998833068,2807,0.27707516917823544,0
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.4,119.99999998200119,793,0.15132408572761813,0
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.69,104.87499998426932,704,0.14897017043220073,1
2,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.69,802.9999998795184,2896,0.2772790054832591,1
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.69,108.49999998372567,737,0.14721845316652057,1
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.69,785.3749998821635,2863,0.27431889622150313,1
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.42,790.1249998814501,2870,0.2753048780074739,1
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.42,111.49999998327581,730,0.1527397260044874,1
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.42,113.37499998299464,745,0.1521812080308653,1
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.42,784.7499998822566,2855,0.2748686514473753,1
2,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.67,794.6249998807752,2867,0.2771625391980381,2
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.67,113.24999998301321,733,0.154502046361546,2
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.67,771.6249998842263,2802,0.2753836544911586,2
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.67,122.99999998155076,798,0.1541353383227453,2
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.41,787.7499998818066,2853,0.27611286361086806,2
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.41,115.12499998273233,747,0.1541164658403378,2
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.41,779.1249998831008,2830,0.2753091872378448,2
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.41,117.99999998230116,770,0.15324675322376774,2
2,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.68,776.3749998835137,2834,0.2739502469596026,3
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.68,117.24999998241333,766,0.15306788509453437,3
2,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.68,114.7499999827882,740,0.15506756754430837,3
2,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.68,793.3749998809624,2860,0.27740384611222463,3
1,1.0,0,"[1.0, 0.0]",3600.0,0.4,0.4,779.249999883082,2812,0.2771159316796166,3
1,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.4,120.12499998198254,788,0.15244289337815042,3
1,1.0,1,"[1.0, 0.0]",3600.0,0.4,0.4,781.1249998828005,2817,0.27728966981995046,3
1,1.0,1,"[0.0, 0.0]",3600.0,0.4,0.4,119.49999998207619,783,0.15261813535386487,3
2,1.0,0,"[0.0, 0.0]",3600.0,0.4,0.67,112.7499999830882,751,0.15013315576975791,5
