timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,38.51155161857605,5,"[0, 0]",38.515758752822876,1,"[[1.0, 2.0, 0.0, 0], [4.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, -1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
1,28.54131007194519,4,"[0, 0]",28.54545545578003,2,"[[4.0, 2.0, 0.0, 1], [7.0, 2.0, 0.0, 2]]","[[2.0, 4.0, 0.0, 1], [3.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
2,18.4474618434906,3,"[0, 0]",18.451491594314575,3,"[[7.0, 2.0, 0.0, 2], [10.0, 2.0, 0.0, 3]]","[[3.0, 4.0, 0.0, 2], [4.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.8645833332036451, 0.6354166665713541]]",[1.0],[1.0],[0.7291666666666661],[0.27083333333333304],0,0,5
3,6.320460557937622,2,"[0, 0]",6.324859619140625,4,"[[10.0, 2.0, 0.0, 3], [13.0, 2.0, 1.57, 4]]","[[4.0, 4.0, -1.57, 3], [4.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.9166666665291661, 0.583333333245833]]",[1.0],[1.0],[0.833333333333333],[0.16666666666666602],0,0,5
4,0.9094972610473631,1,"[1, 0]",0.9139430522918701,5,"[[13.0, 2.0, 1.57, 4], [13.0, 5.0, -0.0, 5]]","[[4.0, 3.0, 0.0, 4], [5.0, 3.0, 1.57, 5]]","[[0.499999999925, 0.499999999925], [0.9166666665291661, 0.583333333245833]]",[1.0],[1.0],[0.833333333333333],[0.16666666666666602],0,0,5
0,38.31949257850647,5,"[0, 0]",38.32343649864197,1,"[[1.0, 2.0, 0.0, 0], [4.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,1,5
1,28.54558277130127,4,"[0, 0]",28.549643516540527,2,"[[4.0, 2.0, 0.0, 1], [7.0, 2.0, 0.0, 2]]","[[2.0, 4.0, 0.0, 1], [3.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,1,5
2,17.842323541641235,3,"[0, 0]",17.846552848815918,3,"[[7.0, 2.0, 0.0, 2], [10.0, 2.0, 0.0, 3]]","[[3.0, 4.0, 0.0, 2], [4.0, 4.0, -1.57, 3]]","[[0.499999999925, 0.499999999925], [0.8645833332036451, 0.6354166665713541]]",[1.0],[1.0],[0.7291666666666661],[0.27083333333333304],0,1,5
3,6.351425886154175,2,"[0, 0]",6.355478525161743,4,"[[10.0, 2.0, 0.0, 3], [13.0, 2.0, 1.57, 4]]","[[4.0, 4.0, -1.57, 3], [4.0, 3.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.9166666665291661, 0.583333333245833]]",[1.0],[1.0],[0.833333333333333],[0.16666666666666602],0,1,5
4,0.9090473651885981,1,"[1, 0]",0.9135034084320061,5,"[[13.0, 2.0, 1.57, 4], [13.0, 5.0, 3.14, 5]]","[[4.0, 3.0, 0.0, 4], [5.0, 3.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.9166666665291661, 0.583333333245833]]",[1.0],[1.0],[0.833333333333333],[0.16666666666666602],0,1,5
0,37.00176119804382,5,"[0, 0]",37.005377531051636,1,"[[1.0, 2.0, 0.0, 0], [4.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,8
1,27.918736934661865,4,"[0, 0]",27.922449111938477,2,"[[4.0, 2.0, 0.0, 1], [7.0, 2.0, 0.0, 2]]","[[2.0, 4.0, 0.0, 1], [3.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,8
2,17.438069105148315,3,"[0, 0]",17.44205617904663,3,"[[7.0, 2.0, 0.0, 2], [10.0, 2.0, 0.0, 3]]","[[3.0, 4.0, 0.0, 2], [4.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.8645833332036451, 0.6354166665713541]]",[1.0],[1.0],[0.7291666666666661],[0.27083333333333304],0,0,8
3,6.163009881973267,2,"[0, 0]",6.166883707046509,4,"[[10.0, 2.0, 0.0, 3], [13.0, 2.0, 1.57, 4]]","[[4.0, 4.0, 0.0, 3], [5.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.8958333331989581, 0.604166666576041]]",[1.0],[1.0],[0.7916666666666661],[0.208333333333333],0,0,8
4,0.9105763435363771,1,"[1, 0]",0.913939952850341,5,"[[13.0, 2.0, 1.57, 4], [13.0, 5.0, -0.0, 5]]","[[5.0, 4.0, 0.0, 4], [6.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.8958333331989581, 0.604166666576041]]",[1.0],[1.0],[0.7916666666666661],[0.208333333333333],0,0,8
0,36.932669162750244,5,"[0, 0]",36.93682932853699,1,"[[1.0, 2.0, 0.0, 0], [4.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,1,8
1,27.793351888656616,4,"[0, 0]",27.79689908027649,2,"[[4.0, 2.0, 0.0, 1], [7.0, 2.0, 0.0, 2]]","[[2.0, 4.0, 0.0, 1], [3.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,1,8
