Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,524,239.88812877413287,"[1.0, 1.57]",0,0,5,0.16903225806451613
1,0,376,160.20777847242448,"[0.0, -1.57]",0,0,5,0.12129032258064516
2,0,360,151.69254509334257,"[0.0, 1.57]",0,0,5,0.11612903225806452
3,0,510,232.25385020504064,"[1.0, -1.57]",0,0,5,0.16451612903225807
4,0,509,231.73061594375557,"[0.0, 0.0]",0,0,5,0.16419354838709677
5,0,821,404.77151830474673,"[1.0, 0.0]",0,0,5,0.26483870967741935
6,1,411,167.62570840902868,"[1.0, 0.0]",0,0,5,0.1325806451612903
7,1,523,225.0655879723452,"[1.0, -1.57]",0,0,5,0.16870967741935483
8,1,602,266.29715490559266,"[0.0, -1.57]",0,0,5,0.19419354838709676
9,1,494,210.12555198579452,"[0.0, 0.0]",0,0,5,0.15935483870967743
10,1,581,255.32472740446244,"[0.0, 1.57]",0,0,5,0.18741935483870967
11,1,489,207.53707767201084,"[1.0, 1.57]",0,0,5,0.15774193548387097
0,0,273,104.47015685587849,"[0.0, 1.57]",1,0,5,0.08806451612903225
1,0,707,335.5394052029191,"[1.0, 1.57]",1,0,5,0.22806451612903225
2,0,397,168.34935970545163,"[0.0, -1.57]",1,0,5,0.12806451612903225
3,0,756,362.5907690538625,"[1.0, 0.0]",1,0,5,0.24387096774193548
4,0,267,101.44239015203372,"[0.0, 0.0]",1,0,5,0.08612903225806452
5,0,700,331.6933732474963,"[1.0, -1.57]",1,0,5,0.22580645161290322
6,1,524,202.26530306747927,"[0.0, 0.0]",1,0,5,0.16903225806451613
7,1,475,179.1635950637415,"[1.0, -1.57]",1,0,5,0.1532258064516129
8,1,479,181.02193950049733,"[0.0, -1.57]",1,0,5,0.15451612903225806
9,1,508,194.70978162793577,"[0.0, 1.57]",1,0,5,0.1638709677419355
10,1,556,217.47478624082189,"[1.0, 1.57]",1,0,5,0.17935483870967742
11,1,558,218.3489289648257,"[1.0, 0.0]",1,0,5,0.18
0,0,524,237.34924388364772,"[1.0, 1.57]",2,0,5,0.16903225806451613
1,0,525,237.9027692095647,"[1.0, -1.57]",2,0,5,0.1693548387096774
2,0,514,231.9108457467133,"[0.0, 0.0]",2,0,5,0.16580645161290322
3,0,484,215.73831371988933,"[0.0, 1.57]",2,0,5,0.15612903225806452
4,0,486,216.86412719147032,"[0.0, -1.57]",2,0,5,0.1567741935483871
5,0,567,260.6665572869004,"[1.0, 0.0]",2,0,5,0.1829032258064516
6,1,508,181.69965053524447,"[1.0, 1.57]",2,0,5,0.1638709677419355
7,1,472,165.6258336741556,"[1.0, 0.0]",2,0,5,0.15225806451612903
8,1,517,185.6697805251488,"[1.0, -1.57]",2,0,5,0.1667741935483871
9,1,541,196.48996357027565,"[0.0, 1.57]",2,0,5,0.17451612903225808
10,1,546,198.676459466448,"[0.0, -1.57]",2,0,5,0.1761290322580645
11,1,516,185.3207271239512,"[0.0, 0.0]",2,0,5,0.1664516129032258
0,0,476,198.8440727866728,"[0.0, -1.57]",3,0,5,0.15354838709677418
1,0,532,227.5316565431196,"[1.0, 1.57]",3,0,5,0.17161290322580644
2,0,475,198.2877869200061,"[0.0, 1.57]",3,0,5,0.1532258064516129
3,0,514,218.21802015926644,"[0.0, 0.0]",3,0,5,0.16580645161290322
4,0,529,225.9381307048584,"[1.0, -1.57]",3,0,5,0.1706451612903226
5,0,574,249.10683253738333,"[1.0, 0.0]",3,0,5,0.18516129032258064
6,1,500,160.54298706216906,"[0.0, -1.57]",3,0,5,0.16129032258064516
7,1,495,158.51487534622325,"[1.0, -1.57]",3,0,5,0.1596774193548387
8,1,550,181.1816311543233,"[1.0, 1.57]",3,0,5,0.1774193548387097
9,1,549,180.85971076862165,"[0.0, 1.57]",3,0,5,0.17709677419354838
10,1,519,168.35742838524698,"[0.0, 0.0]",3,0,5,0.16741935483870968
11,1,487,155.2451845942136,"[1.0, 0.0]",3,0,5,0.1570967741935484
0,0,531,214.175948804374,"[1.0, -1.57]",4,0,5,0.17129032258064517
1,0,514,205.881084817368,"[0.0, 0.0]",4,0,5,0.16580645161290322
2,0,475,186.78268960323263,"[0.0, -1.57]",4,0,5,0.1532258064516129
3,0,479,188.7293579859404,"[0.0, 1.57]",4,0,5,0.15451612903225806
4,0,525,211.24518455006347,"[1.0, 1.57]",4,0,5,0.1693548387096774
5,0,576,236.33903140479964,"[1.0, 0.0]",4,0,5,0.18580645161290324
6,1,469,132.3285875464005,"[0.0, -1.57]",4,0,5,0.15129032258064515
7,1,506,146.18245725282196,"[1.0, -1.57]",4,0,5,0.16322580645161291
8,1,561,167.1282742429295,"[1.0, 0.0]",4,0,5,0.18096774193548387
9,1,536,157.61494890335675,"[1.0, 1.57]",4,0,5,0.17290322580645162
10,1,500,143.96913834840436,"[0.0, 1.57]",4,0,5,0.16129032258064516
11,1,528,154.51678073407177,"[0.0, 0.0]",4,0,5,0.1703225806451613
0,0,484,179.301948941355,"[0.0, -1.57]",5,0,5,0.15612903225806452
1,0,538,204.36590223984456,"[1.0, -1.57]",5,0,5,0.1735483870967742
2,0,524,197.85508568957152,"[0.0, 0.0]",5,0,5,0.16903225806451613
3,0,485,179.77546287228407,"[0.0, 1.57]",5,0,5,0.15645161290322582
4,0,533,201.8404946082237,"[1.0, 0.0]",5,0,5,0.17193548387096774
5,0,536,203.45115941873203,"[1.0, 1.57]",5,0,5,0.17290322580645162
6,1,522,136.57329538626365,"[1.0, 0.0]",5,0,5,0.16838709677419356
7,1,542,143.54088547596817,"[1.0, 1.57]",5,0,5,0.17483870967741935
8,1,539,142.46830467787916,"[0.0, 0.0]",5,0,5,0.17387096774193547
9,1,514,133.7441692231879,"[1.0, -1.57]",5,0,5,0.16580645161290322
10,1,505,130.6483925384021,"[0.0, 1.57]",5,0,5,0.1629032258064516
11,1,478,120.96407605710488,"[0.0, -1.57]",5,0,5,0.15419354838709678
0,0,518,120.34069576419924,"[1.0, 0.0]",6,0,5,0.16709677419354838
1,0,538,126.79770391323058,"[1.0, 1.57]",6,0,5,0.1735483870967742
