Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,495,228.75137170380785,"[0.0, 0.0]",0,0,5,0.1596774193548387
1,0,709,348.65308608243555,"[1.0, 0.0]",0,0,5,0.22870967741935483
2,0,526,245.97059306769265,"[1.0, -1.57]",0,0,5,0.1696774193548387
3,0,428,191.81184101309333,"[0.0, -1.57]",0,0,5,0.13806451612903226
4,0,510,237.10008093498595,"[1.0, 1.57]",0,0,5,0.16451612903225807
5,0,432,194.15658931668796,"[0.0, 1.57]",0,0,5,0.1393548387096774
6,1,515,226.24756600642496,"[1.0, 1.57]",0,0,5,0.16612903225806452
7,1,510,223.43728923709944,"[0.0, 0.0]",0,0,5,0.16451612903225807
8,1,427,180.1564628488312,"[1.0, 0.0]",0,0,5,0.13774193548387098
9,1,505,220.90893006267055,"[1.0, -1.57]",0,0,5,0.1629032258064516
10,1,576,258.5907755021062,"[0.0, 1.57]",0,0,5,0.18580645161290324
11,1,567,253.7640866180719,"[0.0, -1.57]",0,0,5,0.1829032258064516
0,0,1291,580.128862941725,"[0.0, -1.57]",1,0,5,0.4164516129032258
1,0,1089,478.5916659661931,"[0.0, 0.0]",1,0,5,0.3512903225806452
2,0,720,296.3130331045045,"[0.0, 1.57]",1,0,5,0.23225806451612904
3,1,524,206.56057088815504,"[1.0, 0.0]",1,0,5,0.16903225806451613
4,1,540,214.25747854552773,"[1.0, 1.57]",1,0,5,0.17419354838709677
5,1,486,188.28073830109471,"[0.0, 0.0]",1,0,5,0.1567741935483871
6,1,531,209.8416134766471,"[0.0, -1.57]",1,0,5,0.17129032258064517
7,1,543,215.72982607285425,"[1.0, -1.57]",1,0,5,0.17516129032258065
8,1,476,183.5393320501752,"[0.0, 1.57]",1,0,5,0.15354838709677418
0,0,6,0.0,"[0.0, 0.0]",2,0,5,0.001935483870967742
1,0,1106,423.84306801278126,"[0.0, 1.57]",2,0,5,0.3567741935483871
2,0,1988,822.8494409110908,"[0.0, -1.57]",2,0,5,0.6412903225806451
3,1,482,170.16083058426847,"[1.0, 0.0]",2,0,5,0.15548387096774194
4,1,547,199.2526517437264,"[1.0, 1.57]",2,0,5,0.1764516129032258
5,1,526,189.79275157701048,"[0.0, 1.57]",2,0,5,0.1696774193548387
6,1,520,187.11011525597564,"[0.0, -1.57]",2,0,5,0.16774193548387098
7,1,523,188.478834800668,"[0.0, 0.0]",2,0,5,0.16870967741935483
8,1,502,179.12832340182143,"[1.0, -1.57]",2,0,5,0.16193548387096773
0,0,1080,408.82874925799433,"[1.0, 0.0]",3,0,5,0.34838709677419355
1,0,1020,382.4388094780251,"[1.0, 1.57]",3,0,5,0.32903225806451614
2,0,1000,373.70903543432433,"[1.0, -1.57]",3,0,5,0.3225806451612903
3,1,528,171.7098050582836,"[1.0, 1.57]",3,0,5,0.1703225806451613
4,1,488,155.29296148455882,"[0.0, -1.57]",3,0,5,0.15741935483870967
5,1,504,161.80214385375731,"[0.0, 1.57]",3,0,5,0.1625806451612903
6,1,526,170.87327042332146,"[0.0, 0.0]",3,0,5,0.1696774193548387
