timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,55.35835123062134,9,"[0, 0]",55.36083984375,1,"[[3.0, 3.0, 0.0, 0], [4.0, 3.0, 1.57, 1]]","[[1.0, 3.0, 0.0, 0], [2.0, 3.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7777777776611111, 0.7222222221138881]]",[1.0],[1.0],[0.555555555555555],[0.44444444444444403],0,0,5
1,43.901360750198364,8,"[0, 0]",43.90364742279053,2,"[[4.0, 3.0, 1.57, 1], [4.0, 3.0, 1.57, 2]]","[[1.0, 3.0, -1.57, 1], [1.0, 2.0, -3.14, 2]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,0,5
2,42.9536874294281,8,"[0, 0]",42.955769538879395,3,"[[4.0, 3.0, 1.57, 2], [4.0, 3.0, -0.0, 3]]","[[1.0, 2.0, -1.57, 2], [1.0, 2.0, -1.57, 3]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,0,5
3,39.02806615829468,8,"[0, 0]",39.03068161010742,4,"[[4.0, 3.0, -0.0, 3], [5.0, 3.0, -1.57, 4]]","[[1.0, 1.0, 0.0, 3], [2.0, 1.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,0,5
4,32.85490608215332,7,"[0, 0]",32.857635498046875,5,"[[5.0, 3.0, -1.57, 4], [5.0, 3.0, 0.0, 5]]","[[1.0, 1.0, 0.0, 4], [2.0, 1.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,0,5
5,33.43430805206299,7,"[0, 0]",33.438459157943726,6,"[[5.0, 3.0, 0.0, 5], [6.0, 3.0, 1.57, 6]]","[[2.0, 1.0, 0.0, 5], [2.0, 1.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
6,27.619126796722412,6,"[0, 0]",27.621968746185303,7,"[[6.0, 3.0, 1.57, 6], [6.0, 4.0, -0.0, 7]]","[[3.0, 1.0, 1.57, 6], [3.0, 1.0, 3.14, 7]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,0,5
7,27.760688066482544,6,"[0, 0]",27.76351022720337,8,"[[6.0, 4.0, -0.0, 7], [7.0, 4.0, 1.57, 8]]","[[3.0, 1.0, 1.57, 7], [3.0, 1.0, 3.14, 8]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
8,21.01459789276123,5,"[0, 0]",21.017334699630737,9,"[[7.0, 4.0, 1.57, 8], [7.0, 4.0, -0.0, 9]]","[[3.0, 1.0, 3.14, 8], [3.0, 1.0, 1.57, 9]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
9,21.02640676498413,5,"[0, 0]",21.02919292449951,10,"[[7.0, 4.0, -0.0, 9], [8.0, 4.0, -1.57, 10]]","[[3.0, 1.0, 1.57, 9], [3.0, 2.0, 1.57, 10]]","[[0.499999999925, 0.499999999925], [0.861111110981944, 0.638888888793055]]",[1.0],[1.0],[0.7222222222222221],[0.277777777777777],0,0,5
0,54.51616334915161,9,"[0, 0]",54.51952028274536,1,"[[3.0, 3.0, 0.0, 0], [4.0, 3.0, 0.0, 1]]","[[1.0, 3.0, 0.0, 0], [1.0, 3.0, -1.57, 1]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,1,5
1,43.7572124004364,8,"[0, 0]",43.759395122528076,2,"[[4.0, 3.0, 1.57, 1], [4.0, 3.0, -0.0, 2]]","[[1.0, 3.0, -1.57, 1], [1.0, 2.0, -1.57, 2]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,1,5
2,42.485591650009155,8,"[0, 0]",42.488948345184326,3,"[[4.0, 3.0, 1.57, 2], [4.0, 3.0, -0.0, 3]]","[[1.0, 2.0, -1.57, 2], [1.0, 1.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.805555555434722, 0.6944444443402771]]",[1.0],[1.0],[0.611111111111111],[0.388888888888888],0,1,5
