Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,320,63.50009209573842,"[0.0, 1.57]",0,0,5,0.1032258064516129
1,0,326,65.51496709543615,"[0.0, -1.57]",0,0,5,0.10516129032258065
2,0,500,121.78071708699676,"[0.0, 0.0]",0,0,5,0.16129032258064516
3,0,595,153.915690766388,"[1.0, 0.0]",0,0,5,0.19193548387096773
4,0,603,156.60331576598503,"[1.0, 1.57]",0,0,5,0.19451612903225807
5,0,756,209.387842073858,"[1.0, -1.57]",0,0,5,0.24387096774193548
6,1,786,221.33587496680295,"[1.0, -1.57]",0,0,5,0.2535483870967742
7,1,489,118.9822499821536,"[0.0, 0.0]",0,0,5,0.15774193548387097
8,1,580,149.60078287229837,"[1.0, 0.0]",0,0,5,0.1870967741935484
9,1,604,157.93981576578452,"[1.0, 1.57]",0,0,5,0.19483870967741934
10,1,319,63.83930920095066,"[0.0, 1.57]",0,0,5,0.10290322580645161
11,1,322,64.69484209555921,"[0.0, -1.57]",0,0,5,0.10387096774193548
0,0,249,34.54874999481767,"[0.0, 1.57]",1,0,5,0.08032258064516129
1,0,757,187.3124999719036,"[1.0, 0.0]",1,0,5,0.24419354838709678
2,0,771,191.81249997122885,"[1.0, -1.57]",1,0,5,0.24870967741935485
3,0,282,43.51499999347256,"[0.0, 0.0]",1,0,5,0.09096774193548388
4,0,824,208.9124999686646,"[1.0, 1.57]",1,0,5,0.2658064516129032
5,0,217,26.246249996063103,"[0.0, -1.57]",1,0,5,0.07
6,1,265,38.94749999415775,"[0.0, 0.0]",1,0,5,0.08548387096774193
7,1,792,198.67499997019985,"[1.0, 0.0]",1,0,5,0.25548387096774194
8,1,769,191.2499999713131,"[1.0, 1.57]",1,0,5,0.24806451612903227
9,1,256,36.4162499945375,"[0.0, 1.57]",1,0,5,0.08258064516129032
10,1,801,201.487499969778,"[1.0, -1.57]",1,0,5,0.2583870967741935
11,1,217,26.20124999606985,"[0.0, -1.57]",1,0,5,0.07
0,0,581,149.16256576710083,"[1.0, 0.0]",0,1,5,0.18741935483870967
1,0,764,212.42534207340245,"[1.0, -1.57]",0,1,5,0.24645161290322581
2,0,502,122.56703287635268,"[0.0, 0.0]",0,1,5,0.16193548387096773
3,0,612,159.6751578707876,"[1.0, 1.57]",0,1,5,0.19741935483870968
4,0,324,64.85737499027168,"[0.0, 1.57]",0,1,5,0.10451612903225807
5,0,317,62.78174999058297,"[0.0, -1.57]",0,1,5,0.10225806451612904
6,1,321,64.27521709562217,"[0.0, -1.57]",0,1,5,0.10354838709677419
7,1,320,63.97146709566765,"[0.0, 1.57]",0,1,5,0.1032258064516129
8,1,617,162.04097365990626,"[1.0, 0.0]",0,1,5,0.19903225806451613
9,1,743,205.78387496913527,"[1.0, -1.57]",0,1,5,0.23967741935483872
10,1,617,161.89869076519088,"[1.0, 1.57]",0,1,5,0.19903225806451613
11,1,482,116.37449998254466,"[0.0, 0.0]",0,1,5,0.15548387096774194
0,0,216,25.93124999611035,"[0.0, -1.57]",1,1,5,0.0696774193548387
1,0,289,45.41624999318737,"[0.0, 0.0]",1,1,5,0.09322580645161291
2,0,743,182.9249999725616,"[1.0, 0.0]",1,1,5,0.23967741935483872
3,0,789,197.7749999703347,"[1.0, -1.57]",1,1,5,0.25451612903225806
4,0,257,36.74249999448861,"[0.0, 1.57]",1,1,5,0.08290322580645161
5,0,806,203.17499996952495,"[1.0, 1.57]",1,1,5,0.26
6,1,224,28.07999999578804,"[0.0, -1.57]",1,1,5,0.07225806451612904
7,1,790,197.999999970301,"[1.0, -1.57]",1,1,5,0.25483870967741934
8,1,772,192.26249997116136,"[1.0, 1.57]",1,1,5,0.24903225806451612
9,1,771,191.924999971212,"[1.0, 0.0]",1,1,5,0.24870967741935485
10,1,288,45.13499999322955,"[0.0, 0.0]",1,1,5,0.09290322580645162
11,1,255,36.24749999456287,"[0.0, 1.57]",1,1,5,0.08225806451612903
0,0,337,69.05421709490543,"[0.0, -1.57]",0,0,8,0.10870967741935483
1,0,336,68.68409209496086,"[0.0, 1.57]",0,0,8,0.10838709677419354
2,0,738,203.90624996941688,"[1.0, -1.57]",0,0,8,0.23806451612903226
3,0,495,120.57477629770406,"[0.0, 0.0]",0,0,8,0.1596774193548387
4,0,580,149.2238486618285,"[1.0, 0.0]",0,0,8,0.1870967741935484
5,0,614,160.83047366008805,"[1.0, 1.57]",0,0,8,0.19806451612903225
6,1,342,70.16849998947512,"[0.0, 1.57]",0,0,8,0.11032258064516129
7,1,319,63.110842095796784,"[0.0, -1.57]",0,0,8,0.10290322580645161
8,1,736,202.1642170749413,"[1.0, -1.57]",0,0,8,0.23741935483870968
9,1,610,158.59178287095006,"[1.0, 1.57]",0,0,8,0.1967741935483871
10,1,600,155.26231576618596,"[1.0, 0.0]",0,0,8,0.1935483870967742
11,1,493,119.2499999821134,"[0.0, 0.0]",0,0,8,0.15903225806451612
0,0,755,186.6374999720049,"[1.0, 0.0]",1,0,8,0.2435483870967742
1,0,241,32.47874999512822,"[0.0, 1.57]",1,0,8,0.07774193548387097
2,0,814,205.6499999691538,"[1.0, -1.57]",1,0,8,0.2625806451612903
3,0,224,28.046249995793104,"[0.0, -1.57]",1,0,8,0.07225806451612904
4,0,807,203.39999996949112,"[1.0, 1.57]",1,0,8,0.2603225806451613
5,0,259,37.214999994417695,"[0.0, 0.0]",1,0,8,0.08354838709677419
6,1,244,33.27749999500839,"[0.0, 1.57]",1,0,8,0.07870967741935483
7,1,763,189.22499997161688,"[1.0, 0.0]",1,0,8,0.2461290322580645
8,1,258,36.93374999445987,"[0.0, 0.0]",1,0,8,0.0832258064516129
9,1,804,202.38749996964305,"[1.0, 1.57]",1,0,8,0.2593548387096774
10,1,222,27.52874999587073,"[0.0, -1.57]",1,0,8,0.07161290322580645
11,1,809,204.07499996938992,"[1.0, -1.57]",1,0,8,0.2609677419354839
0,0,492,119.49299998207688,"[0.0, 0.0]",0,1,8,0.15870967741935485
1,0,326,65.77821709539673,"[0.0, 1.57]",0,1,8,0.10516129032258065
