timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,6.552989482879639,3,"[0, 0]",6.556140184402466,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,5
1,0.815717458724975,2,"[0, 0]",0.819060802459716,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,5
0,6.488165378570557,3,"[0, 0]",6.491591930389404,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,5
1,0.8595111370086671,2,"[0, 0]",0.8629412651062011,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,5
0,6.465746641159058,3,"[0, 0]",6.468774318695068,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,8
1,0.7673428058624261,2,"[0, 0]",0.7708997726440431,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, -0.0, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,8
0,6.466464757919311,3,"[0, 0]",6.470160484313965,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,8
1,0.8068001270294191,2,"[0, 0]",0.8110198974609371,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,8
0,6.610216379165649,3,"[0, 0]",6.61329197883606,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,2
1,0.8695039749145501,2,"[0, 0]",0.8729972839355461,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, -0.0, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -1.57, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,2
0,6.677287578582764,3,"[0, 0]",6.680765628814697,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,2
1,0.8965988159179681,2,"[0, 0]",0.8998916149139401,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,2
0,6.887799024581909,3,"[0, 0]",6.891063690185547,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,1
1,0.8350861072540281,2,"[0, 0]",0.8387920856475831,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, -0.0, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, 0.0, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,1
0,6.548402786254883,3,"[0, 0]",6.55153489112854,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,1
1,0.867971420288085,2,"[0, 0]",0.871062040328979,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, -0.0, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -1.57, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,1
0,6.625895261764526,3,"[0, 0]",6.629191160202026,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,4
1,0.8645825386047361,2,"[0, 0]",0.868402242660522,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 1.57, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -1.57, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,4
0,6.659932374954224,3,"[0, 0]",6.663134813308716,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,4
1,0.8642137050628661,2,"[0, 0]",0.8675601482391351,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 1.57, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,4
0,6.474637746810913,3,"[0, 0]",6.477711200714111,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,7
1,0.8369696140289301,2,"[0, 0]",0.840791225433349,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,7
0,6.447367429733276,3,"[0, 0]",6.450613975524902,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,7
1,0.8565487861633301,2,"[0, 0]",0.8595194816589351,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, 0.0, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,7
0,7.464285612106323,3,"[0, 0]",7.46991229057312,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,0
1,0.9478623867034911,2,"[0, 0]",0.9515802860260011,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, 0.0, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,0
0,7.764429092407227,3,"[0, 0]",7.767943859100342,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,0
1,0.9514546394348141,2,"[0, 0]",0.9551556110382081,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 1.57, 2]]","[[1.0, 1.0, -1.57, 1], [1.0, 0.0, -3.14, 2]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,0
0,6.466342210769653,3,"[0, 0]",6.470821857452393,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,9
