Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,566,269.9098494873751,"[0.0, -1.57]",0,0,5,0.18258064516129033
1,0,442,218.17161297338149,"[1.0, 0.0]",0,0,5,0.14258064516129032
2,0,264,124.74373299893128,"[0.0, 1.57]",0,0,5,0.08516129032258064
3,0,699,329.9957027660559,"[1.0, 1.57]",0,0,5,0.22548387096774195
4,0,744,356.3381795850857,"[1.0, -1.57]",0,0,5,0.24
5,0,385,187.09951816146517,"[0.0, 0.0]",0,0,5,0.12419354838709677
6,1,369,181.45280296616647,"[1.0, 1.57]",0,0,5,0.11903225806451613
7,1,124,63.84189880669283,"[0.0, 0.0]",0,0,5,0.04
8,1,1153,564.5711904554418,"[1.0, 0.0]",0,0,5,0.37193548387096775
9,1,679,324.5163892978899,"[0.0, -1.57]",0,0,5,0.21903225806451612
10,1,659,322.5850359497842,"[1.0, -1.57]",0,0,5,0.21258064516129033
11,1,116,58.9058282168784,"[0.0, 1.57]",0,0,5,0.03741935483870968
0,0,197,89.61415060049194,"[0.0, 1.57]",1,0,5,0.0635483870967742
1,0,611,262.5503712160309,"[1.0, 0.0]",1,0,5,0.19709677419354837
2,0,702,298.6078505469969,"[0.0, -1.57]",1,0,5,0.2264516129032258
3,0,785,331.47808719442065,"[1.0, -1.57]",1,0,5,0.2532258064516129
4,0,111,50.464908921773855,"[0.0, 0.0]",1,0,5,0.035806451612903224
5,0,694,307.7516994549272,"[1.0, 1.57]",1,0,5,0.2238709677419355
6,1,310,138.68329431526814,"[0.0, 1.57]",1,0,5,0.1
7,1,684,315.44095621769446,"[1.0, 1.57]",1,0,5,0.22064516129032258
8,1,1061,475.2119307712447,"[0.0, -1.57]",1,0,5,0.34225806451612906
9,1,182,82.96274545100106,"[1.0, 0.0]",1,0,5,0.05870967741935484
10,1,472,222.5129603106277,"[1.0, -1.57]",1,0,5,0.15225806451612903
11,1,391,180.16812980762768,"[0.0, 0.0]",1,0,5,0.12612903225806452
0,0,578,198.0695484058149,"[1.0, 0.0]",2,0,5,0.18645161290322582
1,0,309,113.03454782953914,"[0.0, 0.0]",2,0,5,0.0996774193548387
2,0,200,73.74035325941864,"[1.0, 1.57]",2,0,5,0.06451612903225806
3,0,416,151.8995026089637,"[1.0, -1.57]",2,0,5,0.13419354838709677
4,0,1007,356.9016464665799,"[0.0, -1.57]",2,0,5,0.32483870967741935
5,0,590,211.57058607995333,"[0.0, 1.57]",2,0,5,0.19032258064516128
6,1,474,208.23387151661376,"[0.0, 1.57]",2,0,5,0.1529032258064516
7,1,593,271.98189672777494,"[0.0, 0.0]",2,0,5,0.19129032258064516
8,1,163,76.31723412706721,"[1.0, -1.57]",2,0,5,0.052580645161290324
9,1,139,62.94165026855689,"[0.0, -1.57]",2,0,5,0.044838709677419354
10,1,882,418.79953730767,"[1.0, 0.0]",2,0,5,0.2845161290322581
11,1,849,389.8273394791564,"[1.0, 1.57]",2,0,5,0.2738709677419355
0,0,258,71.4627604110009,"[1.0, 1.57]",3,0,5,0.0832258064516129
1,0,249,70.49943508439695,"[1.0, 0.0]",3,0,5,0.08032258064516129
2,0,638,181.87744682340784,"[0.0, 0.0]",3,0,5,0.20580645161290323
3,0,397,113.31845728297806,"[1.0, -1.57]",3,0,5,0.12806451612903225
4,0,367,106.37389639348106,"[0.0, 1.57]",3,0,5,0.11838709677419355
5,0,1191,346.01387036063807,"[0.0, -1.57]",3,0,5,0.3841935483870968
6,1,639,263.7928305429258,"[0.0, 0.0]",3,0,5,0.2061290322580645
7,1,308,121.23041880592436,"[0.0, -1.57]",3,0,5,0.09935483870967741
8,1,233,90.56451523416982,"[0.0, 1.57]",3,0,5,0.07516129032258065
9,1,348,126.70875395341086,"[1.0, 0.0]",3,0,5,0.11225806451612903
10,1,402,163.01834605614022,"[1.0, -1.57]",3,0,5,0.1296774193548387
11,1,1170,459.9267318429755,"[1.0, 1.57]",3,0,5,0.3774193548387097
0,0,210,10.872397123369172,"[0.0, 1.57]",4,0,5,0.06774193548387097
1,0,229,14.503910622824415,"[0.0, 0.0]",4,0,5,0.07387096774193548
2,0,1346,136.27032972955905,"[1.0, -1.57]",4,0,5,0.4341935483870968
3,0,224,11.669558623249603,"[0.0, -1.57]",4,0,5,0.07225806451612904
4,0,335,23.38340399649244,"[1.0, 1.57]",4,0,5,0.10806451612903226
5,0,756,66.51869849002243,"[1.0, 0.0]",4,0,5,0.24387096774193548
6,1,515,90.58854711141176,"[1.0, 1.57]",4,0,5,0.16612903225806452
7,1,371,68.97661311465325,"[1.0, 0.0]",4,0,5,0.11967741935483871
8,1,202,33.458639619981184,"[0.0, 1.57]",4,0,5,0.06516129032258064
9,1,377,71.47881448927795,"[0.0, 0.0]",4,0,5,0.12161290322580645
10,1,896,173.80335034893048,"[1.0, -1.57]",4,0,5,0.28903225806451616
11,1,739,143.46692660348043,"[0.0, -1.57]",4,0,5,0.23838709677419354
0,0,182,10.48045938592794,"[0.0, 1.57]",5,0,5,0.05870967741935484
1,0,170,8.538485398719216,"[0.0, -1.57]",5,0,5,0.054838709677419356
2,0,974,109.72706612104298,"[1.0, 1.57]",5,0,5,0.3141935483870968
3,0,198,11.87106333571936,"[0.0, 0.0]",5,0,5,0.06387096774193549
4,0,891,102.06767270969183,"[1.0, 0.0]",5,0,5,0.2874193548387097
5,0,685,77.47302610088033,"[1.0, -1.57]",5,0,5,0.22096774193548388
6,1,245,33.10213128253464,"[0.0, -1.57]",5,0,5,0.07903225806451612
7,1,798,131.46521735527864,"[1.0, 1.57]",5,0,5,0.2574193548387097
8,1,212,28.638026883204237,"[0.0, 1.57]",5,0,5,0.06838709677419355
9,1,424,71.70024823924487,"[1.0, 0.0]",5,0,5,0.1367741935483871
