timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,35.47563338279724,7,"[0, 0]",35.47905707359314,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 1.57, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,28.8717041015625,6,"[0, 0]",28.87474226951599,2,"[[4.0, 2.0, 1.57, 1], [4.0, 3.0, -0.0, 2]]","[[1.0, 3.0, 0.0, 1], [1.0, 3.0, -1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,21.150034427642822,5,"[0, 0]",21.15397071838379,3,"[[4.0, 3.0, -0.0, 2], [4.0, 3.0, -1.57, 3]]","[[2.0, 3.0, -1.57, 2], [2.0, 2.0, -1.57, 3]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,0,5
3,18.777140378952026,5,"[0, 0]",18.780427932739258,4,"[[4.0, 3.0, -1.57, 3], [4.0, 3.0, -3.14, 4]]","[[2.0, 2.0, -1.57, 3], [2.0, 1.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.583333333245833, 0.9166666665291661]]",[1.0],[1.0],[0.16666666666666602],[0.833333333333333],0,0,5
4,2.559518098831176,2,"[0, 0]",2.562489032745361,5,"[[4.0, 3.0, -3.14, 4], [3.0, 3.0, -4.71, 5]]","[[2.0, 1.0, 0.0, 4], [3.0, 1.0, -1.57, 5]]","[[0.499999999925, 0.499999999925], [0.62499999990625, 0.87499999986875]]",[1.0],[1.0],[0.25],[0.75],0,0,5
5,1.335761308670044,2,"[0, 1]",1.338557481765747,6,"[[3.0, 3.0, -4.71, 5], [3.0, 4.0, -3.14, 6]]","[[3.0, 1.0, -1.57, 5], [3.0, 0.0, -3.14, 6]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,0,5
0,35.64429450035095,7,"[0, 0]",35.647247314453125,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 1.57, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,29.10909366607666,6,"[0, 0]",29.112751960754395,2,"[[4.0, 2.0, 1.57, 1], [4.0, 3.0, 3.14, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, -1.57, 2]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,1,5
2,20.9303195476532,5,"[0, 0]",20.93337655067444,3,"[[4.0, 3.0, -0.0, 2], [4.0, 3.0, -1.57, 3]]","[[2.0, 3.0, -1.57, 2], [2.0, 2.0, -1.57, 3]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,1,5
3,19.395164251327515,5,"[0, 0]",19.398836135864258,4,"[[4.0, 3.0, -1.57, 3], [4.0, 3.0, -3.14, 4]]","[[2.0, 2.0, -1.57, 3], [2.0, 1.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.583333333245833, 0.9166666665291661]]",[1.0],[1.0],[0.16666666666666602],[0.833333333333333],0,1,5
4,2.413500070571899,2,"[0, 0]",2.416763305664062,5,"[[4.0, 3.0, -3.14, 4], [3.0, 3.0, -4.71, 5]]","[[2.0, 1.0, 0.0, 4], [3.0, 1.0, -1.57, 5]]","[[0.499999999925, 0.499999999925], [0.62499999990625, 0.87499999986875]]",[1.0],[1.0],[0.25],[0.75],0,1,5
5,1.267340183258056,2,"[0, 1]",1.270433902740478,6,"[[3.0, 3.0, -4.71, 5], [3.0, 4.0, -6.28, 6]]","[[3.0, 1.0, -1.57, 5], [3.0, 0.0, -1.57, 6]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,1,5
