Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,342,96.48503288026464,"[1.0, 0.0]",0,0,5,0.11032258064516129
1,0,1102,296.6855920607662,"[1.0, -1.57]",0,0,5,0.3554838709677419
2,0,193,48.687749992697015,"[0.0, 0.0]",0,0,5,0.06225806451612903
3,0,197,51.29946709756836,"[0.0, 1.57]",0,0,5,0.0635483870967742
4,0,238,54.29699999185562,"[0.0, -1.57]",0,0,5,0.07677419354838709
5,0,1028,276.80115785322187,"[1.0, 1.57]",0,0,5,0.33161290322580644
6,1,223,49.06237499264071,"[0.0, -1.57]",0,0,5,0.07193548387096774
7,1,492,113.6159999829584,"[1.0, 0.0]",0,0,5,0.15870967741935485
8,1,526,110.28824998345758,"[0.0, 0.0]",0,0,5,0.1696774193548387
9,1,239,51.22805920284219,"[0.0, 1.57]",0,0,5,0.07709677419354839
10,1,816,174.620190763283,"[1.0, 1.57]",0,0,5,0.2632258064516129
11,1,804,188.3486249717508,"[1.0, -1.57]",0,0,5,0.2593548387096774
0,0,886,192.67874997110223,"[1.0, 1.57]",1,0,5,0.28580645161290325
1,0,161,18.97424999715385,"[0.0, 1.57]",1,0,5,0.05193548387096774
2,0,628,136.78874997948387,"[1.0, 0.0]",1,0,5,0.20258064516129032
3,0,1129,243.5062499634798,"[1.0, -1.57]",1,0,5,0.3641935483870968
4,0,143,15.592499997661111,"[0.0, -1.57]",1,0,5,0.046129032258064515
5,0,153,20.06774999698982,"[0.0, 0.0]",1,0,5,0.04935483870967742
6,1,688,149.44499997758572,"[1.0, -1.57]",1,0,5,0.22193548387096773
7,1,781,168.58124997471594,"[1.0, 1.57]",1,0,5,0.25193548387096776
8,1,147,18.55912499721612,"[0.0, 1.57]",1,0,5,0.047419354838709675
9,1,176,21.525749996771125,"[0.0, 0.0]",1,0,5,0.0567741935483871
10,1,1157,249.78374996253845,"[1.0, 0.0]",1,0,5,0.3732258064516129
11,1,151,15.906374997614035,"[0.0, -1.57]",1,0,5,0.048709677419354835
0,0,1284,323.8818749514246,"[1.0, 1.57]",0,1,5,0.41419354838709677
1,0,698,182.9722499725562,"[1.0, -1.57]",0,1,5,0.22516129032258064
2,0,421,103.80434208969322,"[1.0, 0.0]",0,1,5,0.13580645161290322
3,0,223,51.95759209746964,"[0.0, -1.57]",0,1,5,0.07193548387096774
4,0,212,51.16387499232563,"[0.0, 0.0]",0,1,5,0.06838709677419355
5,0,262,55.85624999162173,"[0.0, 1.57]",0,1,5,0.08451612903225807
6,1,566,121.4578420870455,"[1.0, 0.0]",0,1,5,0.18258064516129033
7,1,300,84.98587498725239,"[0.0, 0.0]",0,1,5,0.0967741935483871
8,1,1103,270.49274995943153,"[1.0, -1.57]",0,1,5,0.35580645161290325
9,1,214,48.81884209794036,"[0.0, -1.57]",0,1,5,0.06903225806451613
10,1,224,51.49237499227619,"[0.0, 1.57]",0,1,5,0.07225806451612904
11,1,693,153.34649997699958,"[1.0, 1.57]",0,1,5,0.2235483870967742
0,0,197,25.87949999611805,"[0.0, 0.0]",1,1,5,0.0635483870967742
1,0,1215,261.12374996083776,"[1.0, 0.0]",1,1,5,0.3919354838709677
2,0,605,134.25749997986324,"[1.0, 1.57]",1,1,5,0.19516129032258064
3,0,138,15.693749997645924,"[0.0, 1.57]",1,1,5,0.044516129032258066
4,0,810,176.78249997348598,"[1.0, -1.57]",1,1,5,0.26129032258064516
5,0,135,14.7926249977811,"[0.0, -1.57]",1,1,5,0.043548387096774194
6,1,505,108.5399999837203,"[1.0, 1.57]",1,1,5,0.1629032258064516
7,1,1004,217.9912499673062,"[1.0, 0.0]",1,1,5,0.32387096774193547
8,1,141,14.691374997796284,"[0.0, -1.57]",1,1,5,0.04548387096774194
9,1,1095,237.7349999643453,"[1.0, -1.57]",1,1,5,0.3532258064516129
10,1,180,23.398874996490143,"[0.0, 0.0]",1,1,5,0.05806451612903226
11,1,175,20.361374996945777,"[0.0, 1.57]",1,1,5,0.056451612903225805
0,0,213,49.02749999264599,"[0.0, 0.0]",0,0,8,0.06870967741935484
1,0,385,95.90340788035198,"[1.0, 0.0]",0,0,8,0.12419354838709677
2,0,266,56.31134209681664,"[0.0, 1.57]",0,0,8,0.08580645161290322
3,0,247,53.922374991911845,"[0.0, -1.57]",0,0,8,0.07967741935483871
4,0,691,182.56724997261728,"[1.0, 1.57]",0,0,8,0.2229032258064516
5,0,1298,313.6612499529574,"[1.0, -1.57]",0,0,8,0.41870967741935483
6,1,454,121.27049998181008,"[1.0, 1.57]",0,0,8,0.1464516129032258
7,1,392,97.17749998542382,"[0.0, 0.0]",0,0,8,0.12645161290322582
8,1,178,46.52099999302186,"[0.0, -1.57]",0,0,8,0.05741935483870968
9,1,389,96.98624998545272,"[1.0, 0.0]",0,0,8,0.12548387096774194
10,1,233,50.66212499240075,"[0.0, 1.57]",0,0,8,0.07516129032258065
11,1,1454,347.5034999478826,"[1.0, -1.57]",0,0,8,0.46903225806451615
0,0,1231,265.8824999601241,"[1.0, -1.57]",1,0,8,0.3970967741935484
1,0,151,17.81999999732699,"[0.0, 1.57]",1,0,8,0.048709677419354835
2,0,537,118.15874998227756,"[1.0, 0.0]",1,0,8,0.1732258064516129
3,0,197,26.80087499597984,"[0.0, 0.0]",1,0,8,0.0635483870967742
4,0,836,180.02249997300015,"[1.0, 1.57]",1,0,8,0.2696774193548387
