Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,309,149.7670325156672,"[2.0, 1.57]",0,0,5,0.0996774193548387
1,0,348,173.21629825938803,"[0.0, 0.0]",0,0,5,0.11225806451612903
2,0,410,211.31425450357423,"[2.0, 0.0]",0,0,5,0.13225806451612904
3,0,306,148.12780675511058,"[0.0, 1.57]",0,0,5,0.09870967741935484
4,0,367,184.97895929393036,"[1.0, -1.57]",0,0,5,0.11838709677419355
5,0,297,142.70155268037655,"[1.0, 1.57]",0,0,5,0.09580645161290323
6,0,373,188.6761875698789,"[2.0, -1.57]",0,0,5,0.12032258064516128
7,0,339,168.01349198925462,"[0.0, -1.57]",0,0,5,0.10935483870967742
8,0,351,175.2914914492562,"[1.0, 0.0]",0,0,5,0.1132258064516129
9,1,292,140.14796095912516,"[2.0, -1.57]",0,0,5,0.09419354838709677
10,1,313,153.0172840308619,"[1.0, -1.57]",0,0,5,0.10096774193548387
11,1,353,177.22621136930255,"[2.0, 1.57]",0,0,5,0.11387096774193549
12,1,349,174.78200073361123,"[1.0, 1.57]",0,0,5,0.11258064516129032
13,1,328,161.89486779443536,"[0.0, 1.57]",0,0,5,0.10580645161290322
14,1,442,231.96766474094923,"[2.0, 0.0]",0,0,5,0.14258064516129032
15,1,342,170.42527680354218,"[0.0, 0.0]",0,0,5,0.11032258064516129
16,1,380,193.6962671478854,"[1.0, 0.0]",0,0,5,0.12258064516129032
17,1,301,145.82498841068997,"[0.0, -1.57]",0,0,5,0.09709677419354838
0,0,378,178.0515144592162,"[2.0, -1.57]",1,0,5,0.12193548387096774
1,0,412,197.62537966327284,"[2.0, 0.0]",1,0,5,0.1329032258064516
2,0,347,160.28495007131906,"[1.0, 0.0]",1,0,5,0.11193548387096774
3,0,318,143.75594771711658,"[1.0, 1.57]",1,0,5,0.10258064516129033
4,0,340,156.22159177478576,"[0.0, 0.0]",1,0,5,0.10967741935483871
5,0,339,155.77461505465922,"[1.0, -1.57]",1,0,5,0.10935483870967742
