Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,448,242.79277678072637,"[2.0, 0.0]",0,0,5,0.14451612903225808
1,0,369,192.858133979877,"[2.0, -1.57]",0,0,5,0.11903225806451613
2,0,301,150.58357490682957,"[1.0, 1.57]",0,0,5,0.09709677419354838
3,0,297,148.143727133281,"[0.0, 1.57]",0,0,5,0.09580645161290323
4,0,397,210.49816366236004,"[1.0, 0.0]",0,0,5,0.12806451612903225
5,0,339,174.04166873544966,"[1.0, -1.57]",0,0,5,0.10935483870967742
6,0,316,159.7489403342777,"[0.0, -1.57]",0,0,5,0.10193548387096774
7,0,319,161.67032363049435,"[2.0, 1.57]",0,0,5,0.10290322580645161
8,0,314,158.5128698594179,"[0.0, 0.0]",0,0,5,0.10129032258064516
9,1,379,194.5309107851848,"[2.0, 1.57]",0,0,5,0.12225806451612903
10,1,291,140.91235311111944,"[0.0, -1.57]",0,0,5,0.09387096774193548
11,1,300,146.32678433092246,"[2.0, -1.57]",0,0,5,0.0967741935483871
12,1,342,171.78675956673982,"[0.0, 0.0]",0,0,5,0.11032258064516129
13,1,382,196.4251988386195,"[1.0, 0.0]",0,0,5,0.12322580645161291
14,1,307,150.57733858679248,"[1.0, -1.57]",0,0,5,0.09903225806451613
15,1,324,160.83716280277602,"[0.0, 1.57]",0,0,5,0.10451612903225807
16,1,449,237.9954582109048,"[2.0, 0.0]",0,0,5,0.14483870967741935
17,1,326,161.94137933255445,"[1.0, 1.57]",0,0,5,0.10516129032258065
0,0,455,229.706441623118,"[2.0, 0.0]",1,0,5,0.14677419354838708
1,0,316,147.60997179530136,"[0.0, -1.57]",1,0,5,0.10193548387096774
2,0,285,129.97284783620444,"[0.0, 1.57]",1,0,5,0.09193548387096774
3,0,383,187.14581962932303,"[1.0, 0.0]",1,0,5,0.1235483870967742
4,0,285,130.01327880042604,"[1.0, 1.57]",1,0,5,0.09193548387096774
5,0,383,187.2053264558446,"[2.0, -1.57]",1,0,5,0.1235483870967742
6,0,349,167.1479814848512,"[0.0, 0.0]",1,0,5,0.11258064516129032
7,0,344,164.22345306680802,"[1.0, -1.57]",1,0,5,0.11096774193548387
8,0,300,138.6525206281405,"[2.0, 1.57]",1,0,5,0.0967741935483871
9,1,346,160.76505260004552,"[0.0, 0.0]",1,0,5,0.11161290322580646
10,1,321,146.4892461383813,"[0.0, 1.57]",1,0,5,0.10354838709677419
11,1,307,138.62404451366882,"[2.0, -1.57]",1,0,5,0.09903225806451613
12,1,358,167.70296942309602,"[2.0, 1.57]",1,0,5,0.11548387096774193
13,1,359,168.24422946947738,"[1.0, 0.0]",1,0,5,0.11580645161290322
14,1,448,219.5553761068192,"[2.0, 0.0]",1,0,5,0.14451612903225808
15,1,357,167.01480826696096,"[1.0, 1.57]",1,0,5,0.11516129032258064
16,1,324,148.24208158900274,"[1.0, -1.57]",1,0,5,0.10451612903225807
17,1,280,123.12759414792416,"[0.0, -1.57]",1,0,5,0.09032258064516129
0,0,316,136.2740539794374,"[0.0, -1.57]",2,0,5,0.10193548387096774
1,0,330,143.95885373601837,"[0.0, 0.0]",2,0,5,0.1064516129032258
2,0,265,108.86228964197434,"[0.0, 1.57]",2,0,5,0.08548387096774193
3,0,357,158.83236805582197,"[1.0, -1.57]",2,0,5,0.11516129032258064
4,0,445,207.74328475499428,"[2.0, 0.0]",2,0,5,0.1435483870967742
5,0,387,175.41941451672125,"[2.0, -1.57]",2,0,5,0.12483870967741935
6,0,306,130.69679644311782,"[2.0, 1.57]",2,0,5,0.09870967741935484
7,0,384,173.7378631319899,"[1.0, 0.0]",2,0,5,0.12387096774193548
8,0,310,133.0263637356292,"[1.0, 1.57]",2,0,5,0.1
9,1,446,203.02087100436185,"[2.0, 0.0]",2,0,5,0.14387096774193547
10,1,316,132.58541862287538,"[0.0, 1.57]",2,0,5,0.10193548387096774
11,1,384,169.06706349412295,"[1.0, 0.0]",2,0,5,0.12387096774193548
12,1,315,132.08911466991017,"[1.0, -1.57]",2,0,5,0.10161290322580645
13,1,339,144.90583708154296,"[1.0, 1.57]",2,0,5,0.10935483870967742
14,1,282,114.60007001655372,"[0.0, -1.57]",2,0,5,0.09096774193548388
15,1,292,119.88011204954076,"[2.0, -1.57]",2,0,5,0.09419354838709677
16,1,336,143.28091013955884,"[0.0, 0.0]",2,0,5,0.10838709677419354
17,1,390,172.38168134568903,"[2.0, 1.57]",2,0,5,0.12580645161290321
0,0,293,113.25251669441236,"[1.0, 1.57]",3,0,5,0.09451612903225806
1,0,325,129.4900415395267,"[0.0, -1.57]",3,0,5,0.10483870967741936
2,0,389,162.39957603311282,"[1.0, 0.0]",3,0,5,0.12548387096774194
3,0,352,143.2078049568983,"[0.0, 0.0]",3,0,5,0.1135483870967742
4,0,454,196.41160865395307,"[2.0, 0.0]",3,0,5,0.1464516129032258
5,0,289,110.98990292929868,"[0.0, 1.57]",3,0,5,0.09322580645161291
6,0,334,133.85319225665071,"[1.0, -1.57]",3,0,5,0.10774193548387097
7,0,364,149.33085424593895,"[2.0, -1.57]",3,0,5,0.11741935483870967
8,0,300,116.73373543099936,"[2.0, 1.57]",3,0,5,0.0967741935483871
9,1,295,110.93753078419763,"[2.0, -1.57]",3,0,5,0.09516129032258064
10,1,348,137.20876852691552,"[1.0, 1.57]",3,0,5,0.11225806451612903
11,1,293,109.92782676504784,"[0.0, -1.57]",3,0,5,0.09451612903225806
12,1,293,109.99847616194114,"[1.0, -1.57]",3,0,5,0.09451612903225806
13,1,394,160.60308902390284,"[1.0, 0.0]",3,0,5,0.1270967741935484
14,1,306,116.22426778342214,"[0.0, 1.57]",3,0,5,0.09870967741935484
15,1,369,147.9714879848194,"[2.0, 1.57]",3,0,5,0.11903225806451613
16,1,458,193.4697927761729,"[2.0, 0.0]",3,0,5,0.14774193548387096
17,1,344,135.10884910916212,"[0.0, 0.0]",3,0,5,0.11096774193548387
0,0,335,47.37784655221588,"[0.0, 0.0]",4,0,5,0.10806451612903226
1,0,333,46.88093007747498,"[1.0, -1.57]",4,0,5,0.10741935483870968
2,0,366,55.193603886016,"[2.0, -1.57]",4,0,5,0.11806451612903225
3,0,377,58.055202728103545,"[2.0, 1.57]",4,0,5,0.12161290322580645
4,0,303,39.47716978441464,"[0.0, -1.57]",4,0,5,0.09774193548387097
5,0,307,40.41432580929455,"[0.0, 1.57]",4,0,5,0.09903225806451613
6,0,378,58.31613884609716,"[2.0, 0.0]",4,0,5,0.12193548387096774
7,0,341,48.80142632484092,"[1.0, 1.57]",4,0,5,0.11
8,0,360,53.75083293055324,"[1.0, 0.0]",4,0,5,0.11612903225806452
9,1,301,35.95239579460037,"[0.0, 1.57]",4,0,5,0.09709677419354838
10,1,336,44.4019640888161,"[1.0, -1.57]",4,0,5,0.10838709677419354
11,1,398,59.62914161471316,"[2.0, 0.0]",4,0,5,0.12838709677419355
12,1,306,37.156476917652256,"[0.0, -1.57]",4,0,5,0.09870967741935484
13,1,329,42.701263128363,"[0.0, 0.0]",4,0,5,0.10612903225806451
14,1,367,51.9333039313617,"[1.0, 0.0]",4,0,5,0.11838709677419355
15,1,364,51.17670856848034,"[2.0, 1.57]",4,0,5,0.11741935483870967
16,1,369,52.47172339820139,"[2.0, -1.57]",4,0,5,0.11903225806451613
17,1,330,42.973537520699765,"[1.0, 1.57]",4,0,5,0.1064516129032258
0,0,350,44.25100882775786,"[2.0, -1.57]",5,0,5,0.11290322580645161
1,0,337,41.20603900818096,"[0.0, 1.57]",5,0,5,0.10870967741935483
2,0,334,40.42871344769864,"[0.0, -1.57]",5,0,5,0.10774193548387097
3,0,350,44.1835330930133,"[1.0, -1.57]",5,0,5,0.11290322580645161
4,0,345,43.058586804260514,"[0.0, 0.0]",5,0,5,0.11129032258064517
5,0,343,42.55962935987782,"[1.0, 1.57]",5,0,5,0.11064516129032258
6,0,350,44.188723534147535,"[2.0, 0.0]",5,0,5,0.11290322580645161
7,0,342,42.293555989198616,"[2.0, 1.57]",5,0,5,0.11032258064516129
8,0,349,43.94441993012104,"[1.0, 0.0]",5,0,5,0.11258064516129032
9,1,353,45.8324477029847,"[1.0, -1.57]",5,0,5,0.11387096774193549
10,1,345,43.943958696892174,"[1.0, 1.57]",5,0,5,0.11129032258064517
11,1,362,47.88941734385838,"[2.0, 1.57]",5,0,5,0.1167741935483871
12,1,359,47.21863071299924,"[2.0, -1.57]",5,0,5,0.11580645161290322
13,1,335,41.50711413817819,"[0.0, 0.0]",5,0,5,0.10806451612903226
14,1,361,47.66064977616266,"[2.0, 0.0]",5,0,5,0.11645161290322581
15,1,347,44.408676593411535,"[1.0, 0.0]",5,0,5,0.11193548387096774
16,1,322,38.46526862403394,"[0.0, -1.57]",5,0,5,0.10387096774193548
17,1,316,37.16409574579093,"[0.0, 1.57]",5,0,5,0.10193548387096774
0,0,521,56.40022440542735,"[0.0, 0.0]",6,0,5,0.16806451612903225
1,0,518,55.7733044537015,"[1.0, 0.0]",6,0,5,0.16709677419354838
2,0,515,55.23981244239122,"[1.0, -1.57]",6,0,5,0.16612903225806452
3,0,520,56.25509351413604,"[1.0, 1.57]",6,0,5,0.16774193548387098
4,0,516,55.47369987707732,"[0.0, 1.57]",6,0,5,0.1664516129032258
5,0,510,54.2733284311507,"[0.0, -1.57]",6,0,5,0.16451612903225807
6,1,528,60.75072224014168,"[0.0, 0.0]",6,0,5,0.1703225806451613
7,1,494,53.99497703470033,"[0.0, 1.57]",6,0,5,0.15935483870967743
8,1,528,60.8069695545793,"[0.0, -1.57]",6,0,5,0.1703225806451613
9,1,494,53.934105960789005,"[1.0, 1.57]",6,0,5,0.15935483870967743
10,1,528,60.78822044976677,"[1.0, -1.57]",6,0,5,0.1703225806451613
11,1,528,60.75072224014168,"[1.0, 0.0]",6,0,5,0.1703225806451613
0,0,516,49.91792137473225,"[1.0, 0.0]",7,0,5,0.1664516129032258
1,0,512,49.13245673627213,"[0.0, -1.57]",7,0,5,0.16516129032258065
2,0,519,50.44431101541724,"[0.0, 0.0]",7,0,5,0.16741935483870968
