timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,54.89889454841614,7,"[0, 0]",54.902523040771484,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,46.58704948425293,6,"[0, 0]",46.590702295303345,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,36.60904502868652,5,"[0, 0]",36.61248159408569,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,26.850009441375732,4,"[0, 0]",26.853652477264404,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,16.526458501815796,3,"[0, 0]",16.529985666275024,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,5.695030927658081,2,"[0, 0]",5.698596239089966,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, -1.57, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, 1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
6,0.8019332885742181,1,"[0, 0]",0.804628372192382,7,"[[13.0, 2.0, -1.57, 6], [13.0, 1.0, 0.0, 7]]","[[13.0, 4.0, 1.57, 6], [13.0, 5.0, -0.0, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
7,0.7854571342468261,1,"[0, 0]",0.7880027294158931,8,"[[13.0, 1.0, 0.0, 7], [13.0, 1.0, 0.0, 8]]","[[13.0, 5.0, 3.14, 7], [13.0, 5.0, 4.71, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
8,0.7810177803039551,1,"[0, 0]",0.7834751605987541,9,"[[13.0, 1.0, 0.0, 8], [13.0, 1.0, 1.57, 9]]","[[13.0, 5.0, 4.71, 8], [13.0, 3.0, 6.28, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
9,0.7900726795196531,1,"[0, 0]",0.792368650436401,10,"[[13.0, 1.0, 1.57, 9], [13.0, 2.0, 1.57, 10]]","[[13.0, 3.0, 6.28, 9], [13.0, 3.0, 1.57, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
0,55.302807331085205,7,"[0, 0]",55.30627107620239,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,46.04789352416992,6,"[0, 0]",46.051729679107666,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,36.781604528427124,5,"[0, 0]",36.785239934921265,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
3,26.877060413360596,4,"[0, 0]",26.880563259124756,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
4,16.577230215072632,3,"[0, 0]",16.580516576766968,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
5,5.664902448654175,2,"[0, 0]",5.668405771255493,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, 0.0, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, 1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
6,0.804045677185058,1,"[0, 0]",0.806703090667724,7,"[[13.0, 2.0, -1.57, 6], [13.0, 1.0, 0.0, 7]]","[[13.0, 4.0, 1.57, 6], [13.0, 5.0, 3.14, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
7,0.779604196548461,1,"[0, 0]",0.782136678695678,8,"[[13.0, 1.0, 0.0, 7], [13.0, 1.0, 0.0, 8]]","[[13.0, 5.0, 3.14, 7], [13.0, 5.0, 4.71, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
8,0.7834069728851311,1,"[0, 0]",0.786004781723022,9,"[[13.0, 1.0, 0.0, 8], [13.0, 1.0, 0.0, 9]]","[[13.0, 5.0, 4.71, 8], [13.0, 3.0, 6.28, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
9,0.779085636138916,1,"[0, 0]",0.7816591262817381,10,"[[13.0, 1.0, 1.57, 9], [13.0, 1.0, 1.57, 10]]","[[13.0, 3.0, 6.28, 9], [13.0, 3.0, 6.28, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
0,54.99954175949097,7,"[0, 0]",55.00310730934143,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
1,46.75959348678589,6,"[0, 0]",46.762885332107544,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
2,36.54806661605835,5,"[0, 0]",36.55137777328491,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
3,26.704061269760132,4,"[0, 0]",26.707614421844482,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
4,16.430799961090088,3,"[0, 0]",16.43426775932312,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
5,5.678574323654175,2,"[0, 0]",5.682188272476196,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, -1.57, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
6,0.7963073253631591,1,"[0, 0]",0.799055099487304,7,"[[13.0, 2.0, -1.57, 6], [13.0, 1.0, -1.57, 7]]","[[13.0, 4.0, 1.57, 6], [13.0, 5.0, -0.0, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
7,0.765440940856933,1,"[0, 0]",0.767602443695068,8,"[[13.0, 1.0, -1.57, 7], [13.0, 1.0, -1.57, 8]]","[[13.0, 4.0, 1.57, 7], [13.0, 4.0, -0.0, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
8,0.7336401939392091,1,"[0, 0]",0.7352528572082521,9,"[[13.0, 1.0, -1.57, 8], [13.0, 1.0, -1.57, 9]]","[[13.0, 5.0, 1.57, 8], [13.0, 5.0, 1.57, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
9,0.736754179000854,1,"[0, 0]",0.7384402751922601,10,"[[13.0, 1.0, -1.57, 9], [13.0, 1.0, -1.57, 10]]","[[13.0, 5.0, 1.57, 9], [13.0, 5.0, 1.57, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
0,54.47690415382385,7,"[0, 0]",54.48022389411926,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
1,46.55992770195007,6,"[0, 0]",46.5635199546814,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
2,36.54491949081421,5,"[0, 0]",36.54850649833679,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
3,26.64478325843811,4,"[0, 0]",26.648024082183838,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
4,16.417305946350098,3,"[0, 0]",16.420505046844482,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
5,5.701803922653198,2,"[0, 0]",5.705440998077393,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, 0.0, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, 1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
6,0.7947332859039301,1,"[0, 0]",0.797820329666137,7,"[[13.0, 2.0, -1.57, 6], [13.0, 1.0, -3.14, 7]]","[[13.0, 4.0, 1.57, 6], [13.0, 4.0, 1.57, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
7,0.769865989685058,1,"[0, 0]",0.771772384643554,8,"[[13.0, 1.0, -1.57, 7], [13.0, 1.0, -3.14, 8]]","[[13.0, 4.0, 1.57, 7], [13.0, 5.0, 1.57, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
8,0.7392451763153071,1,"[0, 0]",0.740888357162475,9,"[[13.0, 1.0, -1.57, 8], [13.0, 1.0, -3.14, 9]]","[[13.0, 5.0, 1.57, 8], [13.0, 5.0, 1.57, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
9,0.744430780410766,1,"[0, 0]",0.7460949420928951,10,"[[13.0, 1.0, -1.57, 9], [13.0, 1.0, 0.0, 10]]","[[13.0, 5.0, 1.57, 9], [13.0, 5.0, 3.14, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
0,60.495779514312744,7,"[0, 0]",60.50023889541626,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
1,51.6685585975647,6,"[0, 0]",51.67277789115906,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
2,40.51215314865112,5,"[0, 0]",40.51661467552185,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
3,29.710034132003784,4,"[0, 0]",29.714157819747925,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
4,18.445950746536255,3,"[0, 0]",18.45025324821472,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
5,6.331083297729492,2,"[0, 0]",6.335523843765259,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, 1.57, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, -1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
6,0.842725753784179,1,"[0, 0]",0.845857620239257,7,"[[13.0, 2.0, 1.57, 6], [13.0, 3.0, 3.14, 7]]","[[13.0, 4.0, 0.0, 6], [13.0, 4.0, -1.57, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
7,0.9408776760101311,1,"[0, 0]",0.9447600841522211,8,"[[13.0, 3.0, 3.14, 7], [13.0, 3.0, 1.57, 8]]","[[13.0, 4.0, 1.57, 7], [13.0, 5.0, -0.0, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,2
8,0.783693552017211,1,"[1, 0]",0.786864519119262,9,"[[13.0, 3.0, 1.57, 8], [13.0, 5.0, 1.57, 9]]","[[13.0, 5.0, -0.0, 8], [13.0, 5.0, 0.0, 9]]","[[0.0, 0.0], [0.27083333329270803, 0.22916666663229102]]",[0.0],[0.0],[0.5416666666666661],[0.45833333333333304],1,0,2
0,61.142027139663696,7,"[0, 0]",61.14629912376404,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,2
1,52.22228193283081,6,"[0, 0]",52.2264084815979,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,2
2,40.68671894073486,5,"[0, 0]",40.69089984893799,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,2
3,29.69518208503723,4,"[0, 0]",29.699354648590088,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,2
4,18.30971336364746,3,"[0, 0]",18.31407618522644,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,2
5,6.214751482009888,2,"[0, 0]",6.219471931457519,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, -1.57, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,2
6,0.86177110671997,1,"[0, 0]",0.8654322624206541,7,"[[13.0, 2.0, 1.57, 6], [13.0, 4.0, -0.0, 7]]","[[13.0, 4.0, 0.0, 6], [13.0, 4.0, 1.57, 7]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,2
7,0.920489311218261,1,"[0, 0]",0.9241535663604731,8,"[[13.0, 3.0, 3.14, 7], [12.0, 3.0, 3.14, 8]]","[[13.0, 4.0, 1.57, 7], [13.0, 5.0, -0.0, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,2
8,0.7811787128448481,1,"[1, 0]",0.784054040908813,9,"[[13.0, 3.0, 1.57, 8], [13.0, 5.0, -0.0, 9]]","[[13.0, 5.0, -0.0, 8], [13.0, 5.0, 1.57, 9]]","[[0.0, 0.0], [0.27083333329270803, 0.22916666663229102]]",[0.0],[0.0],[0.5416666666666661],[0.45833333333333304],1,1,2
0,62.18797254562378,7,"[0, 0]",62.19208812713623,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
1,52.60387086868286,6,"[0, 0]",52.608094215393066,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
2,41.97742247581482,5,"[0, 0]",41.98168992996216,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
3,29.535269737243652,4,"[0, 0]",29.539478540420532,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
4,18.6805682182312,3,"[0, 0]",18.6850745677948,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
5,6.330112457275391,2,"[0, 0]",6.334345579147339,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, 1.57, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
6,0.9150986671447751,1,"[0, 0]",0.9183681011199951,7,"[[13.0, 2.0, 1.57, 6], [13.0, 2.0, 1.57, 7]]","[[13.0, 4.0, 1.57, 6], [13.0, 5.0, -0.0, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
7,0.9192252159118651,1,"[0, 0]",0.922886848449707,8,"[[13.0, 2.0, 1.57, 7], [13.0, 3.0, 3.14, 8]]","[[13.0, 4.0, 1.57, 7], [13.0, 4.0, -0.0, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
8,1.017318725585937,1,"[0, 0]",1.021487951278686,9,"[[13.0, 3.0, 3.14, 8], [12.0, 3.0, 1.57, 9]]","[[13.0, 4.0, 3.14, 8], [13.0, 4.0, 1.57, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,1
9,0.8559741973876951,1,"[1, 0]",0.859712362289428,10,"[[12.0, 3.0, 1.57, 9], [12.0, 5.0, -0.0, 10]]","[[13.0, 4.0, 1.57, 9], [13.0, 4.0, 3.14, 10]]","[[0.499999999925, 0.499999999925], [0.7708333332177081, 0.729166666557291]]",[1.0],[1.0],[0.5416666666666661],[0.45833333333333304],0,0,1
0,62.18807888031006,7,"[0, 0]",62.19225597381592,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,1
1,52.4168701171875,6,"[0, 0]",52.42082095146179,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,1
2,41.01329493522644,5,"[0, 0]",41.01781153678894,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,1
3,29.484841346740723,4,"[0, 0]",29.489300966262817,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,1
4,18.711633682250977,3,"[0, 0]",18.715839862823486,5,"[[9.0, 2.0, 0.0, 4], [10.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.729166666557291, 0.7708333332177081]]",[1.0],[1.0],[0.45833333333333304],[0.5416666666666661],0,1,1
5,6.227046489715576,2,"[0, 0]",6.231220006942749,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, 0.0, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, 1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,1
6,0.9176418781280511,1,"[0, 0]",0.9213783740997311,7,"[[13.0, 2.0, 1.57, 6], [13.0, 4.0, 3.14, 7]]","[[13.0, 4.0, 1.57, 6], [13.0, 4.0, 1.57, 7]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,1
7,0.9250695705413811,1,"[0, 0]",0.9286220073699951,8,"[[13.0, 2.0, 1.57, 7], [13.0, 4.0, 3.14, 8]]","[[13.0, 4.0, 1.57, 7], [13.0, 4.0, 3.14, 8]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,1,1
8,1.00572919845581,1,"[0, 0]",1.009819269180297,9,"[[13.0, 3.0, 3.14, 8], [12.0, 3.0, 3.14, 9]]","[[13.0, 4.0, 3.14, 8], [13.0, 4.0, 1.57, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,1
9,0.8572421073913571,1,"[1, 0]",0.8608119487762451,10,"[[12.0, 3.0, 1.57, 9], [12.0, 5.0, -0.0, 10]]","[[13.0, 4.0, 1.57, 9], [13.0, 5.0, 1.57, 10]]","[[0.499999999925, 0.499999999925], [0.7708333332177081, 0.729166666557291]]",[1.0],[1.0],[0.5416666666666661],[0.45833333333333304],0,1,1
