Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,285,140.76458633261626,"[2.0, 1.57]",0,0,5,0.09193548387096774
1,0,319,161.70252550448575,"[0.0, 0.0]",0,0,5,0.10290322580645161
2,0,337,172.81689686335298,"[0.0, -1.57]",0,0,5,0.10870967741935483
3,0,301,150.2658966024752,"[1.0, 1.57]",0,0,5,0.09709677419354838
4,0,458,249.1218157361514,"[2.0, 0.0]",0,0,5,0.14774193548387096
5,0,302,151.14287626009505,"[0.0, 1.57]",0,0,5,0.09741935483870967
6,0,343,176.5994238386699,"[1.0, -1.57]",0,0,5,0.11064516129032258
7,0,363,188.9680780174857,"[1.0, 0.0]",0,0,5,0.11709677419354839
8,0,392,207.26864370924545,"[2.0, -1.57]",0,0,5,0.12645161290322582
9,1,376,193.53253899299256,"[2.0, 1.57]",0,0,5,0.12129032258064516
10,1,434,229.54567708592745,"[2.0, 0.0]",0,0,5,0.14
11,1,331,165.47940934289272,"[1.0, 1.57]",0,0,5,0.1067741935483871
12,1,340,171.33144594587583,"[0.0, 1.57]",0,0,5,0.10967741935483871
13,1,372,190.9438459046657,"[1.0, 0.0]",0,0,5,0.12
14,1,290,140.95181179458405,"[1.0, -1.57]",0,0,5,0.0935483870967742
15,1,305,149.9848645169806,"[0.0, -1.57]",0,0,5,0.09838709677419355
16,1,318,157.88835281332513,"[2.0, -1.57]",0,0,5,0.10258064516129033
17,1,334,167.68418424643056,"[0.0, 0.0]",0,0,5,0.10774193548387097
0,0,439,219.50415620413628,"[2.0, 0.0]",1,0,5,0.14161290322580644
1,0,300,137.99182305034995,"[1.0, 1.57]",1,0,5,0.0967741935483871
2,0,298,136.77895191116014,"[0.0, 1.57]",1,0,5,0.09612903225806452
3,0,358,171.6775826959699,"[1.0, 0.0]",1,0,5,0.11548387096774193
4,0,335,158.21841162426267,"[1.0, -1.57]",1,0,5,0.10806451612903226
5,0,392,191.65664167065847,"[2.0, -1.57]",1,0,5,0.12645161290322582
6,0,329,154.7282127503486,"[0.0, -1.57]",1,0,5,0.10612903225806451
7,0,342,162.26850649183834,"[0.0, 0.0]",1,0,5,0.11032258064516129
8,0,307,142.0148170196384,"[2.0, 1.57]",1,0,5,0.09903225806451613
9,1,305,137.99535504258012,"[0.0, -1.57]",1,0,5,0.09838709677419355
10,1,372,176.5217045491128,"[1.0, 0.0]",1,0,5,0.12
11,1,325,149.49228550942138,"[1.0, 1.57]",1,0,5,0.10483870967741936
12,1,318,145.49415694265738,"[2.0, -1.57]",1,0,5,0.10258064516129033
13,1,381,181.7478398423547,"[2.0, 1.57]",1,0,5,0.12290322580645162
14,1,322,147.7893906910102,"[0.0, 0.0]",1,0,5,0.10387096774193548
15,1,314,143.2324797179405,"[0.0, 1.57]",1,0,5,0.10129032258064516
16,1,455,224.92885918894956,"[2.0, 0.0]",1,0,5,0.14677419354838708
17,1,308,139.80507315059293,"[1.0, -1.57]",1,0,5,0.09935483870967741
0,0,315,129.87926523862154,"[0.0, 1.57]",2,0,5,0.10161290322580645
1,0,328,136.70512985398568,"[1.0, 1.57]",2,0,5,0.10580645161290322
2,0,345,145.73216823775394,"[1.0, 0.0]",2,0,5,0.11129032258064517
3,0,331,138.2939273261079,"[0.0, -1.57]",2,0,5,0.1067741935483871
4,0,346,146.2533265812121,"[1.0, -1.57]",2,0,5,0.11161290322580646
5,0,351,148.84729470119262,"[0.0, 0.0]",2,0,5,0.1132258064516129
6,0,382,165.2894958375158,"[2.0, 0.0]",2,0,5,0.12322580645161291
7,0,384,166.37409099437303,"[2.0, -1.57]",2,0,5,0.12387096774193548
8,0,318,131.42527794117626,"[2.0, 1.57]",2,0,5,0.10258064516129033
9,1,276,112.72446466074328,"[0.0, -1.57]",2,0,5,0.08903225806451613
10,1,332,142.69100468250136,"[1.0, 1.57]",2,0,5,0.10709677419354839
11,1,309,130.3621146938793,"[0.0, 1.57]",2,0,5,0.0996774193548387
12,1,343,148.5552044928249,"[0.0, 0.0]",2,0,5,0.11064516129032258
13,1,334,143.78855431714484,"[2.0, -1.57]",2,0,5,0.10774193548387097
14,1,285,117.4735677389708,"[1.0, -1.57]",2,0,5,0.09193548387096774
15,1,381,169.19815346517598,"[1.0, 0.0]",2,0,5,0.12290322580645162
16,1,455,210.157518205443,"[2.0, 0.0]",2,0,5,0.14677419354838708
17,1,385,171.52734493891106,"[2.0, 1.57]",2,0,5,0.12419354838709677
0,0,544,210.4804352505109,"[0.0, 1.57]",3,0,5,0.17548387096774193
1,0,460,171.05123823113502,"[1.0, 0.0]",3,0,5,0.14838709677419354
2,0,490,185.06443274055204,"[0.0, -1.57]",3,0,5,0.15806451612903225
3,0,610,241.78735256432125,"[1.0, 1.57]",3,0,5,0.1967741935483871
4,0,473,177.02309399376523,"[1.0, -1.57]",3,0,5,0.15258064516129033
5,0,523,200.5500652551525,"[0.0, 0.0]",3,0,5,0.16870967741935483
6,1,354,152.11316430497345,"[2.0, 1.57]",3,0,5,0.11419354838709678
7,1,418,186.64489582415467,"[2.0, 0.0]",3,0,5,0.13483870967741934
8,1,341,145.10392617484084,"[0.0, 0.0]",3,0,5,0.11
9,1,336,142.44743605146917,"[1.0, 1.57]",3,0,5,0.10838709677419354
10,1,376,163.9662894414611,"[2.0, -1.57]",3,0,5,0.12129032258064516
11,1,294,120.11796724366886,"[0.0, 1.57]",3,0,5,0.09483870967741935
12,1,314,130.74394725671712,"[1.0, -1.57]",3,0,5,0.10129032258064516
13,1,381,166.56751984877806,"[1.0, 0.0]",3,0,5,0.12290322580645162
14,1,286,116.01020918413516,"[0.0, -1.57]",3,0,5,0.09225806451612903
0,0,363,128.39654213594608,"[0.0, 0.0]",4,0,5,0.11709677419354839
1,0,451,169.21989342765292,"[2.0, 0.0]",4,0,5,0.14548387096774193
2,0,397,144.15606235808988,"[2.0, 1.57]",4,0,5,0.12806451612903225
3,0,373,133.00434407889315,"[1.0, 1.57]",4,0,5,0.12032258064516128
4,0,258,81.06763103426826,"[1.0, -1.57]",4,0,5,0.0832258064516129
5,0,244,74.94475978947806,"[0.0, -1.57]",4,0,5,0.07870967741935483
6,0,268,85.41202982116725,"[2.0, -1.57]",4,0,5,0.08645161290322581
7,0,345,120.12910448042616,"[0.0, 1.57]",4,0,5,0.11129032258064517
8,0,401,146.00973286350558,"[1.0, 0.0]",4,0,5,0.12935483870967743
9,1,376,153.40065211456874,"[2.0, -1.57]",4,0,5,0.12129032258064516
10,1,348,139.17174534333654,"[1.0, -1.57]",4,0,5,0.11225806451612903
11,1,308,118.97790321060768,"[0.0, 1.57]",4,0,5,0.09935483870967741
12,1,355,142.7459486426407,"[0.0, 0.0]",4,0,5,0.11451612903225807
13,1,318,123.8595667277148,"[1.0, 1.57]",4,0,5,0.10258064516129033
14,1,397,164.2292750714846,"[2.0, 0.0]",4,0,5,0.12806451612903225
15,1,312,121.03675442675774,"[0.0, -1.57]",4,0,5,0.10064516129032258
16,1,327,128.598070368553,"[2.0, 1.57]",4,0,5,0.10548387096774194
17,1,359,144.82053717808478,"[1.0, 0.0]",4,0,5,0.11580645161290322
0,0,366,37.007074714119405,"[2.0, 1.57]",5,0,5,0.11806451612903225
1,0,314,26.43070744009391,"[0.0, 1.57]",5,0,5,0.10129032258064516
2,0,303,24.327999785620985,"[0.0, -1.57]",5,0,5,0.09774193548387097
3,0,332,30.03925730567889,"[1.0, -1.57]",5,0,5,0.10709677419354839
4,0,336,30.88815746337771,"[1.0, 1.57]",5,0,5,0.10838709677419354
5,0,358,35.38324619626115,"[2.0, -1.57]",5,0,5,0.11548387096774193
6,0,332,30.07640199627208,"[0.0, 0.0]",5,0,5,0.10709677419354839
7,0,359,35.53417479047986,"[1.0, 0.0]",5,0,5,0.11580645161290322
8,0,400,44.07132270565175,"[2.0, 0.0]",5,0,5,0.12903225806451613
9,1,354,57.09194092262843,"[1.0, -1.57]",5,0,5,0.11419354838709678
