timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,49.40988540649414,6,"[0, 0]",49.41695785522461,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],0,0,5
1,40.12044429779053,5,"[0, 0]",40.1251380443573,2,"[[3.0, 2.0, 0.0, 1], [4.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [4.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7606674816429511, 0.739332518132048]]",[1.0],[1.0],[0.521334963514103],[0.47866503648589603],0,0,5
2,41.09548854827881,5,"[0, 0]",41.10056781768799,3,"[[4.0, 2.0, 0.0, 2], [6.0, 2.0, -1.57, 3]]","[[5.0, 4.0, 0.0, 2], [6.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7608150346457171, 0.7391849651292821]]",[1.0],[1.0],[0.521630069519678],[0.47836993048032106],0,0,5
3,26.78409171104431,4,"[0, 0]",26.78934955596924,4,"[[6.0, 2.0, -1.57, 3], [6.0, 1.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.695666608341574, 0.8043333914334251]]",[1.0],[1.0],[0.391333216891849],[0.60866678310815],0,0,5
4,17.941422700881958,3,"[0, 0]",17.949915409088135,5,"[[6.0, 1.0, 0.0, 4], [7.0, 1.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.67403653882514, 0.8259634609498591]]",[1.0],[1.0],[0.34807307785249203],[0.651926922147507],0,0,5
5,6.467114210128784,2,"[0, 0]",6.475101470947266,6,"[[7.0, 1.0, 0.0, 5], [9.0, 1.0, 1.57, 6]]","[[11.0, 4.0, 0.0, 5], [13.0, 4.0, -1.57, 6]]","[[0.499999999925, 0.499999999925], [0.6850360148368141, 0.8149639849381851]]",[1.0],[1.0],[0.370072029879139],[0.6299279701208601],0,0,5
6,1.0517215728759761,1,"[0, 0]",1.06058931350708,7,"[[9.0, 1.0, 1.57, 6], [9.0, 3.0, -0.0, 7]]","[[12.0, 4.0, -1.57, 6], [12.0, 2.0, -3.14, 7]]","[[0.499999999925, 0.499999999925], [0.695924826096414, 0.804075173678585]]",[1.0],[1.0],[0.391849652401606],[0.608150347598393],0,0,5
7,0.935490131378173,1,"[0, 0]",0.9401252269744871,8,"[[9.0, 3.0, -0.0, 7], [11.0, 3.0, 0.0, 8]]","[[12.0, 3.0, 0.0, 7], [12.0, 3.0, 0.0, 8]]","[[0.499999999925, 0.499999999925], [0.7394800711348131, 0.760519928640186]]",[1.0],[1.0],[0.47896014249147106],[0.521039857508528],0,0,5
8,0.831120252609252,1,"[0, 0]",0.835467815399169,9,"[[11.0, 3.0, 0.0, 8], [12.0, 3.0, 0.0, 9]]","[[12.0, 3.0, 0.0, 8], [13.0, 3.0, 0.0, 9]]","[[0.499999999925, 0.499999999925], [0.7394800711348131, 0.760519928640186]]",[1.0],[1.0],[0.47896014249147106],[0.521039857508528],0,0,5
9,0.8840415477752681,1,"[0, 0]",0.888118505477905,10,"[[12.0, 3.0, 0.0, 9], [13.0, 3.0, 1.57, 10]]","[[12.0, 3.0, 0.0, 9], [13.0, 3.0, 0.0, 10]]","[[0.0, 0.0], [0.23948007120981302, 0.26051992871518603]]",[0.0],[0.0],[0.47896014249147106],[0.521039857508528],1,0,5
0,50.73415946960449,6,"[0, 0]",50.739598989486694,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],0,1,5
1,42.48464798927307,5,"[0, 0]",42.491525173187256,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.760741258144334, 0.7392587416306651]]",[1.0],[1.0],[0.521482516516891],[0.478517483483108],0,1,5
2,42.53687119483948,5,"[0, 0]",42.541741371154785,3,"[[4.0, 2.0, 0.0, 2], [6.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7391111886279, 0.760888811147099]]",[1.0],[1.0],[0.47822237747753304],[0.5217776225224661],0,1,5
3,27.848772287368774,4,"[0, 0]",27.853784561157227,4,"[[6.0, 2.0, -1.57, 3], [6.0, 1.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.695666608341574, 0.8043333914334251]]",[1.0],[1.0],[0.391333216891849],[0.60866678310815],0,1,5
4,17.8137948513031,3,"[0, 0]",17.819196939468384,5,"[[6.0, 1.0, 0.0, 4], [8.0, 1.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.69581416134434, 0.804185838430659]]",[1.0],[1.0],[0.39162832289742405],[0.608371677102575],0,1,5
5,7.054227590560913,2,"[0, 0]",7.058814764022827,6,"[[7.0, 1.0, 0.0, 5], [9.0, 1.0, 0.0, 6]]","[[11.0, 4.0, 0.0, 5], [12.0, 4.0, -1.57, 6]]","[[0.499999999925, 0.499999999925], [0.695887937845723, 0.8041120619292771]]",[1.0],[1.0],[0.391775875900212],[0.6082241240997871],0,1,5
