Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,396,222.32453214001023,"[2.0, 0.0]",0,0,5,0.12774193548387097
1,0,357,196.58785110716929,"[2.0, 1.57]",0,0,5,0.11516129032258064
2,0,313,167.81702415021377,"[0.0, -1.57]",0,0,5,0.10096774193548387
3,0,305,162.62555748378537,"[0.0, 1.57]",0,0,5,0.09838709677419355
4,0,366,202.4434012196336,"[2.0, -1.57]",0,0,5,0.11806451612903225
5,0,341,186.0095470417156,"[0.0, 0.0]",0,0,5,0.11
6,0,330,178.83862420067936,"[1.0, -1.57]",0,0,5,0.1064516129032258
7,0,330,178.84934426163414,"[1.0, 1.57]",0,0,5,0.1064516129032258
8,0,362,199.87502260131052,"[1.0, 0.0]",0,0,5,0.1167741935483871
9,1,363,184.52326283003256,"[2.0, 1.57]",0,0,5,0.11709677419354839
10,1,318,157.1288772346096,"[0.0, 1.57]",0,0,5,0.10258064516129033
11,1,342,171.73352572808608,"[1.0, 1.57]",0,0,5,0.11032258064516129
12,1,334,166.83184320543728,"[1.0, -1.57]",0,0,5,0.10774193548387097
13,1,319,157.6810455114498,"[0.0, -1.57]",0,0,5,0.10290322580645161
14,1,350,176.5595285505699,"[2.0, -1.57]",0,0,5,0.11290322580645161
15,1,335,167.3435594984619,"[0.0, 0.0]",0,0,5,0.10806451612903226
16,1,380,195.0014494426709,"[2.0, 0.0]",0,0,5,0.12258064516129032
17,1,359,182.0876314137671,"[1.0, 0.0]",0,0,5,0.11580645161290322
0,0,349,174.5208471570217,"[1.0, 0.0]",1,0,5,0.11258064516129032
1,0,327,161.098796098491,"[0.0, -1.57]",1,0,5,0.10548387096774194
2,0,345,172.10351477110422,"[1.0, -1.57]",1,0,5,0.11129032258064517
3,0,360,181.1353950631041,"[2.0, 1.57]",1,0,5,0.11612903225806452
4,0,368,186.09822918867292,"[2.0, 0.0]",1,0,5,0.11870967741935484
5,0,332,164.18631379555882,"[1.0, 1.57]",1,0,5,0.10709677419354839
6,0,335,166.0431339003077,"[0.0, 0.0]",1,0,5,0.10806451612903226
7,0,369,186.69948544549507,"[2.0, -1.57]",1,0,5,0.11903225806451613
8,0,315,153.9025657697719,"[0.0, 1.57]",1,0,5,0.10161290322580645
9,1,334,152.11105112362063,"[1.0, -1.57]",1,0,5,0.10774193548387097
10,1,360,166.88946174190377,"[2.0, 1.57]",1,0,5,0.11612903225806452
11,1,322,145.36738507919415,"[0.0, 1.57]",1,0,5,0.10387096774193548
12,1,354,163.51278889219742,"[2.0, -1.57]",1,0,5,0.11419354838709678
13,1,373,174.34855020542403,"[2.0, 0.0]",1,0,5,0.12032258064516128
14,1,325,147.07296827906023,"[0.0, -1.57]",1,0,5,0.10483870967741936
15,1,338,154.49013735147864,"[1.0, 0.0]",1,0,5,0.10903225806451614
16,1,347,159.48376863165248,"[1.0, 1.57]",1,0,5,0.11193548387096774
17,1,347,159.58986660343476,"[0.0, 0.0]",1,0,5,0.11193548387096774
0,0,381,169.26454594763038,"[2.0, 1.57]",2,0,5,0.12290322580645162
1,0,353,154.03507269704136,"[0.0, 0.0]",2,0,5,0.11387096774193549
2,0,338,145.9362975107025,"[1.0, -1.57]",2,0,5,0.10903225806451614
3,0,352,153.488380135717,"[1.0, 0.0]",2,0,5,0.1135483870967742
4,0,337,145.38356919401514,"[2.0, 0.0]",2,0,5,0.10870967741935483
5,0,306,128.71172482775555,"[0.0, 1.57]",2,0,5,0.09870967741935484
6,0,329,141.0844927101179,"[2.0, -1.57]",2,0,5,0.10612903225806451
7,0,372,164.46669400590218,"[1.0, 1.57]",2,0,5,0.12
8,0,332,142.70773551762306,"[0.0, -1.57]",2,0,5,0.10709677419354839
9,1,369,162.09781614745435,"[2.0, -1.57]",2,0,5,0.11903225806451613
10,1,370,162.59969586974984,"[2.0, 0.0]",2,0,5,0.11935483870967742
11,1,342,147.33393402237155,"[2.0, 1.57]",2,0,5,0.11032258064516129
12,1,336,144.2700490637056,"[0.0, 0.0]",2,0,5,0.10838709677419354
13,1,342,147.4347079758742,"[1.0, -1.57]",2,0,5,0.11032258064516129
14,1,339,145.85354193485176,"[1.0, 0.0]",2,0,5,0.10935483870967742
15,1,341,146.89342558405883,"[0.0, 1.57]",2,0,5,0.11
16,1,331,141.46813992931203,"[1.0, 1.57]",2,0,5,0.1067741935483871
17,1,330,140.94613438928505,"[0.0, -1.57]",2,0,5,0.1064516129032258
0,0,431,181.39562532795256,"[2.0, 0.0]",3,0,5,0.13903225806451613
1,0,305,117.2666303049808,"[0.0, -1.57]",3,0,5,0.09838709677419355
2,0,342,135.92161448115172,"[2.0, -1.57]",3,0,5,0.11032258064516129
3,0,377,153.63705500590171,"[1.0, 0.0]",3,0,5,0.12161290322580645
4,0,324,126.66454817484826,"[1.0, -1.57]",3,0,5,0.10451612903225807
5,0,316,122.80459165201496,"[0.0, 1.57]",3,0,5,0.10193548387096774
6,0,299,114.25256733569624,"[1.0, 1.57]",3,0,5,0.0964516129032258
7,0,335,132.31724630442187,"[2.0, 1.57]",3,0,5,0.10806451612903226
8,0,371,150.65413022385945,"[0.0, 0.0]",3,0,5,0.11967741935483871
9,1,515,203.5434090775656,"[1.0, 0.0]",3,0,5,0.16612903225806452
10,1,503,197.8289016589357,"[0.0, 1.57]",3,0,5,0.16225806451612904
11,1,447,170.86814346983704,"[0.0, -1.57]",3,0,5,0.14419354838709678
12,1,623,256.2844637849376,"[1.0, 1.57]",3,0,5,0.20096774193548386
13,1,485,189.0981470212304,"[1.0, -1.57]",3,0,5,0.15645161290322582
14,1,527,209.43583701872976,"[0.0, 0.0]",3,0,5,0.17
0,0,302,106.86244672767506,"[0.0, -1.57]",4,0,5,0.09741935483870967
1,0,345,127.2280995830312,"[2.0, -1.57]",4,0,5,0.11129032258064517
2,0,315,112.8555488912509,"[1.0, 1.57]",4,0,5,0.10161290322580645
3,0,280,96.5649651316389,"[0.0, 1.57]",4,0,5,0.09032258064516129
4,0,432,169.22598303473745,"[2.0, 0.0]",4,0,5,0.1393548387096774
5,0,389,148.26936563588703,"[1.0, 0.0]",4,0,5,0.12548387096774194
6,0,323,116.7521119037625,"[1.0, -1.57]",4,0,5,0.10419354838709677
7,0,363,135.74706284617795,"[2.0, 1.57]",4,0,5,0.11709677419354839
8,0,351,129.96913077220472,"[0.0, 0.0]",4,0,5,0.1132258064516129
9,1,302,103.39329936907562,"[0.0, -1.57]",4,0,5,0.09741935483870967
10,1,284,95.1719050956052,"[0.0, 1.57]",4,0,5,0.09161290322580645
11,1,348,124.6814859494052,"[0.0, 0.0]",4,0,5,0.11225806451612903
12,1,421,158.98950957454218,"[2.0, 0.0]",4,0,5,0.13580645161290322
13,1,318,110.71389862691524,"[1.0, 1.57]",4,0,5,0.10258064516129033
14,1,325,113.9309616588518,"[1.0, -1.57]",4,0,5,0.10483870967741936
15,1,361,130.69516580114478,"[2.0, 1.57]",4,0,5,0.11645161290322581
16,1,356,128.31064705145175,"[2.0, -1.57]",4,0,5,0.11483870967741935
17,1,385,141.95840156164152,"[1.0, 0.0]",4,0,5,0.12419354838709677
0,0,399,136.9437608633045,"[1.0, 1.57]",5,0,5,0.12870967741935485
1,0,377,127.28768229513736,"[0.0, 0.0]",5,0,5,0.12161290322580645
