timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,49.0124933719635,7,"[0, 0]",49.0184600353241,1,"[[0.0, 3.0, 0.0, 0], [2.0, 3.0, 0.0, 1]]","[[13.0, 3.0, 3.141592653589793, 0], [11.0, 3.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,57.60244703292847,6,"[0, 0]",57.60860323905945,2,"[[2.0, 3.0, 0.0, 1], [4.0, 3.0, -1.5707963267948961, 2]]","[[11.0, 3.0, 3.141592653589793, 1], [9.0, 3.000000000000001, 3.141592653589793, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,42.484236001968384,5,"[0, 0]",42.49296689033508,3,"[[4.0, 3.0, -1.5707963267948961, 2], [4.0, 1.0, 0.0, 3]]","[[9.0, 3.000000000000001, 3.141592653589793, 2], [7.0, 3.000000000000001, 3.141592653589793, 3]]","[[0.499999999925, 0.499999999925], [0.71153846143173, 0.788461538343269]]",[1.0],[1.0],[0.423076923076923],[0.5769230769230761],0,0,5
3,28.560569047927856,4,"[0, 0]",28.56589102745056,4,"[[4.0, 1.0, 0.0, 3], [6.0, 1.0, 0.0, 4]]","[[7.0, 3.000000000000001, 1.5707963267948961, 3], [7.0, 4.000000000000002, 3.141592653589793, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,29.870386362075806,4,"[0, 0]",29.879342079162598,5,"[[6.0, 1.0, 0.0, 4], [8.0, 1.0, 0.0, 5]]","[[7.0, 4.000000000000002, 3.141592653589793, 4], [5.0, 4.000000000000002, 3.141592653589793, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,16.803888082504272,3,"[0, 0]",16.809901237487793,6,"[[8.0, 1.0, 0.0, 5], [10.0, 1.0, 0.0, 6]]","[[5.0, 4.000000000000002, 3.141592653589793, 5], [3.0, 4.000000000000002, 3.141592653589793, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
6,6.093291282653809,2,"[0, 0]",6.099572896957397,7,"[[10.0, 1.0, 0.0, 6], [12.0, 1.0, 0.0, 7]]","[[3.0, 4.000000000000002, 3.141592653589793, 6], [1.0, 4.000000000000002, 3.141592653589793, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
7,0.95029616355896,1,"[0, 0]",0.955129861831665,8,"[[12.0, 1.0, 0.0, 7], [13.0, 1.0, 1.5707963267948961, 8]]","[[1.0, 4.000000000000002, 3.141592653589793, 7], [0.0, 4.000000000000002, 3.141592653589793, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
0,66.36922955513,7,"[0, 0]",66.37586855888367,1,"[[0.0, 3.0, 0.0, 0], [2.0, 3.0, 0.0, 1]]","[[13.0, 3.0, 3.141592653589793, 0], [11.0, 3.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,55.27649521827698,6,"[0, 0]",55.284374952316284,2,"[[2.0, 3.0, 0.0, 1], [4.0, 3.0, -1.5707963267948961, 2]]","[[11.0, 3.0, 3.141592653589793, 1], [9.0, 3.000000000000001, 3.141592653589793, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
