Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,343,168.9501428634686,"[2.0, -1.57]",0,0,5,0.11064516129032258
1,0,326,158.75367189474045,"[0.0, 0.0]",0,0,5,0.10516129032258065
2,0,311,149.82593865902618,"[1.0, 0.0]",0,0,5,0.1003225806451613
3,0,360,179.20930283646206,"[0.0, -1.57]",0,0,5,0.11612903225806452
4,0,353,174.9504352584108,"[1.0, -1.57]",0,0,5,0.11387096774193549
5,0,364,181.5614430220596,"[0.0, 1.57]",0,0,5,0.11741935483870967
6,0,362,180.3144531270163,"[1.0, 1.57]",0,0,5,0.1167741935483871
7,0,335,164.10708752393248,"[2.0, 0.0]",0,0,5,0.10806451612903226
8,0,346,170.74187674060238,"[2.0, 1.57]",0,0,5,0.11161290322580646
9,1,604,302.55004809329307,"[1.0, 0.0]",0,0,5,0.19483870967741934
10,1,474,227.42125187043936,"[0.0, -1.57]",0,0,5,0.1529032258064516
11,1,442,209.1935740733489,"[0.0, 1.57]",0,0,5,0.14258064516129032
12,1,485,233.6676489063338,"[0.0, 0.0]",0,0,5,0.15645161290322582
13,1,549,270.60843472246205,"[1.0, -1.57]",0,0,5,0.17709677419354838
14,1,546,268.82000350317406,"[1.0, 1.57]",0,0,5,0.1761290322580645
0,0,367,164.25591898776818,"[2.0, -1.57]",1,0,5,0.11838709677419355
1,0,329,143.3269068617733,"[2.0, 1.57]",1,0,5,0.10612903225806451
2,0,334,146.1222782566189,"[0.0, 1.57]",1,0,5,0.10774193548387097
3,0,370,165.91253147271783,"[1.0, -1.57]",1,0,5,0.11935483870967742
4,0,304,129.81951454328672,"[2.0, 0.0]",1,0,5,0.09806451612903226
5,0,361,161.0195882565533,"[0.0, 0.0]",1,0,5,0.11645161290322581
6,0,331,144.51881420647751,"[1.0, 1.57]",1,0,5,0.1067741935483871
7,0,343,151.06510429151584,"[1.0, 0.0]",1,0,5,0.11064516129032258
8,0,361,160.938660294439,"[0.0, -1.57]",1,0,5,0.11645161290322581
9,1,539,256.21312856133216,"[1.0, -1.57]",1,0,5,0.17387096774193547
10,1,485,225.92476966082077,"[0.0, -1.57]",1,0,5,0.15645161290322582
11,1,591,285.4908273158592,"[1.0, 0.0]",1,0,5,0.19064516129032258
12,1,522,246.6226659385283,"[1.0, 1.57]",1,0,5,0.16838709677419356
13,1,505,237.17486994641092,"[0.0, 0.0]",1,0,5,0.1629032258064516
14,1,458,210.97980951433945,"[0.0, 1.57]",1,0,5,0.14774193548387096
0,0,361,145.0272818490986,"[1.0, 0.0]",2,0,5,0.11645161290322581
1,0,342,135.3791206135833,"[0.0, -1.57]",2,0,5,0.11032258064516129
2,0,334,131.33408856647324,"[2.0, 1.57]",2,0,5,0.10774193548387097
3,0,355,141.88795825298402,"[0.0, 0.0]",2,0,5,0.11451612903225807
4,0,349,138.85318990365056,"[1.0, -1.57]",2,0,5,0.11258064516129032
5,0,353,141.00857474935387,"[2.0, -1.57]",2,0,5,0.11387096774193549
6,0,362,145.49115012397968,"[2.0, 0.0]",2,0,5,0.1167741935483871
7,0,329,128.7977399774483,"[1.0, 1.57]",2,0,5,0.10612903225806451
8,0,315,121.77017847060752,"[0.0, 1.57]",2,0,5,0.10161290322580645
9,1,547,235.7993399895383,"[1.0, -1.57]",2,0,5,0.1764516129032258
10,1,579,252.25253936604048,"[1.0, 0.0]",2,0,5,0.1867741935483871
11,1,522,222.66524599039792,"[0.0, 0.0]",2,0,5,0.16838709677419356
12,1,452,186.91356012951263,"[0.0, 1.57]",2,0,5,0.14580645161290323
13,1,525,224.3988578772829,"[1.0, 1.57]",2,0,5,0.1693548387096774
14,1,475,198.7220442557683,"[0.0, -1.57]",2,0,5,0.1532258064516129
0,0,335,122.28394517595711,"[0.0, -1.57]",3,0,5,0.10806451612903226
1,0,349,128.98850715706544,"[1.0, -1.57]",3,0,5,0.11258064516129032
2,0,347,128.04672465217885,"[2.0, -1.57]",3,0,5,0.11193548387096774
3,0,356,132.39691082339908,"[0.0, 0.0]",3,0,5,0.11483870967741935
