timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,45.745630502700806,7,"[0, 0]",45.7488157749176,1,"[[1.0, 3.0, 0.0, 0], [1.0, 3.0, 1.57, 1]]","[[3.0, 3.0, 0.0, 0], [4.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.704545454439772, 0.7954545453352271]]",[1.0],[1.0],[0.409090909090909],[0.59090909090909],0,0,5
1,42.19051766395569,7,"[0, 0]",42.194364070892334,2,"[[1.0, 3.0, 1.57, 1], [1.0, 4.0, -0.0, 2]]","[[4.0, 3.0, 0.0, 1], [5.0, 3.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.681818181715909, 0.8181818180590911]]",[1.0],[1.0],[0.36363636363636304],[0.636363636363636],0,0,5
2,44.85320448875427,7,"[0, 0]",44.85659384727478,3,"[[1.0, 4.0, -0.0, 2], [3.0, 4.0, 0.0, 3]]","[[5.0, 3.0, 0.0, 2], [6.0, 3.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.704545454439772, 0.7954545453352271]]",[1.0],[1.0],[0.409090909090909],[0.59090909090909],0,0,5
3,37.737762689590454,6,"[0, 0]",37.740745067596436,4,"[[3.0, 4.0, 0.0, 3], [5.0, 4.0, 0.0, 4]]","[[6.0, 3.0, 0.0, 3], [7.0, 3.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.727272727163636, 0.7727272726113631]]",[1.0],[1.0],[0.45454545454545403],[0.5454545454545451],0,0,5
4,29.409549713134766,5,"[0, 0]",29.412843227386475,5,"[[5.0, 4.0, 0.0, 4], [7.0, 4.0, 0.0, 5]]","[[7.0, 3.0, 0.0, 4], [8.0, 3.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,21.3063862323761,4,"[0, 0]",21.30926775932312,6,"[[7.0, 4.0, 0.0, 5], [9.0, 4.0, 0.0, 6]]","[[8.0, 3.0, 0.0, 5], [9.0, 3.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7727272726113631, 0.727272727163636]]",[1.0],[1.0],[0.5454545454545451],[0.45454545454545403],0,0,5
6,12.82448697090149,3,"[0, 0]",12.827630043029785,7,"[[9.0, 4.0, 0.0, 6], [10.0, 4.0, 0.0, 7]]","[[9.0, 3.0, 0.0, 6], [10.0, 3.0, 0.0, 7]]","[[0.499999999925, 0.499999999925], [0.7727272726113631, 0.727272727163636]]",[1.0],[1.0],[0.5454545454545451],[0.45454545454545403],0,0,5
7,4.878399848937988,2,"[0, 0]",4.881775140762329,8,"[[10.0, 4.0, 0.0, 7], [12.0, 4.0, 0.0, 8]]","[[10.0, 3.0, -1.57, 7], [10.0, 3.0, 0.0, 8]]","[[0.499999999925, 0.499999999925], [0.8181818180590911, 0.681818181715909]]",[1.0],[1.0],[0.636363636363636],[0.36363636363636304],0,0,5
8,0.6672284603118891,1,"[0, 0]",0.669890880584716,9,"[[12.0, 4.0, 0.0, 8], [12.0, 4.0, -1.57, 9]]","[[10.0, 3.0, 0.0, 8], [10.0, 3.0, 0.0, 9]]","[[0.499999999925, 0.499999999925], [0.8181818180590911, 0.681818181715909]]",[1.0],[1.0],[0.636363636363636],[0.36363636363636304],0,0,5
9,0.7841467857360841,1,"[0, 0]",0.787341117858886,10,"[[12.0, 4.0, -1.57, 9], [12.0, 2.0, 0.0, 10]]","[[11.0, 3.0, -1.57, 9], [11.0, 3.0, -3.14, 10]]","[[0.499999999925, 0.499999999925], [0.7954545453352271, 0.704545454439772]]",[1.0],[1.0],[0.59090909090909],[0.409090909090909],0,0,5
0,45.6520631313324,7,"[0, 0]",45.65634608268738,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[3.0, 3.0, 0.0, 0], [4.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.727272727163636, 0.7727272726113631]]",[1.0],[1.0],[0.45454545454545403],[0.5454545454545451],0,1,5
1,42.153831481933594,7,"[0, 0]",42.157164096832275,2,"[[1.0, 3.0, 1.57, 1], [1.0, 5.0, -0.0, 2]]","[[4.0, 3.0, 0.0, 1], [5.0, 3.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.681818181715909, 0.8181818180590911]]",[1.0],[1.0],[0.36363636363636304],[0.636363636363636],0,1,5
2,45.60761904716492,7,"[0, 0]",45.610671520233154,3,"[[1.0, 4.0, -0.0, 2], [3.0, 4.0, 0.0, 3]]","[[5.0, 3.0, 0.0, 2], [6.0, 3.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.704545454439772, 0.7954545453352271]]",[1.0],[1.0],[0.409090909090909],[0.59090909090909],0,1,5
3,37.41746473312378,6,"[0, 0]",37.42066311836243,4,"[[3.0, 4.0, 0.0, 3], [5.0, 4.0, -1.57, 4]]","[[6.0, 3.0, 0.0, 3], [7.0, 3.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.727272727163636, 0.7727272726113631]]",[1.0],[1.0],[0.45454545454545403],[0.5454545454545451],0,1,5
