timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,45.02667427062988,7,"[0, 0]",45.03104639053345,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, 1.57, 1]]","[[3.0, 3.0, 0.0, 0], [4.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.727272727163636, 0.7727272726113631]]",[1.0],[1.0],[0.45454545454545403],[0.5454545454545451],0,0,5
1,37.24105787277222,6,"[0, 0]",37.2452347278595,2,"[[2.0, 3.0, 1.57, 1], [2.0, 3.0, -0.0, 2]]","[[3.0, 3.0, 1.57, 1], [3.0, 4.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,38.91593098640442,6,"[0, 0]",38.919546365737915,3,"[[2.0, 3.0, -0.0, 2], [4.0, 3.0, 0.0, 3]]","[[3.0, 3.0, -0.0, 2], [3.0, 3.0, -1.57, 3]]","[[0.0, 0.0], [0.29545454541022703, 0.20454545451477202]]",[0.0],[0.0],[0.59090909090909],[0.409090909090909],1,0,5
3,30.799985647201538,5,"[0, 0]",30.80443286895752,4,"[[4.0, 3.0, 0.0, 3], [5.0, 3.0, 0.0, 4]]","[[3.0, 3.0, 0.0, 3], [3.0, 3.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.8181818180590911, 0.681818181715909]]",[1.0],[1.0],[0.636363636363636],[0.36363636363636304],0,0,5
4,29.983286380767822,5,"[0, 0]",29.986829042434692,5,"[[5.0, 3.0, 0.0, 4], [7.0, 3.0, -1.57, 5]]","[[3.0, 3.0, 1.57, 4], [3.0, 4.0, -0.0, 5]]","[[0.499999999925, 0.499999999925], [0.863636363506818, 0.636363636268181]]",[1.0],[1.0],[0.7272727272727271],[0.27272727272727204],0,0,5
5,20.618298530578613,4,"[0, 0]",20.621674299240112,6,"[[7.0, 3.0, -1.57, 5], [7.0, 1.0, 0.0, 6]]","[[3.0, 3.0, -0.0, 5], [4.0, 3.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.8409090907829541, 0.659090908992045]]",[1.0],[1.0],[0.6818181818181811],[0.318181818181818],0,0,5
6,20.639235496520996,4,"[0, 0]",20.642899990081787,7,"[[7.0, 1.0, 0.0, 6], [7.0, 1.0, 1.57, 7]]","[[3.0, 3.0, 1.57, 6], [3.0, 4.0, 1.57, 7]]","[[0.499999999925, 0.499999999925], [0.863636363506818, 0.636363636268181]]",[1.0],[1.0],[0.7272727272727271],[0.27272727272727204],0,0,5
7,21.949522018432617,4,"[0, 0]",21.953346967697144,8,"[[7.0, 1.0, 1.57, 7], [7.0, 3.0, 1.57, 8]]","[[3.0, 3.0, -0.0, 7], [3.0, 3.0, -1.57, 8]]","[[0.499999999925, 0.499999999925], [0.863636363506818, 0.636363636268181]]",[1.0],[1.0],[0.7272727272727271],[0.27272727272727204],0,0,5
8,20.82900905609131,4,"[0, 0]",20.832407474517822,9,"[[7.0, 3.0, 1.57, 8], [7.0, 5.0, -0.0, 9]]","[[4.0, 3.0, 1.57, 8], [4.0, 3.0, -0.0, 9]]","[[0.499999999925, 0.499999999925], [0.8409090907829541, 0.659090908992045]]",[1.0],[1.0],[0.6818181818181811],[0.318181818181818],0,0,5
9,20.9788658618927,4,"[0, 0]",20.98339033126831,10,"[[7.0, 5.0, -0.0, 9], [9.0, 5.0, -1.57, 10]]","[[4.0, 3.0, -0.0, 9], [4.0, 3.0, 0.0, 10]]","[[0.499999999925, 0.499999999925], [0.886363636230681, 0.613636363544318]]",[1.0],[1.0],[0.772727272727272],[0.22727272727272702],0,0,5
0,46.262224197387695,7,"[0, 0]",46.265403509140015,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[3.0, 3.0, 0.0, 0], [3.0, 3.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,36.0496244430542,6,"[0, 0]",36.05395698547363,2,"[[2.0, 3.0, 1.57, 1], [2.0, 5.0, 3.14, 2]]","[[3.0, 3.0, 1.57, 1], [3.0, 3.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,39.84328365325928,6,"[0, 0]",39.84707832336426,3,"[[2.0, 3.0, -0.0, 2], [3.0, 3.0, 1.57, 3]]","[[3.0, 3.0, -0.0, 2], [3.0, 3.0, 0.0, 3]]","[[0.0, 0.0], [0.27272727268636304, 0.227272727238636]]",[0.0],[0.0],[0.5454545454545451],[0.45454545454545403],1,1,5
