Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,534,273.79011934813263,"[0.0, -1.57]",0,0,5,0.17225806451612904
1,0,507,257.6544829431928,"[1.0, 0.0]",0,0,5,0.1635483870967742
2,0,603,315.3789093050849,"[1.0, -1.57]",0,0,5,0.19451612903225807
3,0,485,244.504467170452,"[1.0, 1.57]",0,0,5,0.15645161290322582
4,0,438,216.63418695760865,"[0.0, 1.57]",0,0,5,0.14129032258064517
5,0,533,273.02044895564785,"[0.0, 0.0]",0,0,5,0.17193548387096774
6,1,522,266.1601266675035,"[0.0, 0.0]",0,0,5,0.16838709677419356
7,1,479,240.5704879095291,"[1.0, -1.57]",0,0,5,0.15451612903225806
8,1,529,270.36468498207034,"[0.0, 1.57]",0,0,5,0.1706451612903226
9,1,458,228.11935290499304,"[0.0, -1.57]",0,0,5,0.14774193548387096
10,1,491,247.5530022204898,"[1.0, 0.0]",0,0,5,0.15838709677419355
11,1,621,325.79395099589567,"[1.0, 1.57]",0,0,5,0.20032258064516129
0,0,489,261.1560149608293,"[0.0, 1.57]",1,0,5,0.15774193548387097
1,0,483,257.4235349613894,"[0.0, -1.57]",1,0,5,0.1558064516129032
2,0,591,325.34446495120034,"[1.0, 0.0]",1,0,5,0.19064516129032258
3,0,534,289.3063499566065,"[0.0, 0.0]",1,0,5,0.17225806451612904
4,0,486,259.28612996111,"[1.0, -1.57]",1,0,5,0.1567741935483871
5,0,517,278.66659495820244,"[1.0, 1.57]",1,0,5,0.1667741935483871
6,1,514,276.42127495853936,"[1.0, -1.57]",1,0,5,0.16580645161290322
7,1,486,258.9143399611655,"[0.0, -1.57]",1,0,5,0.1567741935483871
8,1,482,256.37377496154687,"[0.0, 1.57]",1,0,5,0.15548387096774194
9,1,583,319.86967495202174,"[1.0, 0.0]",1,0,5,0.18806451612903224
10,1,495,264.4984799603281,"[1.0, 1.57]",1,0,5,0.1596774193548387
11,1,540,292.6779749561008,"[0.0, 0.0]",1,0,5,0.17419354838709677
0,0,518,281.3165099578054,"[0.0, 0.0]",2,0,5,0.16709677419354838
1,0,441,232.94371496506088,"[0.0, -1.57]",2,0,5,0.14225806451612905
2,0,522,283.78052995743553,"[1.0, 0.0]",2,0,5,0.16838709677419356
3,0,467,249.20770496262148,"[0.0, 1.57]",2,0,5,0.15064516129032257
4,0,670,377.8725599433221,"[1.0, 1.57]",2,0,5,0.2161290322580645
5,0,482,258.6045149612121,"[1.0, -1.57]",2,0,5,0.15548387096774194
6,1,479,252.71783996209504,"[0.0, -1.57]",2,0,5,0.15451612903225806
7,1,449,234.17936996487555,"[0.0, 1.57]",2,0,5,0.14483870967741935
8,1,519,277.6387049583571,"[0.0, 0.0]",2,0,5,0.16741935483870968
9,1,459,240.35035496395005,"[1.0, 1.57]",2,0,5,0.14806451612903226
10,1,501,266.4412649600366,"[1.0, 0.0]",2,0,5,0.16161290322580646
11,1,693,386.94131994196135,"[1.0, -1.57]",2,0,5,0.2235483870967742
0,0,416,215.81950496762892,"[0.0, -1.57]",3,0,5,0.13419354838709677
1,0,728,412.70417993809656,"[1.0, 0.0]",3,0,5,0.23483870967741935
2,0,394,202.28926496965832,"[0.0, 1.57]",3,0,5,0.1270967741935484
3,0,530,286.90429495696696,"[1.0, -1.57]",3,0,5,0.17096774193548386
4,0,515,277.4746799583816,"[1.0, 1.57]",3,0,5,0.16612903225806452
5,0,517,278.7139799581958,"[0.0, 0.0]",3,0,5,0.1667741935483871
6,1,524,280.6604099579036,"[1.0, 1.57]",3,0,5,0.16903225806451613
7,1,731,411.1404749383313,"[1.0, 0.0]",3,0,5,0.23580645161290323
8,1,538,289.41934495658995,"[0.0, 0.0]",3,0,5,0.1735483870967742
9,1,388,196.75250997048855,"[0.0, 1.57]",3,0,5,0.12516129032258064
10,1,513,273.7203299589447,"[1.0, -1.57]",3,0,5,0.16548387096774195
11,1,406,207.77863496883504,"[0.0, -1.57]",3,0,5,0.13096774193548388
0,0,365,90.98189998635245,"[0.0, 1.57]",4,0,5,0.11774193548387096
1,0,455,123.42239998148756,"[1.0, -1.57]",4,0,5,0.14677419354838708
2,0,706,217.71854996734197,"[1.0, 0.0]",4,0,5,0.22774193548387098
3,0,624,186.44444997203357,"[1.0, 1.57]",4,0,5,0.20129032258064516
4,0,579,169.49519997457588,"[0.0, 0.0]",4,0,5,0.1867741935483871
5,0,371,93.20534998601896,"[0.0, -1.57]",4,0,5,0.11967741935483871
6,1,633,187.7201999718421,"[1.0, -1.57]",4,0,5,0.20419354838709677
7,1,585,169.85969997452125,"[0.0, 0.0]",4,0,5,0.18870967741935485
8,1,370,91.5286499862704,"[0.0, -1.57]",4,0,5,0.11935483870967742
9,1,362,88.75844998668585,"[0.0, 1.57]",4,0,5,0.1167741935483871
10,1,439,116.27819998255892,"[1.0, 1.57]",4,0,5,0.14161290322580644
11,1,711,217.49984996737453,"[1.0, 0.0]",4,0,5,0.2293548387096774
0,0,726,169.96499997450687,"[1.0, 0.0]",5,0,5,0.23419354838709677
1,0,388,69.56549998956507,"[0.0, 1.57]",5,0,5,0.12516129032258064
2,0,387,69.32249998960152,"[0.0, -1.57]",5,0,5,0.12483870967741935
3,0,568,121.9319999817111,"[1.0, 1.57]",5,0,5,0.1832258064516129
4,0,466,91.9214999862124,"[0.0, 0.0]",5,0,5,0.1503225806451613
5,0,565,121.04099998184464,"[1.0, -1.57]",5,0,5,0.18225806451612903
6,1,379,67.13549998992946,"[0.0, 1.57]",5,0,5,0.12225806451612903
7,1,397,72.07649998918855,"[0.0, -1.57]",5,0,5,0.12806451612903225
8,1,567,121.64849998175356,"[1.0, 1.57]",5,0,5,0.1829032258064516
9,1,464,91.3544999862974,"[0.0, 0.0]",5,0,5,0.14967741935483872
10,1,559,119.25899998211204,"[1.0, -1.57]",5,0,5,0.1803225806451613
11,1,734,172.51649997412412,"[1.0, 0.0]",5,0,5,0.2367741935483871
0,0,401,79.10549998813444,"[0.0, 0.0]",6,0,5,0.12935483870967743
1,0,639,152.68499997709668,"[1.0, 0.0]",6,0,5,0.2061290322580645
2,0,654,157.45499997638134,"[1.0, -1.57]",6,0,5,0.21096774193548387
