timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,19.18127465248108,5,"[0, 0]",19.18473982810974,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.5707963267948961, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.5707963267948961, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,12.136631965637207,4,"[0, 0]",12.140025615692139,1,"[[2.0, 3.0, -1.5707963267948961, 0], [2.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 5.0, 1.5707963267948961, 0], [2.0, 6.0, 1.5707963267948961, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,11.3934166431427,4,"[0, 0]",11.396530628204346,1,"[[2.0, 2.0, -1.5707963267948961, 0], [2.0, 1.0, 0.0, 1]]","[[2.0, 6.0, 1.5707963267948961, 0], [2.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,11.81544828414917,4,"[0, 0]",11.81890869140625,1,"[[2.0, 1.0, 0.0, 0], [3.0, 1.0, 0.0, 1]]","[[2.0, 7.0, 0.0, 0], [3.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,5.861496925354004,3,"[0, 0]",5.864598989486694,1,"[[3.0, 1.0, 0.0, 0], [4.0, 1.0, 0.0, 1]]","[[3.0, 7.0, 0.0, 0], [4.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,1.8049297332763672,2,"[0, 0]",1.807756900787353,1,"[[4.0, 1.0, 0.0, 0], [5.0, 1.0, 0.0, 1]]","[[4.0, 7.0, 0.0, 0], [5.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
6,0.7335522174835201,2,"[0, 0]",0.73689317703247,1,"[[5.0, 1.0, 0.0, 0], [6.0, 1.0, -1.5707963267948961, 1]]","[[5.0, 7.0, 0.0, 0], [6.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
0,18.75809955596924,5,"[0, 0]",18.7614266872406,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.5707963267948961, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.5707963267948961, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,12.05987811088562,4,"[0, 0]",12.063018560409546,1,"[[2.0, 3.0, -1.5707963267948961, 0], [2.0, 2.0, -1.5707963267948961, 1]]","[[2.0, 5.0, 1.5707963267948961, 0], [2.0, 6.0, 1.5707963267948961, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,11.834641456604004,4,"[0, 0]",11.837892532348633,1,"[[2.0, 2.0, -1.5707963267948961, 0], [2.0, 1.0, 0.0, 1]]","[[2.0, 6.0, 1.5707963267948961, 0], [2.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
3,11.232332229614258,4,"[0, 0]",11.236154556274414,1,"[[2.0, 1.0, 0.0, 0], [3.0, 1.0, 0.0, 1]]","[[2.0, 7.0, 0.0, 0], [3.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
4,5.7340850830078125,3,"[0, 0]",5.737159967422485,1,"[[3.0, 1.0, 0.0, 0], [4.0, 1.0, 0.0, 1]]","[[3.0, 7.0, 0.0, 0], [4.0, 7.0, 0.0, 1]]","[[0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
