Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,636,322.55220426831573,"[1.0, -1.57]",0,0,5,0.20516129032258065
1,0,427,201.50166230584225,"[0.0, 1.57]",0,0,5,0.13774193548387098
2,0,567,282.2250368822712,"[0.0, -1.57]",0,0,5,0.1829032258064516
3,0,463,222.10988635764852,"[1.0, 1.57]",0,0,5,0.14935483870967742
4,0,520,255.0285360753832,"[0.0, 0.0]",0,0,5,0.16774193548387098
5,0,487,235.85198021394768,"[1.0, 0.0]",0,0,5,0.1570967741935484
6,1,614,309.87368347123714,"[1.0, 1.57]",0,0,5,0.19806451612903225
7,1,437,207.4631264133457,"[0.0, -1.57]",0,0,5,0.14096774193548386
8,1,524,257.46107321866646,"[0.0, 0.0]",0,0,5,0.16903225806451613
9,1,506,247.1229618259925,"[1.0, 0.0]",0,0,5,0.16322580645161291
10,1,459,220.077541148892,"[1.0, -1.57]",0,0,5,0.14806451612903226
11,1,560,278.3869461251071,"[0.0, 1.57]",0,0,5,0.18064516129032257
0,0,507,237.72812711434003,"[1.0, -1.57]",1,0,5,0.1635483870967742
1,0,572,274.0420535036301,"[1.0, 0.0]",1,0,5,0.18451612903225806
2,0,488,227.13779383489384,"[0.0, 1.57]",1,0,5,0.15741935483870967
3,0,494,230.48740751542587,"[0.0, -1.57]",1,0,5,0.15935483870967743
4,0,508,238.308654753727,"[1.0, 1.57]",1,0,5,0.1638709677419355
5,0,531,251.16712700706125,"[0.0, 0.0]",1,0,5,0.17129032258064517
6,1,489,227.7771447447805,"[0.0, -1.57]",1,0,5,0.15774193548387097
7,1,574,275.4421709034201,"[1.0, 0.0]",1,0,5,0.18516129032258064
8,1,515,242.3554795531199,"[1.0, -1.57]",1,0,5,0.16612903225806452
9,1,504,236.21657630930343,"[1.0, 1.57]",1,0,5,0.1625806451612903
10,1,489,227.8468819055676,"[0.0, 1.57]",1,0,5,0.15774193548387097
11,1,529,250.08321591275885,"[0.0, 0.0]",1,0,5,0.1706451612903226
0,0,520,220.2854546819571,"[1.0, 0.0]",2,0,5,0.16774193548387098
1,0,514,217.25092657241228,"[0.0, 0.0]",2,0,5,0.16580645161290322
2,0,457,188.23660993676432,"[0.0, -1.57]",2,0,5,0.1474193548387097
3,0,482,200.9174759201257,"[0.0, 1.57]",2,0,5,0.15548387096774194
4,0,652,288.461068111731,"[1.0, 1.57]",2,0,5,0.2103225806451613
5,0,475,197.36617582539495,"[1.0, -1.57]",2,0,5,0.1532258064516129
6,1,1077,450.2224684124696,"[0.0, 1.57]",2,0,5,0.34741935483870967
7,1,1004,415.3476317629638,"[0.0, 0.0]",2,0,5,0.32387096774193547
8,1,1019,422.45880959663504,"[0.0, -1.57]",2,0,5,0.32870967741935486
0,0,470,178.38367820147874,"[0.0, -1.57]",3,0,5,0.15161290322580645
1,0,638,258.8073579691772,"[1.0, 1.57]",3,0,5,0.20580645161290323
2,0,528,205.843123301106,"[0.0, 0.0]",3,0,5,0.1703225806451613
3,0,521,202.51447005262185,"[1.0, 0.0]",3,0,5,0.16806451612903225
4,0,465,175.96117489745802,"[0.0, 1.57]",3,0,5,0.15
5,0,478,182.1667409594113,"[1.0, -1.57]",3,0,5,0.15419354838709678
6,1,527,198.6394405471871,"[0.0, 0.0]",3,0,5,0.17
7,1,522,196.3205251985513,"[0.0, 1.57]",3,0,5,0.16838709677419356
8,1,495,183.86115667592043,"[0.0, -1.57]",3,0,5,0.1596774193548387
9,1,507,189.38414328230252,"[1.0, -1.57]",3,0,5,0.1635483870967742
10,1,518,194.48041073632749,"[1.0, 1.57]",3,0,5,0.16709677419354838
11,1,531,200.4408577650492,"[1.0, 0.0]",3,0,5,0.17129032258064517
0,0,442,152.5840538202625,"[0.0, -1.57]",4,0,5,0.14258064516129032
1,0,528,190.90280995801447,"[1.0, -1.57]",4,0,5,0.1703225806451613
