timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,34.57352113723755,6,"[0, 0]",34.57774019241333,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
1,28.25242590904236,5,"[0, 0]",28.256350994110107,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 6.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,23.555521965026855,5,"[0, 0]",23.558553457260132,3,"[[2.0, 2.0, -1.57, 2], [2.0, 2.0, -1.57, 3]]","[[2.0, 6.0, -0.0, 2], [2.0, 6.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,25.22692322731018,5,"[0, 0]",25.231730222702026,4,"[[2.0, 2.0, -1.57, 3], [2.0, 1.0, 0.0, 4]]","[[2.0, 6.0, -1.57, 3], [2.0, 6.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,22.874617099761963,5,"[0, 0]",22.877200603485107,5,"[[2.0, 1.0, 0.0, 4], [3.0, 1.0, 1.57, 5]]","[[2.0, 6.0, 0.0, 4], [2.0, 6.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
5,16.387855768203735,4,"[0, 0]",16.39027976989746,6,"[[3.0, 1.0, 1.57, 5], [3.0, 1.0, -0.0, 6]]","[[2.0, 6.0, -1.57, 5], [2.0, 6.0, -1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
6,18.431668043136597,4,"[0, 0]",18.43566656112671,7,"[[3.0, 1.0, -0.0, 6], [4.0, 1.0, 1.57, 7]]","[[2.0, 5.0, -1.57, 6], [2.0, 5.0, -1.57, 7]]","[[0.499999999925, 0.499999999925], [0.8499999998725001, 0.6499999999025]]",[1.0],[1.0],[0.7000000000000001],[0.30000000000000004],0,0,5
7,10.833240985870361,3,"[0, 0]",10.837289094924927,8,"[[4.0, 1.0, 1.57, 7], [4.0, 2.0, -0.0, 8]]","[[2.0, 4.0, 0.0, 7], [2.0, 4.0, -1.57, 8]]","[[0.499999999925, 0.499999999925], [0.8499999998725001, 0.6499999999025]]",[1.0],[1.0],[0.7000000000000001],[0.30000000000000004],0,0,5
8,8.718226671218872,3,"[0, 0]",8.721911907196045,9,"[[4.0, 2.0, -0.0, 8], [5.0, 2.0, 1.57, 9]]","[[2.0, 4.0, 0.0, 8], [3.0, 4.0, 0.0, 9]]","[[0.499999999925, 0.499999999925], [0.8499999998725001, 0.6499999999025]]",[1.0],[1.0],[0.7000000000000001],[0.30000000000000004],0,0,5
9,3.1295166015625,2,"[0, 0]",3.134326457977295,10,"[[5.0, 2.0, 1.57, 9], [5.0, 3.0, -0.0, 10]]","[[2.0, 4.0, 0.0, 9], [3.0, 4.0, -1.57, 10]]","[[0.499999999925, 0.499999999925], [0.8499999998725001, 0.6499999999025]]",[1.0],[1.0],[0.7000000000000001],[0.30000000000000004],0,0,5
