Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,3334,1567.3842372767908,"[0.0, 0.0]",0,0,5,0.1667
1,0,3955,1884.205448666425,"[1.0, -1.57]",0,0,5,0.19775
2,0,2931,1362.8958787929648,"[0.0, -1.57]",0,0,5,0.14655
3,0,4425,2125.1208534331104,"[1.0, 0.0]",0,0,5,0.22125
4,0,2414,1102.253523333355,"[0.0, 1.57]",0,0,5,0.1207
5,0,2941,1367.9611385004612,"[1.0, 1.57]",0,0,5,0.14705
6,1,3503,1653.9562932163228,"[0.0, 0.0]",0,0,5,0.17515
7,1,3855,1833.736347425662,"[1.0, -1.57]",0,0,5,0.19275
8,1,2969,1382.6337536771157,"[1.0, 1.57]",0,0,5,0.14845
9,1,2945,1370.5087855140089,"[0.0, -1.57]",0,0,5,0.14725
10,1,4368,2096.7832803148544,"[1.0, 0.0]",0,0,5,0.2184
11,1,2360,1075.5541426796328,"[0.0, 1.57]",0,0,5,0.118
0,0,3263,1373.0706456849666,"[0.0, 0.0]",1,0,5,0.16315
1,0,3435,1452.2818037170416,"[1.0, 0.0]",1,0,5,0.17175
2,0,4122,1769.9869736587057,"[1.0, 1.57]",1,0,5,0.2061
3,0,2842,1179.9634781315203,"[0.0, -1.57]",1,0,5,0.1421
4,0,2480,1015.1677804816098,"[0.0, 1.57]",1,0,5,0.124
5,0,3858,1647.5164573143795,"[1.0, -1.57]",1,0,5,0.1929
6,1,4010,1718.0434562698742,"[1.0, 1.57]",1,0,5,0.2005
7,1,3340,1408.3573611200743,"[0.0, 0.0]",1,0,5,0.167
8,1,2431,992.9529537456286,"[0.0, 1.57]",1,0,5,0.12155
9,1,3915,1673.9016679542433,"[1.0, -1.57]",1,0,5,0.19575
10,1,3522,1492.3804869372848,"[1.0, 0.0]",1,0,5,0.1761
11,1,2782,1152.7099356360825,"[0.0, -1.57]",1,0,5,0.1391
0,0,4091,1686.8878857162551,"[1.0, -1.57]",2,0,5,0.20455
1,0,2988,1196.7289073843983,"[1.0, 1.57]",2,0,5,0.1494
2,0,3326,1346.1560097907795,"[0.0, 0.0]",2,0,5,0.1663
3,0,2321,904.0291923360506,"[0.0, 1.57]",2,0,5,0.11605
4,0,3735,1527.9750036228045,"[1.0, 0.0]",2,0,5,0.18675
5,0,3539,1440.662491870826,"[0.0, -1.57]",2,0,5,0.17695
6,1,3407,1382.304809785186,"[0.0, 0.0]",2,0,5,0.17035
7,1,2294,892.202897276687,"[0.0, 1.57]",2,0,5,0.1147
8,1,3810,1561.5864810580258,"[1.0, 0.0]",2,0,5,0.1905
9,1,4120,1700.0446281345814,"[1.0, -1.57]",2,0,5,0.206
10,1,2982,1194.2253939097377,"[1.0, 1.57]",2,0,5,0.1491
11,1,3387,1373.4304551066978,"[0.0, -1.57]",2,0,5,0.16935
0,0,2645,943.7105828921772,"[0.0, -1.57]",3,0,5,0.13225
1,0,3207,1169.714413276781,"[0.0, 1.57]",3,0,5,0.16035
2,0,3496,1286.716770044897,"[0.0, 0.0]",3,0,5,0.1748
3,0,3299,1206.8576649106797,"[1.0, 0.0]",3,0,5,0.16495
4,0,3714,1375.2757631464658,"[1.0, 1.57]",3,0,5,0.1857
5,0,3639,1344.7530432676008,"[1.0, -1.57]",3,0,5,0.18195
6,1,3219,1173.5984278662468,"[0.0, 1.57]",3,0,5,0.16095
7,1,2619,932.505510896193,"[0.0, -1.57]",3,0,5,0.13095
8,1,3539,1303.1183999076163,"[0.0, 0.0]",3,0,5,0.17695
9,1,3300,1206.3266069580316,"[1.0, 0.0]",3,0,5,0.165
10,1,3565,1313.6239148301884,"[1.0, -1.57]",3,0,5,0.17825
11,1,3758,1392.0440697461947,"[1.0, 1.57]",3,0,5,0.1879
0,0,4573,1368.0504794897931,"[0.0, 1.57]",4,0,5,0.22865
1,0,2323,633.1951224400365,"[1.0, -1.57]",4,0,5,0.11615
2,0,4040,1191.660561507506,"[1.0, 1.57]",4,0,5,0.202
3,0,4094,1209.3993977835937,"[0.0, 0.0]",4,0,5,0.2047
4,0,2244,608.156279728789,"[1.0, 0.0]",4,0,5,0.1122
5,0,2726,762.3711576881703,"[0.0, -1.57]",4,0,5,0.1363
6,1,4062,1199.11003572389,"[0.0, 0.0]",4,0,5,0.2031
