timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,196.03658628463745,7,"[0, 0]",196.03929495811462,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,162.85015678405762,6,"[0, 0]",162.85300612449646,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 4.71, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,116.82525515556335,5,"[0, 0]",116.82799124717712,3,"[[3.0, 2.0, 4.71, 2], [3.0, 1.0, 3.14, 3]]","[[2.0, 3.0, 1.57, 2], [2.0, 4.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,113.78488636016846,5,"[0, 0]",113.78769946098328,4,"[[3.0, 1.0, 3.14, 3], [2.0, 1.0, 4.71, 4]]","[[2.0, 4.0, -0.0, 3], [3.0, 4.0, 1.57, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,64.64689254760742,4,"[0, 0]",64.64947581291199,5,"[[2.0, 1.0, 4.71, 4], [2.0, 1.0, 6.28, 5]]","[[3.0, 4.0, 1.57, 4], [3.0, 4.0, 3.14, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,74.37991714477539,4,"[0, 0]",74.38258194923401,6,"[[2.0, 1.0, 6.28, 5], [2.0, 1.0, 1.57, 6]]","[[3.0, 4.0, 3.14, 5], [3.0, 4.0, 4.71, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
6,77.49903774261475,4,"[0, 0]",77.50176787376404,7,"[[2.0, 1.0, 1.57, 6], [2.0, 2.0, 3.14, 7]]","[[3.0, 4.0, 4.71, 6], [3.0, 3.0, 6.28, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
7,75.54237914085388,4,"[0, 0]",75.54492545127869,8,"[[2.0, 2.0, 3.14, 7], [2.0, 2.0, 1.57, 8]]","[[3.0, 3.0, 6.28, 7], [4.0, 3.0, 4.71, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
8,75.89172196388245,4,"[0, 0]",75.89458322525024,9,"[[2.0, 2.0, 1.57, 8], [2.0, 3.0, 3.14, 9]]","[[4.0, 3.0, 4.71, 8], [4.0, 3.0, 4.71, 9]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
9,26.54268980026245,3,"[0, 0]",26.545722246170044,10,"[[2.0, 3.0, 3.14, 9], [2.0, 3.0, 1.57, 10]]","[[4.0, 2.0, 6.28, 9], [4.0, 2.0, 6.28, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
0,196.0473508834839,7,"[0, 0]",196.04993844032288,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,162.745587348938,6,"[0, 0]",162.74899864196777,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 4.71, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,116.86085963249207,5,"[0, 0]",116.86508536338806,3,"[[3.0, 2.0, 4.71, 2], [3.0, 1.0, 3.14, 3]]","[[2.0, 3.0, 1.57, 2], [2.0, 4.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
3,114.17164540290833,5,"[0, 0]",114.17503452301025,4,"[[3.0, 1.0, 3.14, 3], [2.0, 1.0, 4.71, 4]]","[[2.0, 4.0, -0.0, 3], [3.0, 4.0, 1.57, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
4,63.82027816772461,4,"[0, 0]",63.82345652580261,5,"[[2.0, 1.0, 4.71, 4], [2.0, 1.0, 6.28, 5]]","[[3.0, 4.0, 1.57, 4], [3.0, 4.0, 3.14, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
5,74.34428977966309,4,"[0, 0]",74.34711456298828,6,"[[2.0, 1.0, 6.28, 5], [2.0, 1.0, 1.57, 6]]","[[3.0, 4.0, 3.14, 5], [3.0, 4.0, 4.71, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
