Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,544,268.0072564784116,"[1.0, -1.57]",0,0,5,0.17548387096774193
1,0,587,293.0304100722978,"[1.0, 0.0]",0,0,5,0.18935483870967743
2,0,527,258.1389496223286,"[0.0, 0.0]",0,0,5,0.17
3,0,487,235.16529986416356,"[0.0, -1.57]",0,0,5,0.1570967741935484
4,0,454,216.25010334488968,"[0.0, 1.57]",0,0,5,0.1464516129032258
5,0,501,243.18743383410293,"[1.0, 1.57]",0,0,5,0.16161290322580646
6,1,447,213.0749577663813,"[0.0, 1.57]",0,0,5,0.14419354838709678
7,1,489,237.11262065168532,"[0.0, -1.57]",0,0,5,0.15774193548387097
8,1,541,267.2152625313244,"[0.0, 0.0]",0,0,5,0.17451612903225808
9,1,540,266.55305772193464,"[1.0, -1.57]",0,0,5,0.17419354838709677
10,1,503,245.20045741317568,"[1.0, 1.57]",0,0,5,0.16225806451612904
11,1,580,289.8085834809152,"[1.0, 0.0]",0,0,5,0.1870967741935484
0,0,578,256.2107423341394,"[1.0, 1.57]",1,0,5,0.18645161290322582
1,0,538,235.3122052131237,"[0.0, 0.0]",1,0,5,0.1735483870967742
2,0,435,181.7419716859499,"[0.0, 1.57]",1,0,5,0.1403225806451613
3,0,531,231.61864937192877,"[1.0, -1.57]",1,0,5,0.17129032258064517
4,0,492,211.1190121972517,"[1.0, 0.0]",1,0,5,0.15870967741935485
5,0,526,229.02923773039296,"[0.0, -1.57]",1,0,5,0.1696774193548387
6,1,514,222.93836693957897,"[0.0, -1.57]",1,0,5,0.16580645161290322
7,1,543,238.24414281432607,"[1.0, -1.57]",1,0,5,0.17516129032258065
8,1,524,228.21966496842515,"[0.0, 0.0]",1,0,5,0.16903225806451613
9,1,432,180.54928857577252,"[0.0, 1.57]",1,0,5,0.1393548387096774
10,1,544,238.751498743301,"[1.0, 1.57]",1,0,5,0.17548387096774193
11,1,543,238.2184244910998,"[1.0, 0.0]",1,0,5,0.17516129032258065
0,0,449,181.70699010448345,"[0.0, 1.57]",2,0,5,0.14483870967741935
1,0,515,214.7628687107162,"[0.0, -1.57]",2,0,5,0.16612903225806452
2,0,518,216.35917117545944,"[0.0, 0.0]",2,0,5,0.16709677419354838
3,0,557,236.1711104636371,"[1.0, 0.0]",2,0,5,0.17967741935483872
4,0,488,201.21707650111637,"[1.0, 1.57]",2,0,5,0.15741935483870967
5,0,573,244.2688246586256,"[1.0, -1.57]",2,0,5,0.18483870967741936
6,1,495,205.08389427985023,"[1.0, 1.57]",2,0,5,0.1596774193548387
7,1,534,224.76802093337244,"[0.0, 0.0]",2,0,5,0.17225806451612904
8,1,559,237.53905110562224,"[1.0, 0.0]",2,0,5,0.1803225806451613
9,1,440,177.23464855378032,"[0.0, 1.57]",2,0,5,0.14193548387096774
10,1,570,243.0753338741232,"[1.0, -1.57]",2,0,5,0.18387096774193548
11,1,502,208.61856431701483,"[0.0, -1.57]",2,0,5,0.16193548387096773
0,0,532,203.00838002593025,"[0.0, 0.0]",3,0,5,0.17161290322580644
1,0,459,168.94392729701605,"[0.0, -1.57]",3,0,5,0.14806451612903226
