timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,41.39552164077759,7,"[0, 0]",41.39936637878418,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,34.71219992637634,6,"[0, 0]",34.717291593551636,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 4.71, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,25.252580404281616,5,"[0, 0]",25.256780862808228,3,"[[3.0, 2.0, 4.71, 2], [3.0, 1.0, 3.14, 3]]","[[2.0, 3.0, 1.57, 2], [2.0, 4.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,25.384252548217773,5,"[0, 0]",25.388761043548584,4,"[[3.0, 1.0, 3.14, 3], [2.0, 1.0, 4.71, 4]]","[[2.0, 4.0, -0.0, 3], [3.0, 4.0, 1.57, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,16.173820972442627,4,"[0, 0]",16.17814040184021,5,"[[2.0, 1.0, 4.71, 4], [2.0, 1.0, 4.71, 5]]","[[3.0, 4.0, 1.57, 4], [3.0, 4.0, 1.57, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,13.965214014053345,4,"[0, 0]",13.968360185623169,6,"[[2.0, 1.0, 4.71, 5], [2.0, 1.0, 4.71, 6]]","[[3.0, 4.0, 1.57, 5], [3.0, 4.0, 1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
6,12.73445749282837,4,"[0, 0]",12.738012552261353,7,"[[2.0, 1.0, 4.71, 6], [2.0, 1.0, 4.71, 7]]","[[3.0, 4.0, 1.57, 6], [3.0, 4.0, 1.57, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
7,12.68713116645813,4,"[0, 0]",12.690846681594849,8,"[[2.0, 1.0, 4.71, 7], [2.0, 1.0, 4.71, 8]]","[[3.0, 4.0, 1.57, 7], [3.0, 4.0, 1.57, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
8,12.811023712158203,4,"[0, 0]",12.815130233764648,9,"[[2.0, 1.0, 4.71, 8], [2.0, 1.0, 4.71, 9]]","[[3.0, 4.0, 1.57, 8], [3.0, 4.0, 1.57, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
9,12.683748483657837,4,"[0, 0]",12.687084197998047,10,"[[2.0, 1.0, 4.71, 9], [2.0, 1.0, 4.71, 10]]","[[3.0, 4.0, 1.57, 9], [3.0, 4.0, 1.57, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
0,41.10145926475525,7,"[0, 0]",41.10483908653259,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,35.39921569824219,6,"[0, 0]",35.40329599380493,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 4.71, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,25.54305863380432,5,"[0, 0]",25.54607915878296,3,"[[3.0, 2.0, 4.71, 2], [3.0, 1.0, 3.14, 3]]","[[2.0, 3.0, 1.57, 2], [2.0, 4.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
3,26.361308097839355,5,"[0, 0]",26.365510940551758,4,"[[3.0, 1.0, 3.14, 3], [2.0, 1.0, 4.71, 4]]","[[2.0, 4.0, -0.0, 3], [3.0, 4.0, 1.57, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
4,15.831350564956665,4,"[0, 0]",15.836054563522339,5,"[[2.0, 1.0, 4.71, 4], [2.0, 1.0, 4.71, 5]]","[[3.0, 4.0, 1.57, 4], [3.0, 4.0, 1.57, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
5,12.740083932876587,4,"[0, 0]",12.743909120559692,6,"[[2.0, 1.0, 4.71, 5], [2.0, 1.0, 4.71, 6]]","[[3.0, 4.0, 1.57, 5], [3.0, 4.0, 1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
6,12.8514723777771,4,"[0, 0]",12.854712963104248,7,"[[2.0, 1.0, 4.71, 6], [2.0, 1.0, 4.71, 7]]","[[3.0, 4.0, 1.57, 6], [3.0, 4.0, 1.57, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
7,12.724993705749512,4,"[0, 0]",12.727799415588379,8,"[[2.0, 1.0, 4.71, 7], [2.0, 1.0, 4.71, 8]]","[[3.0, 4.0, 1.57, 7], [3.0, 4.0, 1.57, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
8,12.691041946411133,4,"[0, 0]",12.695040941238403,9,"[[2.0, 1.0, 4.71, 8], [2.0, 1.0, 4.71, 9]]","[[3.0, 4.0, 1.57, 8], [3.0, 4.0, 1.57, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
9,12.639631509780884,4,"[0, 0]",12.6432466506958,10,"[[2.0, 1.0, 4.71, 9], [2.0, 1.0, 4.71, 10]]","[[3.0, 4.0, 1.57, 9], [3.0, 4.0, 1.57, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
0,33.236522912979126,7,"[0, 0]",33.240275621414185,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
1,27.159353017807007,6,"[0, 0]",27.16295027732849,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 1.57, 2]]","[[1.0, 3.0, -1.57, 1], [1.0, 2.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,8
2,20.212554931640625,5,"[0, 0]",20.215449333190918,3,"[[3.0, 2.0, 1.57, 2], [3.0, 3.0, 1.57, 3]]","[[1.0, 2.0, 0.0, 2], [2.0, 2.0, -1.57, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
3,15.932317733764648,5,"[0, 0]",15.935816526412964,4,"[[3.0, 3.0, 1.57, 3], [3.0, 3.0, 1.57, 4]]","[[2.0, 2.0, -1.57, 3], [2.0, 1.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.62499999990625, 0.87499999986875]]",[1.0],[1.0],[0.25],[0.75],0,0,8
4,2.2665200233459473,2,"[0, 0]",2.269545078277588,5,"[[3.0, 3.0, 1.57, 4], [3.0, 4.0, 1.57, 5]]","[[2.0, 1.0, 0.0, 4], [2.0, 1.0, -1.57, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
5,0.8810977935791011,2,"[0, 0]",0.884445428848266,6,"[[3.0, 4.0, 1.57, 5], [3.0, 5.0, 1.57, 6]]","[[2.0, 1.0, -1.57, 5], [2.0, 0.0, -3.14, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
0,32.963592767715454,7,"[0, 0]",32.96638464927673,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, -1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,8
