Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,367,181.25173004728333,"[1.0, 0.0]",0,0,5,0.11838709677419355
1,0,342,166.43717145883858,"[2.0, 1.57]",0,0,5,0.11032258064516129
2,0,346,168.7974733790749,"[1.0, -1.57]",0,0,5,0.11161290322580646
3,0,358,175.6914281960524,"[2.0, -1.57]",0,0,5,0.11548387096774193
4,0,405,204.18100471107903,"[2.0, 0.0]",0,0,5,0.13064516129032258
5,0,301,142.06863784047005,"[1.0, 1.57]",0,0,5,0.09709677419354838
6,0,330,159.2653055172481,"[0.0, -1.57]",0,0,5,0.1064516129032258
7,0,336,162.85648504925456,"[0.0, 0.0]",0,0,5,0.10838709677419354
8,0,315,150.40307062423335,"[0.0, 1.57]",0,0,5,0.10161290322580645
9,1,321,153.50751746162572,"[1.0, -1.57]",0,0,5,0.10354838709677419
10,1,381,189.39731136423416,"[2.0, 1.57]",0,0,5,0.12290322580645162
11,1,432,219.92015221643229,"[2.0, 0.0]",0,0,5,0.1393548387096774
12,1,331,159.42204187282422,"[2.0, -1.57]",0,0,5,0.1067741935483871
13,1,315,150.0739665333893,"[0.0, 1.57]",0,0,5,0.10161290322580645
14,1,300,141.26684450169944,"[0.0, -1.57]",0,0,5,0.0967741935483871
15,1,335,161.89763147393444,"[1.0, 1.57]",0,0,5,0.10806451612903226
16,1,352,172.05058235290872,"[1.0, 0.0]",0,0,5,0.1135483870967742
17,1,333,160.72583898438938,"[0.0, 0.0]",0,0,5,0.10741935483870968
0,0,318,138.94403694240245,"[2.0, 1.57]",1,0,5,0.10258064516129033
1,0,353,158.3371737298136,"[2.0, -1.57]",1,0,5,0.11387096774193549
2,0,344,153.34282495839713,"[1.0, -1.57]",1,0,5,0.11096774193548387
3,0,426,199.1442298758419,"[2.0, 0.0]",1,0,5,0.13741935483870968
4,0,323,141.52208563410403,"[0.0, 0.0]",1,0,5,0.10419354838709677
5,0,379,172.8575691497076,"[1.0, 0.0]",1,0,5,0.12225806451612903
6,0,298,127.97934595294984,"[0.0, 1.57]",1,0,5,0.09612903225806452
7,0,328,144.5164121736981,"[0.0, -1.57]",1,0,5,0.10580645161290322
8,0,331,146.1573863528635,"[1.0, 1.57]",1,0,5,0.1067741935483871
9,1,311,134.978356487298,"[2.0, -1.57]",1,0,5,0.1003225806451613
10,1,304,131.11235434270688,"[0.0, -1.57]",1,0,5,0.09806451612903226
11,1,455,215.39334550318787,"[2.0, 0.0]",1,0,5,0.14677419354838708
12,1,304,131.14389156484157,"[1.0, -1.57]",1,0,5,0.09806451612903226
13,1,359,161.3079584623877,"[2.0, 1.57]",1,0,5,0.11580645161290322
14,1,327,143.7653530532882,"[0.0, 0.0]",1,0,5,0.10548387096774194
15,1,390,178.7370967895625,"[1.0, 0.0]",1,0,5,0.12580645161290321
16,1,330,145.41146959304484,"[1.0, 1.57]",1,0,5,0.1064516129032258
17,1,320,139.88503546737095,"[0.0, 1.57]",1,0,5,0.1032258064516129
0,0,306,122.2756601355342,"[0.0, 1.57]",2,0,5,0.09870967741935484
1,0,314,126.3182101155064,"[1.0, 1.57]",2,0,5,0.10129032258064516
2,0,368,154.48811395105056,"[2.0, -1.57]",2,0,5,0.11870967741935484
3,0,418,180.906197564479,"[2.0, 0.0]",2,0,5,0.13483870967741934
4,0,324,131.5537088122387,"[0.0, -1.57]",2,0,5,0.10451612903225807
5,0,332,135.6933341705667,"[0.0, 0.0]",2,0,5,0.10709677419354839
6,0,316,127.40695085605248,"[2.0, 1.57]",2,0,5,0.10193548387096774
7,0,337,138.26104619875372,"[1.0, -1.57]",2,0,5,0.10870967741935483
8,0,385,163.36724751016138,"[1.0, 0.0]",2,0,5,0.12419354838709677
9,1,328,133.6258133942125,"[1.0, -1.57]",2,0,5,0.10580645161290322
10,1,331,135.1368448446891,"[2.0, -1.57]",2,0,5,0.1067741935483871
11,1,319,128.98516080066227,"[0.0, 1.57]",2,0,5,0.10290322580645161
12,1,357,148.76420396170056,"[2.0, 1.57]",2,0,5,0.11516129032258064
13,1,415,179.31877834797842,"[2.0, 0.0]",2,0,5,0.1338709677419355
14,1,283,110.45572689575306,"[0.0, -1.57]",2,0,5,0.09129032258064516
15,1,336,137.8146849934867,"[0.0, 0.0]",2,0,5,0.10838709677419354
16,1,380,160.8013207227482,"[1.0, 0.0]",2,0,5,0.12258064516129032
17,1,351,145.656906396819,"[1.0, 1.57]",2,0,5,0.1132258064516129
0,0,325,122.6157427148312,"[2.0, 1.57]",3,0,5,0.10483870967741936
1,0,321,120.58889823376826,"[0.0, 0.0]",3,0,5,0.10354838709677419
2,0,303,111.86471748536816,"[0.0, 1.57]",3,0,5,0.09774193548387097
3,0,364,141.75761300384377,"[2.0, -1.57]",3,0,5,0.11741935483870967
4,0,405,162.1631619126822,"[2.0, 0.0]",3,0,5,0.13064516129032258
5,0,343,131.4493123258418,"[1.0, -1.57]",3,0,5,0.11064516129032258
6,0,329,124.58061221799056,"[1.0, 1.57]",3,0,5,0.10612903225806451
