timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,132.7661464214325,7,"[0, 0]",132.7742097377777,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,146.05272674560547,6,"[0, 0]",146.06017565727234,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[3.0, 4.0, 0.0, 1], [5.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,114.31137824058533,5,"[0, 0]",114.32510662078857,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[5.0, 4.0, 0.0, 2], [7.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,82.40435576438904,4,"[0, 0]",82.41107439994812,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[7.0, 4.0, 0.0, 3], [9.0, 4.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,63.26184964179993,3,"[0, 0]",63.274903535842896,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[9.0, 4.0, 0.0, 4], [11.0, 4.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,31.885634183883667,2,"[0, 0]",31.897957801818848,6,"[[11.0, 2.0, 0.0, 5], [13.0, 2.0, 0.0, 6]]","[[10.0, 4.0, 0.0, 5], [12.0, 4.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7604166665526041, 0.7395833332223951]]",[1.0],[1.0],[0.520833333333333],[0.479166666666666],0,0,5
6,9.535512924194336,1,"[0, 0]",9.543763399124146,7,"[[13.0, 2.0, 0.0, 6], [13.0, 2.0, 1.57, 7]]","[[12.0, 4.0, -1.57, 6], [12.0, 2.0, -3.14, 7]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
7,13.108073949813843,1,"[0, 0]",13.116557598114014,8,"[[13.0, 2.0, 1.57, 7], [13.0, 3.0, -0.0, 8]]","[[12.0, 3.0, -3.14, 7], [12.0, 3.0, -4.71, 8]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
8,9.405417203903198,1,"[0, 0]",9.412239789962769,9,"[[13.0, 3.0, -0.0, 8], [13.0, 3.0, 0.0, 9]]","[[12.0, 3.0, -3.14, 8], [12.0, 3.0, -4.71, 9]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
9,9.702903747558594,1,"[0, 0]",9.708442449569702,10,"[[13.0, 3.0, 0.0, 9], [13.0, 3.0, 0.0, 10]]","[[12.0, 3.0, -3.14, 9], [12.0, 3.0, -4.71, 10]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
