Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,576,283.8045602994553,"[0.0, -1.57]",0,0,5,0.18580645161290324
1,0,445,208.9727735186646,"[1.0, 1.57]",0,0,5,0.1435483870967742
2,0,523,253.33554285291305,"[1.0, 0.0]",0,0,5,0.16870967741935483
3,0,594,294.1511753279649,"[1.0, -1.57]",0,0,5,0.19161290322580646
4,0,441,206.7644652954892,"[0.0, 1.57]",0,0,5,0.14225806451612905
5,0,521,252.16609863173292,"[0.0, 0.0]",0,0,5,0.16806451612903225
6,1,503,242.3051328592824,"[1.0, 0.0]",0,0,5,0.16225806451612904
7,1,561,275.50121765729324,"[0.0, 1.57]",0,0,5,0.18096774193548387
8,1,625,312.57917028796066,"[1.0, 1.57]",0,0,5,0.20161290322580644
9,1,491,235.4379403038891,"[1.0, -1.57]",0,0,5,0.15838709677419355
10,1,488,233.6905197772052,"[0.0, 0.0]",0,0,5,0.15741935483870967
11,1,432,201.96583134024615,"[0.0, -1.57]",0,0,5,0.1393548387096774
0,0,575,278.2297253638005,"[1.0, 0.0]",1,0,5,0.18548387096774194
1,0,493,232.01657316834775,"[1.0, -1.57]",1,0,5,0.15903225806451612
2,0,469,218.56875449838532,"[0.0, -1.57]",1,0,5,0.15129032258064515
3,0,503,237.3842133988945,"[0.0, 1.57]",1,0,5,0.16225806451612904
4,0,537,256.7447508354542,"[0.0, 0.0]",1,0,5,0.1732258064516129
5,0,523,248.90042961293707,"[1.0, 1.57]",1,0,5,0.16870967741935483
6,1,538,247.0230148129454,"[1.0, 0.0]",1,0,5,0.1735483870967742
7,1,527,240.82354407870383,"[0.0, -1.57]",1,0,5,0.17
8,1,517,235.59899191339136,"[0.0, 0.0]",1,0,5,0.1667741935483871
9,1,491,221.55098531676597,"[1.0, 1.57]",1,0,5,0.15838709677419355
10,1,472,211.23501246858535,"[0.0, 1.57]",1,0,5,0.15225806451612903
11,1,555,256.35722679630965,"[1.0, -1.57]",1,0,5,0.17903225806451614
0,0,478,204.0178233293969,"[0.0, 1.57]",2,0,5,0.15419354838709678
1,0,456,192.6818186560977,"[0.0, -1.57]",2,0,5,0.14709677419354839
2,0,467,198.3432144302485,"[1.0, -1.57]",2,0,5,0.15064516129032257
3,0,529,230.62172333540656,"[0.0, 0.0]",2,0,5,0.1706451612903226
4,0,652,295.5615463356655,"[1.0, 1.57]",2,0,5,0.2103225806451613
5,0,518,224.8561024312716,"[1.0, 0.0]",2,0,5,0.16709677419354838
6,1,467,184.8888669772663,"[1.0, 1.57]",2,0,5,0.15064516129032257
7,1,473,187.81322860682792,"[0.0, 1.57]",2,0,5,0.15258064516129033
8,1,506,204.0487147043927,"[0.0, 0.0]",2,0,5,0.16322580645161291
9,1,504,203.0765749795384,"[1.0, 0.0]",2,0,5,0.1625806451612903
10,1,548,224.8368641212748,"[0.0, -1.57]",2,0,5,0.1767741935483871
11,1,602,251.68948070224693,"[1.0, -1.57]",2,0,5,0.19419354838709676
0,0,430,163.1557330855266,"[0.0, 1.57]",3,0,5,0.13870967741935483
1,0,664,277.0051936039483,"[1.0, 0.0]",3,0,5,0.21419354838709678
2,0,420,158.38858593774145,"[0.0, -1.57]",3,0,5,0.13548387096774195
3,0,515,204.04421312939283,"[0.0, 0.0]",3,0,5,0.16612903225806452
4,0,534,213.20868353801816,"[1.0, -1.57]",3,0,5,0.17225806451612904
5,0,537,214.67808509779795,"[1.0, 1.57]",3,0,5,0.1732258064516129
6,1,463,159.2343218011149,"[0.0, -1.57]",3,0,5,0.14935483870967742
7,1,519,183.78972706893148,"[0.0, 0.0]",3,0,5,0.16741935483870968
8,1,433,146.11679312458236,"[0.0, 1.57]",3,0,5,0.1396774193548387
9,1,647,241.01771822984676,"[1.0, 0.0]",3,0,5,0.20870967741935484
10,1,518,183.2834671870074,"[1.0, -1.57]",3,0,5,0.16709677419354838
11,1,520,184.258464591861,"[1.0, 1.57]",3,0,5,0.16774193548387098
0,0,587,208.95424573515692,"[1.0, 0.0]",4,0,5,0.18935483870967743
1,0,480,162.56287128411535,"[1.0, -1.57]",4,0,5,0.15483870967741936
2,0,617,222.06061415069107,"[1.0, 1.57]",4,0,5,0.19903225806451613
3,0,552,193.83761316392415,"[0.0, 0.0]",4,0,5,0.17806451612903226
4,0,433,142.47782632912796,"[0.0, -1.57]",4,0,5,0.1396774193548387
5,0,431,141.35087616429695,"[0.0, 1.57]",4,0,5,0.13903225806451613
6,1,671,216.13026403258024,"[1.0, 0.0]",4,0,5,0.21645161290322582
7,1,494,146.5933644815104,"[1.0, -1.57]",4,0,5,0.15935483870967743
8,1,572,176.81821514147654,"[0.0, 0.0]",4,0,5,0.18451612903225806
9,1,410,114.42730747133534,"[0.0, 1.57]",4,0,5,0.13225806451612904
10,1,481,141.60759169175822,"[1.0, 1.57]",4,0,5,0.15516129032258064
11,1,472,137.80300557332862,"[0.0, -1.57]",4,0,5,0.15225806451612903
0,0,531,114.32119641835298,"[1.0, 0.0]",5,0,5,0.17129032258064517
1,0,569,125.78623883013364,"[0.0, -1.57]",5,0,5,0.1835483870967742
2,0,561,123.38757987699324,"[1.0, -1.57]",5,0,5,0.18096774193548387
3,0,473,96.7990552099809,"[0.0, 1.57]",5,0,5,0.15258064516129033
4,0,415,79.8240325110265,"[1.0, 1.57]",5,0,5,0.1338709677419355
5,0,551,120.35491181094804,"[0.0, 0.0]",5,0,5,0.17774193548387096
6,1,547,64.88017731376868,"[0.0, 0.0]",5,0,5,0.1764516129032258
7,1,587,73.02690212204692,"[0.0, 1.57]",5,0,5,0.18935483870967743
8,1,439,43.25398298351218,"[1.0, 1.57]",5,0,5,0.14161290322580644
9,1,500,55.35462883119723,"[1.0, -1.57]",5,0,5,0.16129032258064516
10,1,490,53.290777708006885,"[0.0, -1.57]",5,0,5,0.15806451612903225
11,1,537,62.75335043208767,"[1.0, 0.0]",5,0,5,0.1732258064516129
0,0,497,94.25820921731172,"[1.0, -1.57]",6,0,5,0.16032258064516128
1,0,519,100.49974461292584,"[1.0, 0.0]",6,0,5,0.16741935483870968
2,0,584,118.89839146246592,"[1.0, 1.57]",6,0,5,0.18838709677419355
3,0,415,71.60654633360905,"[0.0, -1.57]",6,0,5,0.1338709677419355
4,0,538,105.86073541577107,"[0.0, 1.57]",6,0,5,0.1735483870967742
5,0,547,108.36174990549615,"[0.0, 0.0]",6,0,5,0.1764516129032258
6,1,450,30.643525784603465,"[1.0, 1.57]",6,0,5,0.14516129032258066
7,1,532,44.20587353051876,"[1.0, 0.0]",6,0,5,0.17161290322580644
8,1,559,48.84583175672269,"[0.0, 0.0]",6,0,5,0.1803225806451613
9,1,478,35.21700074171739,"[0.0, -1.57]",6,0,5,0.15419354838709678
10,1,589,54.1142721094327,"[0.0, 1.57]",6,0,5,0.19
11,1,492,37.54367601141835,"[1.0, -1.57]",6,0,5,0.15870967741935485
0,0,510,80.26061129246125,"[0.0, 0.0]",7,0,5,0.16451612903225807
1,0,464,69.04694047364316,"[1.0, 1.57]",7,0,5,0.14967741935483872
2,0,577,96.92399698906188,"[1.0, -1.57]",7,0,5,0.18612903225806451
3,0,570,95.1999758132704,"[0.0, -1.57]",7,0,5,0.18387096774193548
4,0,468,69.99827300760047,"[0.0, 1.57]",7,0,5,0.15096774193548387
5,0,511,80.51673928237287,"[1.0, 0.0]",7,0,5,0.16483870967741934
6,1,480,15.412878451738148,"[0.0, -1.57]",7,0,5,0.15483870967741936
7,1,587,29.08666937533702,"[0.0, 1.57]",7,0,5,0.18935483870967743
