timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,63.694337368011475,6,"[0, 0]",63.70128345489502,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,50.27982425689697,5,"[0, 0]",50.28476881980896,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[1.0, 5.0, 1.57, 1], [1.0, 6.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
2,48.59450054168701,5,"[0, 0]",48.599400997161865,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[1.0, 6.0, 1.57, 2], [1.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
3,46.80357813835144,5,"[0, 0]",46.810553312301636,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[1.0, 7.0, -0.0, 3], [2.0, 7.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
4,43.95572566986084,4,"[0, 0]",43.966026067733765,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 1.57, 5]]","[[2.0, 7.0, 0.0, 4], [3.0, 7.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,5
5,28.005439281463623,3,"[0, 0]",28.011178493499756,6,"[[4.0, 1.0, 1.57, 5], [4.0, 1.0, -0.0, 6]]","[[2.0, 7.0, -1.57, 5], [2.0, 7.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.8499999998725001, 0.6499999999025]]",[1.0],[1.0],[0.7000000000000001],[0.30000000000000004],0,0,5
6,31.439998388290405,3,"[0, 0]",31.445314407348633,7,"[[4.0, 1.0, -0.0, 6], [5.0, 1.0, 1.57, 7]]","[[2.0, 7.0, -1.57, 6], [2.0, 7.0, 0.0, 7]]","[[0.499999999925, 0.499999999925], [0.899999999865, 0.59999999991]]",[1.0],[1.0],[0.8],[0.2],0,0,5
7,19.54565668106079,2,"[0, 0]",19.551340341567993,8,"[[5.0, 1.0, 1.57, 7], [5.0, 2.0, -0.0, 8]]","[[2.0, 7.0, -1.57, 7], [2.0, 7.0, 0.0, 8]]","[[0.499999999925, 0.499999999925], [0.899999999865, 0.59999999991]]",[1.0],[1.0],[0.8],[0.2],0,0,5
8,11.49014925956726,2,"[1, 0]",11.497164964675903,9,"[[5.0, 2.0, -0.0, 8], [6.0, 2.0, 0.0, 9]]","[[2.0, 7.0, 0.0, 8], [3.0, 7.0, 0.0, 9]]","[[0.499999999925, 0.499999999925], [0.899999999865, 0.59999999991]]",[1.0],[1.0],[0.8],[0.2],0,0,5
0,63.77903962135315,6,"[0, 0]",63.78552460670471,1,"[[1.0, 3.0, 0.0, 0], [1.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [1.0, 5.0, 1.57, 1]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,49.39845061302185,5,"[0, 0]",49.402979373931885,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[1.0, 5.0, 1.57, 1], [1.0, 6.0, 1.57, 2]]","[[0.8999999998199999, 0.8999999998199999], [0.959999999808, 0.939999999812]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,5
2,48.33768558502197,5,"[0, 0]",48.34240484237671,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[1.0, 6.0, 1.57, 2], [1.0, 7.0, -0.0, 3]]","[[0.8999999998199999, 0.8999999998199999], [0.959999999808, 0.939999999812]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,5
3,47.54123640060425,5,"[0, 0]",47.54607677459717,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[1.0, 7.0, -0.0, 3], [2.0, 7.0, 0.0, 4]]","[[0.8999999998199999, 0.8999999998199999], [0.959999999808, 0.939999999812]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,1,5
4,45.982810258865356,4,"[0, 0]",45.98823571205139,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 1.57, 5]]","[[2.0, 7.0, 0.0, 4], [2.0, 7.0, -1.57, 5]]","[[0.8999999998199999, 0.8999999998199999], [0.9699999998059999, 0.9299999998140001]]",[1.0],[1.0],[0.7000000000000001],[0.30000000000000004],0,1,5
5,27.34914207458496,3,"[0, 0]",27.356426239013672,6,"[[4.0, 1.0, 1.57, 5], [4.0, 1.0, -0.0, 6]]","[[2.0, 7.0, -1.57, 5], [2.0, 7.0, -1.57, 6]]","[[0.8999999998199999, 0.8999999998199999], [0.9699999998059999, 0.9299999998140001]]",[1.0],[1.0],[0.7000000000000001],[0.30000000000000004],0,1,5
6,32.302969217300415,3,"[0, 0]",32.309059381484985,7,"[[4.0, 1.0, -0.0, 6], [5.0, 1.0, 1.57, 7]]","[[2.0, 7.0, -1.57, 6], [2.0, 7.0, -1.57, 7]]","[[0.8999999998199999, 0.8999999998199999], [0.979999999804, 0.919999999816]]",[1.0],[1.0],[0.8],[0.2],0,1,5
7,17.272568464279175,2,"[0, 0]",17.28066897392273,8,"[[5.0, 1.0, 1.57, 7], [5.0, 2.0, -0.0, 8]]","[[2.0, 7.0, -1.57, 7], [2.0, 7.0, 0.0, 8]]","[[0.8999999998199999, 0.8999999998199999], [0.979999999804, 0.919999999816]]",[1.0],[1.0],[0.8],[0.2],0,1,5
8,11.267436504364014,2,"[1, 0]",11.275102853775024,9,"[[5.0, 2.0, -0.0, 8], [6.0, 2.0, 1.57, 9]]","[[2.0, 7.0, 0.0, 8], [3.0, 7.0, -1.57, 9]]","[[0.8999999998199999, 0.8999999998199999], [0.979999999804, 0.919999999816]]",[1.0],[1.0],[0.8],[0.2],0,1,5
0,87.03323745727539,6,"[0, 0]",87.04109358787537,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
1,53.55860257148743,5,"[0, 0]",53.565566539764404,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 6.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
2,62.33174252510071,5,"[0, 0]",62.33771824836731,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
3,56.857505559921265,5,"[0, 0]",56.86311221122742,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[2.0, 7.0, -0.0, 3], [3.0, 7.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
4,41.3899712562561,4,"[0, 0]",41.39849328994751,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 1.57, 5]]","[[3.0, 7.0, 0.0, 4], [4.0, 7.0, -1.57, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
5,30.04731798171997,3,"[0, 0]",30.053682327270508,6,"[[4.0, 1.0, 1.57, 5], [4.0, 2.0, -0.0, 6]]","[[4.0, 7.0, -1.57, 5], [4.0, 6.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
6,35.391823291778564,3,"[0, 0]",35.39818477630615,7,"[[4.0, 2.0, -0.0, 6], [5.0, 2.0, 1.57, 7]]","[[4.0, 6.0, -1.57, 6], [4.0, 5.0, 0.0, 7]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,8
7,18.221214056015015,2,"[0, 0]",18.22780442237854,8,"[[5.0, 2.0, 1.57, 7], [5.0, 3.0, -0.0, 8]]","[[4.0, 6.0, -1.57, 7], [4.0, 5.0, 0.0, 8]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,8
8,14.012439489364624,2,"[1, 0]",14.017653703689575,9,"[[5.0, 3.0, -0.0, 8], [6.0, 3.0, 0.0, 9]]","[[4.0, 5.0, 0.0, 8], [5.0, 5.0, 0.0, 9]]","[[0.499999999925, 0.499999999925], [0.7999999998799999, 0.699999999895]]",[1.0],[1.0],[0.6000000000000001],[0.4],0,0,8
0,69.10775327682495,6,"[0, 0]",69.11588096618652,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,1,8
1,65.5993013381958,5,"[0, 0]",65.60826373100281,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, 1.57, 1], [2.0, 6.0, 1.57, 2]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,1,8
2,59.34067249298096,5,"[0, 0]",59.346407890319824,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[2.0, 6.0, 1.57, 2], [2.0, 7.0, -0.0, 3]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,1,8
3,57.51943111419678,5,"[0, 0]",57.525049686431885,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[2.0, 7.0, -0.0, 3], [3.0, 7.0, 0.0, 4]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,1,8
4,41.88147592544556,4,"[0, 0]",41.8893039226532,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 1.57, 5]]","[[3.0, 7.0, 0.0, 4], [4.0, 7.0, -1.57, 5]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,1,8
5,34.84394574165344,3,"[0, 0]",34.84922528266907,6,"[[4.0, 1.0, 1.57, 5], [4.0, 1.0, 3.14, 6]]","[[4.0, 7.0, -1.57, 5], [4.0, 6.0, -1.57, 6]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,1,8
