Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,541,264.1921991419804,"[0.0, -1.57]",0,0,5,0.17451612903225808
1,0,491,235.60716748695936,"[1.0, 0.0]",0,0,5,0.15838709677419355
2,0,478,228.2385491305215,"[1.0, 1.57]",0,0,5,0.15419354838709678
3,0,444,208.71078927440524,"[0.0, 1.57]",0,0,5,0.1432258064516129
4,0,547,267.74130633695376,"[0.0, 0.0]",0,0,5,0.1764516129032258
5,0,599,297.70759271348174,"[1.0, -1.57]",0,0,5,0.1932258064516129
6,1,520,251.9392332957792,"[0.0, 0.0]",0,0,5,0.16774193548387098
7,1,589,291.4675980762728,"[1.0, 1.57]",0,0,5,0.19
8,1,455,214.92310377192908,"[0.0, -1.57]",0,0,5,0.14677419354838708
9,1,457,216.01497294091448,"[1.0, -1.57]",0,0,5,0.1474193548387097
10,1,513,247.8870847891685,"[1.0, 0.0]",0,0,5,0.16548387096774195
11,1,566,278.3181441104848,"[0.0, 1.57]",0,0,5,0.18258064516129033
0,0,540,239.17366997633337,"[0.0, 0.0]",1,0,5,0.17419354838709677
1,0,420,176.28421366166674,"[0.0, 1.57]",1,0,5,0.13548387096774195
2,0,546,242.21641738469435,"[1.0, -1.57]",1,0,5,0.1761290322580645
3,0,428,180.48630166972785,"[0.0, -1.57]",1,0,5,0.13806451612903226
4,0,655,300.49188514025275,"[1.0, 0.0]",1,0,5,0.21129032258064517
5,0,511,223.84146032459947,"[1.0, 1.57]",1,0,5,0.16483870967741934
6,1,522,236.66089346793197,"[0.0, -1.57]",1,0,5,0.16838709677419356
7,1,467,206.99320443532596,"[1.0, -1.57]",1,0,5,0.15064516129032257
8,1,346,143.0095273845025,"[1.0, 0.0]",1,0,5,0.11161290322580646
9,1,725,347.8426683884137,"[1.0, 1.57]",1,0,5,0.23387096774193547
10,1,532,242.11331292186853,"[0.0, 1.57]",1,0,5,0.17161290322580644
11,1,508,229.0804948527516,"[0.0, 0.0]",1,0,5,0.1638709677419355
0,0,441,166.81934701051188,"[0.0, 1.57]",2,0,5,0.14225806451612905
1,0,476,183.527286493232,"[1.0, -1.57]",2,0,5,0.15354838709677418
2,0,453,172.59990658646765,"[0.0, -1.57]",2,0,5,0.1461290322580645
3,0,522,205.53125655075823,"[0.0, 0.0]",2,0,5,0.16838709677419356
4,0,536,212.3273992728692,"[1.0, 0.0]",2,0,5,0.17290322580645162
5,0,672,278.60627038371706,"[1.0, 1.57]",2,0,5,0.2167741935483871
6,1,555,245.3982431839698,"[1.0, 1.57]",2,0,5,0.17903225806451614
7,1,368,148.43232624933117,"[0.0, -1.57]",2,0,5,0.11870967741935484
8,1,537,235.8872499153965,"[1.0, -1.57]",2,0,5,0.1732258064516129
9,1,692,318.2294769272658,"[1.0, 0.0]",2,0,5,0.2232258064516129
10,1,517,225.4245062824739,"[0.0, 0.0]",2,0,5,0.1667741935483871
11,1,431,180.6058393289333,"[0.0, 1.57]",2,0,5,0.13903225806451613
0,0,550,190.40947098143815,"[0.0, 0.0]",3,0,5,0.1774193548387097
1,0,486,162.73445127558915,"[1.0, 1.57]",3,0,5,0.1567741935483871
2,0,686,249.7754605077964,"[1.0, 0.0]",3,0,5,0.22129032258064515
3,0,454,149.39528217759,"[0.0, 1.57]",3,0,5,0.1464516129032258
4,0,419,134.45345760983113,"[0.0, -1.57]",3,0,5,0.13516129032258065
5,0,505,170.97683874435285,"[1.0, -1.57]",3,0,5,0.1629032258064516
6,1,411,152.74306523208833,"[0.0, 1.57]",3,0,5,0.1325806451612903
7,1,581,234.29183373985612,"[1.0, 0.0]",3,0,5,0.18741935483870967
8,1,599,242.95635594855665,"[1.0, 1.57]",3,0,5,0.1932258064516129
9,1,380,138.28166988925747,"[0.0, -1.57]",3,0,5,0.12258064516129032
10,1,535,211.97150857320443,"[0.0, 0.0]",3,0,5,0.17258064516129032
11,1,594,240.6529148891653,"[1.0, -1.57]",3,0,5,0.19161290322580646
0,0,661,110.24891165846132,"[1.0, 0.0]",4,0,5,0.2132258064516129
1,0,608,97.42258312538566,"[1.0, 1.57]",4,0,5,0.19612903225806452
2,0,476,66.24293966006333,"[1.0, -1.57]",4,0,5,0.15354838709677418
3,0,394,47.63719025285396,"[0.0, -1.57]",4,0,5,0.1270967741935484
4,0,563,86.57026266201352,"[0.0, 0.0]",4,0,5,0.18161290322580645
5,0,398,48.470666887728925,"[0.0, 1.57]",4,0,5,0.12838709677419355
6,1,523,101.3207028598014,"[1.0, 0.0]",4,0,5,0.16870967741935483
7,1,469,86.17433911707332,"[0.0, -1.57]",4,0,5,0.15129032258064515
8,1,480,89.29655499160494,"[0.0, 1.57]",4,0,5,0.15483870967741936
9,1,515,98.96051433015502,"[0.0, 0.0]",4,0,5,0.16612903225806452
10,1,558,111.14940890832624,"[1.0, 1.57]",4,0,5,0.18
11,1,555,110.37409553844256,"[1.0, -1.57]",4,0,5,0.17903225806451614
0,0,602,68.43897196973418,"[1.0, 0.0]",5,0,5,0.19419354838709676
1,0,458,41.10430413883422,"[0.0, 0.0]",5,0,5,0.14774193548387096
2,0,586,65.3008128652051,"[1.0, 1.57]",5,0,5,0.18903225806451612
3,0,436,37.14241148442848,"[0.0, 1.57]",5,0,5,0.1406451612903226
4,0,579,63.98283918540282,"[1.0, -1.57]",5,0,5,0.1867741935483871
5,0,439,37.58882192436156,"[0.0, -1.57]",5,0,5,0.14161290322580644
6,1,620,105.3316061842002,"[1.0, -1.57]",5,0,5,0.2
7,1,617,104.5078726343239,"[1.0, 0.0]",5,0,5,0.19903225806451613
8,1,387,49.10249118763482,"[0.0, -1.57]",5,0,5,0.12483870967741935
9,1,635,109.051693183642,"[1.0, 1.57]",5,0,5,0.20483870967741935
