timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,65.23215103149414,6,"[0, 0]",65.23965573310852,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,52.67508506774902,5,"[0, 0]",52.67991900444031,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, -1.57, 1], [2.0, 4.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,49.859943866729736,5,"[0, 0]",49.8648624420166,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[2.0, 4.0, 0.0, 2], [3.0, 4.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,5
3,38.02559423446655,4,"[0, 0]",38.03099465370178,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[3.0, 4.0, 0.0, 3], [4.0, 4.0, 1.57, 4]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,5
4,24.527456998825073,3,"[0, 0]",24.532329559326172,5,"[[3.0, 1.0, 0.0, 4], [4.0, 1.0, 0.0, 5]]","[[4.0, 4.0, 0.0, 4], [5.0, 4.0, 1.57, 5]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,5
5,8.89642858505249,2,"[0, 1]",8.901656866073608,6,"[[4.0, 1.0, 0.0, 5], [5.0, 1.0, 0.0, 6]]","[[5.0, 4.0, 0.0, 5], [6.0, 4.0, 1.57, 6]]","[[0.499999999925, 0.499999999925], [0.699999999895, 0.7999999998799999]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,0,5
0,65.98541593551636,6,"[0, 0]",65.99037504196167,1,"[[1.0, 3.0, 0.0, 0], [2.0, 3.0, 1.57, 1]]","[[1.0, 5.0, 0.0, 0], [2.0, 5.0, -1.57, 1]]","[[0.09999999997999999, 0.09999999997999999], [0.5499999998899999, 0.5499999998899999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,51.63998031616211,5,"[0, 0]",51.64546275138855,2,"[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[2.0, 5.0, -1.57, 1], [2.0, 4.0, 0.0, 2]]","[[0.09999999997999999, 0.09999999997999999], [0.5499999998899999, 0.5499999998899999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,49.72642636299133,5,"[0, 0]",49.731263875961304,3,"[[2.0, 2.0, -1.57, 2], [2.0, 1.0, 0.0, 3]]","[[2.0, 4.0, 0.0, 2], [3.0, 4.0, 0.0, 3]]","[[0.09999999997999999, 0.09999999997999999], [0.459999999908, 0.639999999872]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,1,5
3,36.95602869987488,4,"[0, 0]",36.96089053153992,4,"[[2.0, 1.0, 0.0, 3], [3.0, 1.0, 0.0, 4]]","[[3.0, 4.0, 0.0, 3], [4.0, 4.0, 0.0, 4]]","[[0.09999999997999999, 0.09999999997999999], [0.459999999908, 0.639999999872]]",[1.0],[1.0],[0.4],[0.6000000000000001],0,1,5
