Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,505,241.7812505424166,"[0.0, 0.0]",0,0,5,0.1629032258064516
1,0,520,250.36313680060303,"[1.0, 1.57]",0,0,5,0.16774193548387098
2,0,486,231.0870281994896,"[0.0, -1.57]",0,0,5,0.1567741935483871
3,0,567,277.30173496023303,"[1.0, -1.57]",0,0,5,0.1829032258064516
4,0,576,282.31563654187994,"[1.0, 0.0]",0,0,5,0.18580645161290324
5,0,446,208.46997680436715,"[0.0, 1.57]",0,0,5,0.14387096774193547
6,1,477,225.2264885093929,"[0.0, -1.57]",0,0,5,0.15387096774193548
7,1,584,286.17877064423993,"[1.0, 0.0]",0,0,5,0.18838709677419355
8,1,511,244.4972142080152,"[1.0, 1.57]",0,0,5,0.16483870967741934
9,1,576,281.44056072366845,"[1.0, -1.57]",0,0,5,0.18580645161290324
10,1,508,242.76068150122063,"[0.0, 0.0]",0,0,5,0.1638709677419355
11,1,444,206.75684876312104,"[0.0, 1.57]",0,0,5,0.1432258064516129
0,0,560,242.60804629173663,"[1.0, -1.57]",1,0,5,0.18064516129032257
1,0,522,223.0245678955431,"[1.0, 0.0]",1,0,5,0.16838709677419356
2,0,505,214.22708575544263,"[0.0, -1.57]",1,0,5,0.1629032258064516
3,0,568,246.6885617631766,"[1.0, 1.57]",1,0,5,0.1832258064516129
4,0,464,193.26778402185835,"[0.0, 1.57]",1,0,5,0.14967741935483872
5,0,481,201.85654938948284,"[0.0, 0.0]",1,0,5,0.15516129032258064
6,1,487,204.08042546168477,"[0.0, -1.57]",1,0,5,0.1570967741935484
7,1,484,202.51528345983263,"[1.0, 0.0]",1,0,5,0.15612903225806452
8,1,596,260.1553348063477,"[1.0, 1.57]",1,0,5,0.19225806451612903
9,1,456,188.2077769003373,"[0.0, 1.57]",1,0,5,0.14709677419354839
10,1,565,244.02308411059911,"[1.0, -1.57]",1,0,5,0.18225806451612903
11,1,512,216.77299642932596,"[0.0, 0.0]",1,0,5,0.16516129032258065
0,0,472,170.7822781473585,"[0.0, 1.57]",2,0,5,0.15225806451612903
1,0,520,192.881768734656,"[1.0, -1.57]",2,0,5,0.16774193548387098
