timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,74.52420997619629,7,"[0, 0]",74.52958536148071,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,66.10918092727661,6,"[0, 0]",66.11726570129395,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 4.71, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,51.16097116470337,5,"[0, 0]",51.16569375991821,3,"[[3.0, 2.0, 4.71, 2], [3.0, 1.0, 4.71, 3]]","[[2.0, 3.0, -1.57, 2], [2.0, 3.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,44.81445026397705,5,"[0, 0]",44.81935381889343,4,"[[3.0, 1.0, 4.71, 3], [3.0, 0.0, 4.71, 4]]","[[2.0, 2.0, -1.57, 3], [2.0, 2.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
4,7.461572170257568,2,"[0, 1]",7.4653000831604,5,"[[3.0, 0.0, 4.71, 4], [3.0, 0.0, 3.14, 5]]","[[2.0, 1.0, -1.57, 4], [2.0, 0.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.583333333245833, 0.9166666665291661]]",[1.0],[1.0],[0.16666666666666602],[0.833333333333333],0,0,5
0,75.57765412330627,7,"[0, 0]",75.58270311355591,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.09999999997999999, 0.09999999997999999], [0.5499999998899999, 0.5499999998899999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,64.79754209518433,6,"[0, 0]",64.80369448661804,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 1.57, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, -1.57, 2]]","[[0.09999999997999999, 0.09999999997999999], [0.5499999998899999, 0.5499999998899999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
2,50.60533857345581,5,"[0, 0]",50.61005115509033,3,"[[3.0, 2.0, 4.71, 2], [3.0, 2.0, 3.14, 3]]","[[2.0, 3.0, -1.57, 2], [2.0, 2.0, -1.57, 3]]","[[0.09999999997999999, 0.09999999997999999], [0.5499999998899999, 0.5499999998899999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
3,37.74506616592407,5,"[0, 0]",37.750009298324585,4,"[[3.0, 1.0, 4.71, 3], [3.0, 0.0, 3.14, 4]]","[[2.0, 2.0, -1.57, 3], [2.0, 1.0, -1.57, 4]]","[[0.09999999997999999, 0.09999999997999999], [0.324999999935, 0.774999999845]]",[1.0],[1.0],[0.25],[0.75],0,1,5
4,6.687138080596924,2,"[0, 1]",6.691518068313599,5,"[[3.0, 0.0, 4.71, 4], [3.0, 0.0, 3.14, 5]]","[[2.0, 1.0, -1.57, 4], [2.0, 0.0, -3.14, 5]]","[[0.09999999997999999, 0.09999999997999999], [0.24999999995, 0.84999999983]]",[1.0],[1.0],[0.16666666666666602],[0.833333333333333],0,1,5
