Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,571,277.6111971013911,"[1.0, -1.57]",0,0,5,0.18419354838709678
1,0,537,258.32797329054154,"[1.0, 0.0]",0,0,5,0.1732258064516129
2,0,509,242.35943117031303,"[1.0, 1.57]",0,0,5,0.16419354838709677
3,0,455,211.9461170761309,"[0.0, 1.57]",0,0,5,0.14677419354838708
4,0,496,235.1316041786398,"[0.0, -1.57]",0,0,5,0.16
5,0,532,255.41611698870432,"[0.0, 0.0]",0,0,5,0.17161290322580644
6,1,553,267.4018540168259,"[1.0, -1.57]",0,0,5,0.17838709677419354
7,1,571,277.59076907355484,"[1.0, 0.0]",0,0,5,0.18419354838709678
8,1,515,245.78220901929083,"[0.0, 0.0]",0,0,5,0.16612903225806452
9,1,457,213.13293783384984,"[0.0, 1.57]",0,0,5,0.1474193548387097
10,1,504,239.4406660158168,"[1.0, 1.57]",0,0,5,0.1625806451612903
11,1,500,237.30671492140365,"[0.0, -1.57]",0,0,5,0.16129032258064516
0,0,640,310.4583618856501,"[1.0, 1.57]",1,0,5,0.2064516129032258
1,0,506,235.40485307342612,"[0.0, 0.0]",1,0,5,0.16322580645161291
2,0,451,205.0537911222413,"[0.0, -1.57]",1,0,5,0.14548387096774193
3,0,449,203.9912368398821,"[1.0, -1.57]",1,0,5,0.14483870967741935
4,0,558,264.3623167331284,"[0.0, 1.57]",1,0,5,0.18
5,0,496,229.84277300542644,"[1.0, 0.0]",1,0,5,0.16
6,1,543,233.29568170609292,"[0.0, 1.57]",1,0,5,0.17516129032258065
7,1,524,223.560369512026,"[0.0, 0.0]",1,0,5,0.16903225806451613
8,1,482,201.99963055502653,"[1.0, -1.57]",1,0,5,0.15548387096774194
9,1,466,193.87642611113372,"[0.0, -1.57]",1,0,5,0.1503225806451613
10,1,499,210.72068966222156,"[1.0, 0.0]",1,0,5,0.16096774193548388
11,1,586,255.5229361077713,"[1.0, 1.57]",1,0,5,0.18903225806451612
0,0,633,287.41240279339587,"[1.0, -1.57]",2,0,5,0.20419354838709677
1,0,427,179.07626193854412,"[0.0, -1.57]",2,0,5,0.13774193548387098
2,0,531,233.3803620746457,"[0.0, 0.0]",2,0,5,0.17129032258064517
3,0,571,254.51902239481305,"[1.0, 0.0]",2,0,5,0.18419354838709678
4,0,445,188.34016995083408,"[0.0, 1.57]",2,0,5,0.1435483870967742
5,0,493,213.4414313303407,"[1.0, 1.57]",2,0,5,0.15903225806451612
6,1,520,183.6881343684439,"[0.0, 0.0]",2,0,5,0.16774193548387098
7,1,530,188.0823741322016,"[0.0, 1.57]",2,0,5,0.17096774193548386
8,1,580,210.2638028069105,"[1.0, 1.57]",2,0,5,0.1870967741935484
9,1,484,167.82894221898837,"[1.0, -1.57]",2,0,5,0.15612903225806452
10,1,472,162.58755104267553,"[0.0, -1.57]",2,0,5,0.15225806451612903
11,1,514,181.01309264776003,"[1.0, 0.0]",2,0,5,0.16580645161290322
0,0,533,220.3341019893744,"[1.0, -1.57]",3,0,5,0.17193548387096774
1,0,350,130.3725751774179,"[1.0, 0.0]",3,0,5,0.11290322580645161
2,0,588,248.0315868143835,"[0.0, 0.0]",3,0,5,0.1896774193548387
3,0,570,238.9859244039921,"[1.0, 1.57]",3,0,5,0.18387096774193548
4,0,574,241.03108726609847,"[0.0, 1.57]",3,0,5,0.18516129032258064
5,0,485,196.4568088172049,"[0.0, -1.57]",3,0,5,0.15645161290322582
6,1,573,159.7513246178778,"[0.0, 1.57]",3,0,5,0.18483870967741936
7,1,465,121.06548994824104,"[1.0, -1.57]",3,0,5,0.15
8,1,486,128.497252748949,"[1.0, 0.0]",3,0,5,0.1567741935483871
9,1,491,130.2439161256606,"[0.0, -1.57]",3,0,5,0.15838709677419355
10,1,586,164.4927053663148,"[1.0, 1.57]",3,0,5,0.18903225806451612
11,1,499,132.86802809717602,"[0.0, 0.0]",3,0,5,0.16096774193548388
0,0,345,113.92651756417396,"[1.0, 0.0]",4,0,5,0.11129032258064517
1,0,490,178.8799719675693,"[0.0, -1.57]",4,0,5,0.15806451612903225
2,0,584,222.06914867359092,"[1.0, 1.57]",4,0,5,0.18838709677419355
3,0,565,213.2835478473025,"[0.0, 1.57]",4,0,5,0.18225806451612903
4,0,501,183.7210424634812,"[1.0, -1.57]",4,0,5,0.16161290322580646
5,0,615,236.49131147062707,"[0.0, 0.0]",4,0,5,0.19838709677419356
6,1,546,135.38706057447462,"[0.0, 1.57]",4,0,5,0.1761290322580645
7,1,526,128.73389000897484,"[0.0, 0.0]",4,0,5,0.1696774193548387
8,1,481,113.83536067043774,"[1.0, -1.57]",4,0,5,0.15516129032258064
9,1,471,110.60968811961328,"[0.0, -1.57]",4,0,5,0.15193548387096775
10,1,585,148.19813985525474,"[1.0, 1.57]",4,0,5,0.18870967741935485
11,1,491,117.18987103765156,"[1.0, 0.0]",4,0,5,0.15838709677419355
0,0,469,146.43024352244515,"[0.0, -1.57]",5,0,5,0.15129032258064515
1,0,359,102.59949457566007,"[1.0, 0.0]",5,0,5,0.11580645161290322
2,0,580,192.03098339730815,"[1.0, 1.57]",5,0,5,0.1870967741935484
3,0,525,169.23563098953207,"[1.0, -1.57]",5,0,5,0.1693548387096774
4,0,561,184.1451175675617,"[0.0, 1.57]",5,0,5,0.18096774193548387
5,0,606,202.82346453629856,"[0.0, 0.0]",5,0,5,0.19548387096774195
6,1,483,107.45960786890144,"[0.0, 1.57]",5,0,5,0.1558064516129032
7,1,519,118.85814759345593,"[1.0, 1.57]",5,0,5,0.16741935483870968
8,1,622,151.9087605491275,"[1.0, 0.0]",5,0,5,0.2006451612903226
9,1,511,116.11644520625634,"[1.0, -1.57]",5,0,5,0.16483870967741934
10,1,441,94.1960936225014,"[0.0, -1.57]",5,0,5,0.14225806451612905
11,1,524,120.3504352565434,"[0.0, 0.0]",5,0,5,0.16903225806451613
0,0,374,100.17628894717458,"[1.0, 0.0]",6,0,5,0.12064516129032259
1,0,567,174.00648600087146,"[1.0, 1.57]",6,0,5,0.1829032258064516
2,0,524,157.2100143683592,"[1.0, -1.57]",6,0,5,0.16903225806451613
3,0,494,145.61473260299996,"[0.0, -1.57]",6,0,5,0.15935483870967743
4,0,561,171.65866810913232,"[0.0, 1.57]",6,0,5,0.18096774193548387
5,0,580,179.04771489933557,"[0.0, 0.0]",6,0,5,0.1870967741935484
6,1,488,91.90104881362008,"[1.0, 0.0]",6,0,5,0.15741935483870967
7,1,496,94.16368893915308,"[0.0, 1.57]",6,0,5,0.16
8,1,596,122.47096761398092,"[0.0, -1.57]",6,0,5,0.19225806451612903
9,1,521,101.17009414250352,"[0.0, 0.0]",6,0,5,0.16806451612903225
