timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,104.39292788505554,7,"[0, 0]",104.40214371681213,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 1.57, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,94.07155275344849,6,"[0, 0]",94.087637424469,2,"[[4.0, 2.0, 1.57, 1], [4.0, 3.0, 3.14, 2]]","[[0.0, 3.0, -1.57, 1], [0.0, 2.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
2,66.65787029266357,6,"[0, 0]",66.66285467147827,3,"[[4.0, 3.0, 3.14, 2], [3.0, 3.0, 1.57, 3]]","[[0.0, 3.0, -1.57, 2], [0.0, 2.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
3,47.51452612876892,5,"[0, 0]",47.52345395088196,4,"[[3.0, 3.0, 1.57, 3], [3.0, 3.0, 1.57, 4]]","[[0.0, 3.0, -1.57, 3], [0.0, 2.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
4,51.11054229736328,5,"[0, 0]",51.11554718017578,5,"[[3.0, 3.0, 1.57, 4], [3.0, 3.0, 1.57, 5]]","[[0.0, 3.0, -1.57, 4], [0.0, 2.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
5,58.74828290939331,5,"[0, 0]",58.753310680389404,6,"[[3.0, 3.0, 1.57, 5], [3.0, 3.0, 1.57, 6]]","[[0.0, 2.0, 0.0, 5], [1.0, 2.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
6,63.06799578666687,5,"[0, 0]",63.07394456863403,7,"[[3.0, 3.0, 1.57, 6], [3.0, 3.0, 1.57, 7]]","[[0.0, 2.0, 1.57, 6], [0.0, 2.0, -0.0, 7]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
7,63.77147340774536,5,"[0, 0]",63.777324199676514,8,"[[3.0, 3.0, 1.57, 7], [3.0, 3.0, 1.57, 8]]","[[0.0, 2.0, -0.0, 7], [1.0, 2.0, 0.0, 8]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
8,66.47359657287598,5,"[0, 0]",66.47909498214722,9,"[[3.0, 3.0, 1.57, 8], [3.0, 3.0, 1.57, 9]]","[[0.0, 2.0, 1.57, 8], [0.0, 2.0, -0.0, 9]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
9,63.16256284713745,5,"[0, 0]",63.16985726356506,10,"[[3.0, 3.0, 1.57, 9], [3.0, 3.0, 1.57, 10]]","[[0.0, 2.0, -0.0, 9], [1.0, 2.0, 0.0, 10]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
