Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,874,233.35028285973812,"[1.0, -1.57]",0,0,5,0.28193548387096773
1,0,577,135.89319076909092,"[1.0, 0.0]",0,0,5,0.18612903225806451
2,0,580,136.87874997946966,"[1.0, 1.57]",0,0,5,0.1870967741935484
3,0,456,98.00324998530012,"[0.0, 0.0]",0,0,5,0.14709677419354839
4,0,307,53.205749992019314,"[0.0, 1.57]",0,0,5,0.09903225806451613
5,0,306,52.95262499205727,"[0.0, -1.57]",0,0,5,0.09870967741935484
6,1,323,58.06912499128985,"[0.0, 1.57]",0,0,5,0.10419354838709677
7,1,871,232.47899996513192,"[1.0, -1.57]",0,0,5,0.28096774193548385
8,1,553,128.33940787548704,"[1.0, 1.57]",0,0,5,0.17838709677419354
9,1,470,102.4295328793732,"[0.0, 0.0]",0,0,5,0.15161290322580645
10,1,578,136.36403287428345,"[1.0, 0.0]",0,0,5,0.18645161290322582
11,1,305,52.58249999211279,"[0.0, -1.57]",0,0,5,0.09838709677419355
0,0,292,39.963374994005626,"[0.0, 0.0]",1,0,5,0.09419354838709677
1,0,728,162.40499997564217,"[1.0, 1.57]",1,0,5,0.23483870967741935
2,0,759,171.6187499742602,"[1.0, 0.0]",1,0,5,0.24483870967741936
3,0,244,27.965249995805166,"[0.0, -1.57]",1,0,5,0.07870967741935483
4,0,815,188.52749997172424,"[1.0, -1.57]",1,0,5,0.2629032258064516
5,0,262,32.47087499512932,"[0.0, 1.57]",1,0,5,0.08451612903225807
6,1,772,175.56749997366785,"[1.0, 0.0]",1,0,5,0.24903225806451612
7,1,740,165.94874997511045,"[1.0, 1.57]",1,0,5,0.23870967741935484
8,1,762,172.5299999741236,"[1.0, -1.57]",1,0,5,0.24580645161290324
9,1,314,45.6536249931522,"[0.0, 0.0]",1,0,5,0.10129032258064516
10,1,240,27.003374995949457,"[0.0, -1.57]",1,0,5,0.07741935483870968
11,1,272,34.95149999475727,"[0.0, 1.57]",1,0,5,0.08774193548387096
0,0,1907,804.3793932601841,"[1.0, -1.57]",0,1,5,0.6151612903225806
1,0,315,90.53053813978867,"[1.0, 1.57]",0,1,5,0.10161290322580645
2,0,149,27.509068415550853,"[0.0, -1.57]",0,1,5,0.04806451612903226
3,0,356,107.03968813648676,"[1.0, 0.0]",0,1,5,0.11483870967741935
4,0,141,24.51622499509679,"[0.0, 1.57]",0,1,5,0.04548387096774194
5,0,232,57.87134998842593,"[0.0, 0.0]",0,1,5,0.07483870967741936
6,1,1877,787.8724932634857,"[1.0, -1.57]",0,1,5,0.6054838709677419
7,1,313,89.38348814001812,"[1.0, 1.57]",0,1,5,0.10096774193548387
8,1,391,120.80653813373334,"[1.0, 0.0]",0,1,5,0.12612903225806452
9,1,256,66.8996999866202,"[0.0, 0.0]",0,1,5,0.08258064516129032
10,1,128,20.17169999596567,"[0.0, 1.57]",0,1,5,0.04129032258064516
11,1,135,22.33834341658498,"[0.0, -1.57]",0,1,5,0.043548387096774194
0,0,897,352.83599992942834,"[1.0, -1.57]",1,1,5,0.28935483870967743
1,0,814,314.7457499370472,"[1.0, 1.57]",1,1,5,0.2625806451612903
2,0,153,31.03717499379252,"[0.0, 1.57]",1,1,5,0.04935483870967742
3,0,910,358.85024992822565,"[1.0, 0.0]",1,1,5,0.29354838709677417
4,0,143,27.301049994539756,"[0.0, -1.57]",1,1,5,0.046129032258064515
5,0,183,42.17264999156557,"[0.0, 0.0]",1,1,5,0.059032258064516126
6,1,842,327.5032499344955,"[1.0, 1.57]",1,1,5,0.27161290322580645
7,1,157,32.440499993511835,"[0.0, 1.57]",1,1,5,0.05064516129032258
8,1,885,347.18624993055846,"[1.0, 0.0]",1,1,5,0.2854838709677419
9,1,889,349.0087499301939,"[1.0, -1.57]",1,1,5,0.2867741935483871
10,1,139,25.95239999480949,"[0.0, -1.57]",1,1,5,0.044838709677419354
11,1,188,44.0133749911974,"[0.0, 0.0]",1,1,5,0.06064516129032258
0,0,443,92.54753288085544,"[0.0, 0.0]",0,0,8,0.14290322580645162
1,0,930,249.48953285731776,"[1.0, -1.57]",0,0,8,0.3
2,0,560,128.95140787539503,"[1.0, 0.0]",0,0,8,0.18064516129032257
3,0,565,130.51065787516148,"[1.0, 1.57]",0,0,8,0.18225806451612903
