timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,42.30266761779785,3,"[0, 0]",42.3082971572876,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,5
1,13.897850036621094,2,"[1, 0]",13.90843152999878,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, 1.57, 1], [1.0, 1.0, 1.57, 2]]","[[0.0, 0.0], [0.37499999994375, 0.12499999998125]]",[0.0],[0.0],[0.75],[0.25],1,0,5
0,43.94700837135315,3,"[0, 0]",43.95950412750244,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 4.71, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 0.0], [0.049999999989999995, 0.049999999989999995]]",[0.0],[0.0],[0.5],[0.5],1,1,5
1,16.727835655212402,2,"[1, 0]",16.73685646057129,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, 1.57, 1], [1.0, 2.0, -0.0, 2]]","[[0.0, 0.0], [0.074999999985, 0.024999999995]]",[0.0],[0.0],[0.75],[0.25],1,1,5
0,41.0638062953949,3,"[0, 0]",41.07692193984985,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,8
1,15.415201425552368,2,"[1, 0]",15.424487113952637,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 1.57, 2]]","[[1.0, 1.0, 1.57, 1], [1.0, 2.0, -0.0, 2]]","[[0.0, 0.0], [0.37499999994375, 0.12499999998125]]",[0.0],[0.0],[0.75],[0.25],1,0,8
0,42.06878733634949,3,"[0, 0]",42.07662343978882,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 4.71, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 0.0], [0.049999999989999995, 0.049999999989999995]]",[0.0],[0.0],[0.5],[0.5],1,1,8
1,15.383338212966919,2,"[1, 0]",15.388305425643921,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[0.0, 0.0], [0.074999999985, 0.024999999995]]",[0.0],[0.0],[0.75],[0.25],1,1,8
0,33.171128273010254,3,"[0, 0]",33.18186140060425,1,"[[2.0, 1.0, 3.141592653589793, 0], [1.0, 1.0, 1.57, 1]]","[[0.0, 1.0, 0.0, 0], [1.0, 1.0, -1.57, 1]]","[[0.0, 0.0], [0.2499999999625, 0.2499999999625]]",[0.0],[0.0],[0.5],[0.5],1,0,2
1,11.472651720046997,2,"[1, 0]",11.47719669342041,2,"[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 3.14, 2]]","[[1.0, 1.0, 1.57, 1], [1.0, 2.0, 1.57, 2]]","[[0.0, 0.0], [0.37499999994375, 0.12499999998125]]",[0.0],[0.0],[0.75],[0.25],1,0,2
