Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,362,178.0958437231939,"[1.0, 0.0]",0,0,5,0.1167741935483871
1,0,436,222.7433400017273,"[2.0, 0.0]",0,0,5,0.1406451612903226
2,0,307,145.21324857038005,"[1.0, 1.57]",0,0,5,0.09903225806451613
3,0,319,152.51890462478954,"[2.0, 1.57]",0,0,5,0.10290322580645161
4,0,344,167.41773626134324,"[2.0, -1.57]",0,0,5,0.11096774193548387
5,0,335,162.12046175970184,"[1.0, -1.57]",0,0,5,0.10806451612903226
6,0,339,164.51031690041944,"[0.0, -1.57]",0,0,5,0.10935483870967742
7,0,344,167.4726053938739,"[0.0, 0.0]",0,0,5,0.11096774193548387
8,0,314,149.56516836368863,"[0.0, 1.57]",0,0,5,0.10129032258064516
9,1,350,171.16989938276194,"[1.0, 1.57]",0,0,5,0.11290322580645161
10,1,328,158.04963230899315,"[2.0, -1.57]",0,0,5,0.10580645161290322
11,1,372,184.2503862069882,"[1.0, 0.0]",0,0,5,0.12
12,1,340,164.8654371229892,"[0.0, 0.0]",0,0,5,0.10967741935483871
13,1,308,146.19024339096526,"[0.0, -1.57]",0,0,5,0.09935483870967741
14,1,370,183.0121678236915,"[2.0, 1.57]",0,0,5,0.11935483870967742
15,1,301,142.00078249516218,"[1.0, -1.57]",0,0,5,0.09709677419354838
16,1,410,207.1511590157445,"[2.0, 0.0]",0,0,5,0.13225806451612904
17,1,321,153.82486646419358,"[0.0, 1.57]",0,0,5,0.10354838709677419
0,0,425,199.58487674678807,"[2.0, 0.0]",1,0,5,0.13709677419354838
1,0,377,172.4542759985205,"[2.0, -1.57]",1,0,5,0.12161290322580645
2,0,316,138.53916021962806,"[2.0, 1.57]",1,0,5,0.10193548387096774
3,0,328,145.20779445260197,"[0.0, 0.0]",1,0,5,0.10580645161290322
4,0,324,142.8983652172533,"[0.0, -1.57]",1,0,5,0.10451612903225807
5,0,385,176.96342542244744,"[1.0, 0.0]",1,0,5,0.12419354838709677
6,0,296,127.58915481682706,"[1.0, 1.57]",1,0,5,0.09548387096774194
7,0,315,137.95870616820443,"[0.0, 1.57]",1,0,5,0.10161290322580645
8,0,334,148.50732519223624,"[1.0, -1.57]",1,0,5,0.10774193548387097
9,1,374,170.4177172078273,"[2.0, 1.57]",1,0,5,0.12064516129032259
10,1,344,153.752873014513,"[1.0, 1.57]",1,0,5,0.11096774193548387
11,1,321,140.98358478037633,"[2.0, -1.57]",1,0,5,0.10354838709677419
12,1,295,126.71335236649044,"[0.0, -1.57]",1,0,5,0.09516129032258064
13,1,414,192.92120056033488,"[2.0, 0.0]",1,0,5,0.1335483870967742
14,1,319,139.8250102039147,"[0.0, 1.57]",1,0,5,0.10290322580645161
15,1,318,139.3152373382791,"[1.0, -1.57]",1,0,5,0.10258064516129033
16,1,365,165.40122512590528,"[1.0, 0.0]",1,0,5,0.11774193548387096
17,1,350,157.03476985611718,"[0.0, 0.0]",1,0,5,0.11290322580645161
0,0,337,138.42201795684952,"[2.0, 1.57]",2,0,5,0.10870967741935483
1,0,365,153.23365869793082,"[1.0, 0.0]",2,0,5,0.11774193548387096
2,0,313,126.09203621831796,"[0.0, -1.57]",2,0,5,0.10096774193548387
3,0,424,184.46192229835964,"[2.0, 0.0]",2,0,5,0.1367741935483871
4,0,318,128.79659448565056,"[1.0, 1.57]",2,0,5,0.10258064516129033
5,0,350,145.39624103546507,"[1.0, -1.57]",2,0,5,0.11290322580645161
6,0,371,156.38836540134207,"[2.0, -1.57]",2,0,5,0.11967741935483871
7,0,283,110.77380203891788,"[0.0, 1.57]",2,0,5,0.09129032258064516
8,0,339,139.6408435986448,"[0.0, 0.0]",2,0,5,0.10935483870967742
9,1,431,188.20047760099112,"[2.0, 0.0]",2,0,5,0.13903225806451613
10,1,361,151.15656384440936,"[2.0, 1.57]",2,0,5,0.11645161290322581
11,1,305,122.06147271144782,"[0.0, 1.57]",2,0,5,0.09838709677419355
12,1,303,120.97987472634532,"[0.0, -1.57]",2,0,5,0.09774193548387097
13,1,308,123.61037334975462,"[2.0, -1.57]",2,0,5,0.09935483870967741
14,1,342,141.19188949363732,"[0.0, 0.0]",2,0,5,0.11032258064516129
15,1,380,161.11244828989172,"[1.0, 0.0]",2,0,5,0.12258064516129032
16,1,322,130.6175309735444,"[1.0, -1.57]",2,0,5,0.10387096774193548
17,1,348,144.2848152602052,"[1.0, 1.57]",2,0,5,0.11225806451612903
0,0,374,146.4172237749124,"[1.0, 0.0]",3,0,5,0.12064516129032259
1,0,319,119.32305833211126,"[2.0, 1.57]",3,0,5,0.10290322580645161
2,0,316,117.8889522780403,"[0.0, -1.57]",3,0,5,0.10193548387096774
3,0,388,153.00494474135837,"[2.0, -1.57]",3,0,5,0.12516129032258064
4,0,335,127.10779503175624,"[0.0, 0.0]",3,0,5,0.10806451612903226
5,0,412,165.27704488557032,"[2.0, 0.0]",3,0,5,0.1329032258064516
6,0,310,115.02484605905238,"[1.0, 1.57]",3,0,5,0.1
7,0,357,137.76212479210747,"[1.0, -1.57]",3,0,5,0.11516129032258064
8,0,289,104.87194294556078,"[0.0, 1.57]",3,0,5,0.09322580645161291
9,1,294,107.4291206206804,"[0.0, -1.57]",3,0,5,0.09483870967741935
10,1,321,120.3635888197744,"[0.0, 1.57]",3,0,5,0.10354838709677419
11,1,323,121.4430768297528,"[2.0, -1.57]",3,0,5,0.10419354838709677
12,1,380,149.5548840295308,"[2.0, 1.57]",3,0,5,0.12258064516129032
13,1,428,173.36492986889667,"[2.0, 0.0]",3,0,5,0.13806451612903226
14,1,370,144.58213257831264,"[1.0, 0.0]",3,0,5,0.11935483870967742
15,1,299,109.50563345018595,"[1.0, -1.57]",3,0,5,0.0964516129032258
16,1,343,131.23373707406498,"[1.0, 1.57]",3,0,5,0.11064516129032258
17,1,342,130.74532997528948,"[0.0, 0.0]",3,0,5,0.11032258064516129
0,0,410,120.90544972364036,"[2.0, 0.0]",4,0,5,0.13225806451612904
1,0,346,95.8086632387536,"[1.0, 1.57]",4,0,5,0.11161290322580646
2,0,338,92.86488606107012,"[0.0, 0.0]",4,0,5,0.10903225806451614
3,0,313,83.19321344689592,"[0.0, -1.57]",4,0,5,0.10096774193548387
4,0,354,98.9414166404219,"[2.0, -1.57]",4,0,5,0.11419354838709678
5,0,328,88.81689258355259,"[0.0, 1.57]",4,0,5,0.10580645161290322
6,0,380,108.88877427330485,"[1.0, 0.0]",4,0,5,0.12258064516129032
7,0,315,83.98266361355387,"[2.0, 1.57]",4,0,5,0.10161290322580645
8,0,316,84.4186647248372,"[1.0, -1.57]",4,0,5,0.10193548387096774
9,1,421,125.32543247708924,"[2.0, 0.0]",4,0,5,0.13580645161290322
10,1,344,95.24105472633885,"[0.0, 0.0]",4,0,5,0.11096774193548387
11,1,337,92.55013935190682,"[2.0, -1.57]",4,0,5,0.10870967741935483
12,1,300,78.26815779138468,"[0.0, 1.57]",4,0,5,0.0967741935483871
13,1,341,94.13130258275532,"[0.0, -1.57]",4,0,5,0.11
14,1,327,88.58735902010007,"[1.0, -1.57]",4,0,5,0.10548387096774194
15,1,343,94.74469349417646,"[2.0, 1.57]",4,0,5,0.11064516129032258
16,1,370,105.22125836546688,"[1.0, 0.0]",4,0,5,0.11935483870967742
17,1,317,84.75764289041126,"[1.0, 1.57]",4,0,5,0.10225806451612904
0,0,315,35.79919435713015,"[0.0, -1.57]",5,0,5,0.10161290322580645
1,0,363,46.82161284610197,"[2.0, -1.57]",5,0,5,0.11709677419354839
2,0,338,41.04385272509336,"[1.0, -1.57]",5,0,5,0.10903225806451614
3,0,359,45.84675076187317,"[2.0, 1.57]",5,0,5,0.11580645161290322
4,0,357,45.4365447400597,"[2.0, 0.0]",5,0,5,0.11516129032258064
5,0,351,43.97674274340355,"[1.0, 0.0]",5,0,5,0.1132258064516129
6,0,330,39.13730813787937,"[0.0, 1.57]",5,0,5,0.1064516129032258
7,0,351,44.02988684339561,"[1.0, 1.57]",5,0,5,0.1132258064516129
8,0,336,40.517393984547375,"[0.0, 0.0]",5,0,5,0.10838709677419354
9,1,357,45.488028086926974,"[2.0, -1.57]",5,0,5,0.11516129032258064
10,1,355,45.06951829948972,"[1.0, -1.57]",5,0,5,0.11451612903225807
11,1,364,47.070725814814566,"[2.0, 1.57]",5,0,5,0.11741935483870967
12,1,348,43.41208668098825,"[1.0, 0.0]",5,0,5,0.11225806451612903
13,1,365,47.354714599147016,"[2.0, 0.0]",5,0,5,0.11774193548387096
14,1,318,36.47844238515321,"[0.0, -1.57]",5,0,5,0.10258064516129033
15,1,338,41.01395916884784,"[1.0, 1.57]",5,0,5,0.10903225806451614
16,1,338,41.01561992197266,"[0.0, 0.0]",5,0,5,0.10903225806451614
17,1,317,36.29409878830593,"[0.0, 1.57]",5,0,5,0.10225806451612904
0,0,517,61.819874315727645,"[0.0, 0.0]",6,0,5,0.1667741935483871
1,0,517,61.819874315727645,"[0.0, -1.57]",6,0,5,0.1667741935483871
2,0,517,61.819874315727645,"[1.0, 1.57]",6,0,5,0.1667741935483871
3,0,517,61.819874315727645,"[1.0, -1.57]",6,0,5,0.1667741935483871
4,0,516,61.70030009074558,"[0.0, 1.57]",6,0,5,0.1664516129032258
5,0,516,61.70030009074558,"[1.0, 0.0]",6,0,5,0.1664516129032258
6,1,1034,123.63974863145263,"[0.0, 1.57]",6,0,5,0.3335483870967742
7,1,1033,123.5201744064706,"[0.0, -1.57]",6,0,5,0.3332258064516129
8,1,1033,123.5201744064706,"[0.0, 0.0]",6,0,5,0.3332258064516129
0,0,517,55.63788688415501,"[0.0, -1.57]",7,0,5,0.1667741935483871
1,0,517,55.63788688415501,"[0.0, 1.57]",7,0,5,0.1667741935483871
2,0,517,55.63788688415501,"[1.0, 1.57]",7,0,5,0.1667741935483871
3,0,517,55.63788688415501,"[1.0, 0.0]",7,0,5,0.1667741935483871
4,0,516,55.53027008167115,"[1.0, -1.57]",7,0,5,0.1664516129032258
5,0,516,55.53027008167115,"[0.0, 0.0]",7,0,5,0.1664516129032258
6,1,517,55.63788688415501,"[0.0, 1.57]",7,0,5,0.1667741935483871
7,1,517,55.63788688415501,"[1.0, 0.0]",7,0,5,0.1667741935483871
8,1,517,55.63788688415501,"[0.0, 0.0]",7,0,5,0.1667741935483871
9,1,517,55.63788688415501,"[0.0, -1.57]",7,0,5,0.1667741935483871
10,1,516,55.53027008167115,"[1.0, 1.57]",7,0,5,0.1664516129032258
