Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,335,165.10620894269874,"[2.0, 1.57]",0,0,5,0.10806451612903226
1,0,265,123.36059959821498,"[1.0, 1.57]",0,0,5,0.08548387096774193
2,0,329,161.45369479181815,"[0.0, -1.57]",0,0,5,0.10612903225806451
3,0,283,134.02396434714257,"[0.0, 1.57]",0,0,5,0.09129032258064516
4,0,350,173.98443547927988,"[0.0, 0.0]",0,0,5,0.11290322580645161
5,0,346,171.72762966071232,"[1.0, -1.57]",0,0,5,0.11161290322580646
6,0,371,186.8819254145685,"[2.0, -1.57]",0,0,5,0.11967741935483871
7,0,443,231.0039504887885,"[2.0, 0.0]",0,0,5,0.14290322580645162
8,0,378,191.1888363663908,"[1.0, 0.0]",0,0,5,0.12193548387096774
9,1,511,238.1238572039035,"[1.0, -1.57]",0,0,5,0.16483870967741934
10,1,544,256.42746377949817,"[1.0, 1.57]",0,0,5,0.17548387096774193
11,1,513,239.24079806539265,"[0.0, 1.57]",0,0,5,0.16548387096774195
12,1,503,233.6795947955733,"[0.0, -1.57]",0,0,5,0.16225806451612904
13,1,509,236.9880250219964,"[1.0, 0.0]",0,0,5,0.16419354838709677
14,1,520,243.01644352443864,"[0.0, 0.0]",0,0,5,0.16774193548387098
0,0,310,133.4561851079756,"[0.0, 1.57]",1,0,5,0.1
1,0,293,124.1257893003918,"[2.0, 1.57]",1,0,5,0.09451612903225806
2,0,294,124.82907231100256,"[1.0, 1.57]",1,0,5,0.09483870967741935
3,0,332,145.54698200378832,"[0.0, 0.0]",1,0,5,0.10709677419354839
4,0,375,169.20531464772182,"[2.0, -1.57]",1,0,5,0.12096774193548387
5,0,339,149.28228879095604,"[0.0, -1.57]",1,0,5,0.10935483870967742
6,0,381,172.5014495388334,"[1.0, 0.0]",1,0,5,0.12290322580645162
7,0,427,198.3134624429396,"[2.0, 0.0]",1,0,5,0.13774193548387098
8,0,349,154.88308068946893,"[1.0, -1.57]",1,0,5,0.11258064516129032
9,1,543,240.29223565372948,"[1.0, 1.57]",1,0,5,0.17516129032258065
10,1,574,256.7316426214095,"[1.0, 0.0]",1,0,5,0.18516129032258064
11,1,511,223.46578104487853,"[1.0, -1.57]",1,0,5,0.16483870967741934
12,1,504,219.78329003440004,"[0.0, 1.57]",1,0,5,0.1625806451612903
13,1,491,212.93584238507088,"[0.0, 0.0]",1,0,5,0.15838709677419355
14,1,477,205.5325553768499,"[0.0, -1.57]",1,0,5,0.15387096774193548
0,0,323,129.29216442045197,"[0.0, -1.57]",2,0,5,0.10419354838709677
1,0,395,166.46305606005535,"[2.0, 0.0]",2,0,5,0.12741935483870967
2,0,316,125.71994354229945,"[2.0, 1.57]",2,0,5,0.10193548387096774
3,0,364,150.49397535162174,"[2.0, -1.57]",2,0,5,0.11741935483870967
4,0,343,139.55013794006493,"[1.0, -1.57]",2,0,5,0.11064516129032258
5,0,323,129.16554596927665,"[0.0, 1.57]",2,0,5,0.10419354838709677
6,0,334,134.94601257755687,"[1.0, 1.57]",2,0,5,0.10774193548387097
7,0,357,146.78898091879924,"[1.0, 0.0]",2,0,5,0.11516129032258064
8,0,345,140.62294381255026,"[0.0, 0.0]",2,0,5,0.11129032258064517
9,1,528,225.17651371890872,"[1.0, -1.57]",2,0,5,0.1703225806451613
10,1,498,209.91755204838552,"[0.0, 0.0]",2,0,5,0.16064516129032258
11,1,590,257.2466209781085,"[1.0, 0.0]",2,0,5,0.19032258064516128
12,1,546,234.554074037318,"[1.0, 1.57]",2,0,5,0.1761290322580645
13,1,471,196.0718952760422,"[0.0, 1.57]",2,0,5,0.15193548387096775
14,1,467,194.014044519573,"[0.0, -1.57]",2,0,5,0.15064516129032257
0,0,383,146.3479167377519,"[2.0, 0.0]",3,0,5,0.1235483870967742
