Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,362,185.6437326204835,"[2.0, -1.57]",0,0,5,0.1167741935483871
1,0,330,165.85183537043554,"[2.0, 1.57]",0,0,5,0.1064516129032258
2,0,410,215.39684097322856,"[2.0, 0.0]",0,0,5,0.13225806451612904
3,0,352,179.39364898175788,"[0.0, 0.0]",0,0,5,0.1135483870967742
4,0,315,156.6993663165036,"[0.0, 1.57]",0,0,5,0.10161290322580645
5,0,308,152.507681904804,"[0.0, -1.57]",0,0,5,0.09935483870967741
6,0,319,159.20722602905695,"[1.0, -1.57]",0,0,5,0.10290322580645161
7,0,375,193.65951597029587,"[1.0, 0.0]",0,0,5,0.12096774193548387
8,0,329,165.29661026091011,"[1.0, 1.57]",0,0,5,0.10612903225806451
9,1,288,158.65269087564877,"[3.0, 1.57]",0,0,5,0.09290322580645162
10,1,285,156.65686941528813,"[3.0, -1.57]",0,0,5,0.09193548387096774
11,1,206,104.5942820291861,"[0.0, -1.57]",0,0,5,0.0664516129032258
12,1,282,154.59920190804064,"[1.0, 0.0]",0,0,5,0.09096774193548388
13,1,241,127.38216605670851,"[1.0, 1.57]",0,0,5,0.07774193548387097
14,1,344,196.47722408188503,"[3.0, 0.0]",0,0,5,0.11096774193548387
15,1,221,114.30125275087109,"[0.0, 1.57]",0,0,5,0.07129032258064516
16,1,251,133.96767562110952,"[0.0, 0.0]",0,0,5,0.08096774193548387
17,1,217,111.75767969158672,"[2.0, -1.57]",0,0,5,0.07
18,1,205,103.94700986758006,"[1.0, -1.57]",0,0,5,0.06612903225806452
19,1,327,184.8640719872249,"[2.0, 0.0]",0,0,5,0.10548387096774194
20,1,233,122.17722350298834,"[2.0, 1.57]",0,0,5,0.07516129032258065
0,0,388,200.12843853905989,"[1.0, 0.0]",1,0,5,0.12516129032258064
1,0,308,151.41934433583992,"[1.0, -1.57]",1,0,5,0.09935483870967741
2,0,351,177.60359484178065,"[2.0, 1.57]",1,0,5,0.1132258064516129
3,0,277,132.5548320195905,"[0.0, 1.57]",1,0,5,0.08935483870967742
4,0,365,185.9434960576349,"[2.0, -1.57]",1,0,5,0.11774193548387096
5,0,306,150.20916170444255,"[1.0, 1.57]",1,0,5,0.09870967741935484
6,0,452,240.2087146514688,"[2.0, 0.0]",1,0,5,0.14580645161290323
7,0,347,174.88034153626813,"[0.0, 0.0]",1,0,5,0.11193548387096774
8,0,306,150.12765012550747,"[0.0, -1.57]",1,0,5,0.09870967741935484
9,1,492,223.1666383875776,"[0.0, 0.0]",1,0,5,0.15870967741935485
