timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,101.07788562774658,5,"[0, 0]",101.08620691299438,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [4.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.729166666557291, 0.7708333332177081]]",[1.0],[1.0],[0.45833333333333304],[0.5416666666666661],0,0,5
1,61.04840302467346,4,"[0, 0]",61.05303144454956,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[2.0, 4.0, 1.57, 1], [2.0, 5.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.812499999878125, 0.687499999896874]]",[1.0],[1.0],[0.625],[0.37499999999999906],0,0,5
2,62.10897994041443,4,"[0, 0]",62.11904335021973,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[2.0, 5.0, -0.0, 2], [5.0, 5.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.80208333321302, 0.697916666561979]]",[1.0],[1.0],[0.6041666666666661],[0.39583333333333304],0,0,5
3,66.22555446624756,4,"[0, 0]",66.23249459266663,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[3.0, 5.0, 0.0, 3], [6.0, 5.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.812499999878125, 0.687499999896874]]",[1.0],[1.0],[0.625],[0.37499999999999906],0,0,5
4,49.20457911491394,3,"[0, 0]",49.211543560028076,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 1.57, 5]]","[[4.0, 5.0, 0.0, 4], [7.0, 5.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,0,5
5,27.233182907104492,2,"[0, 0]",27.24341130256653,6,"[[11.0, 2.0, 1.57, 5], [11.0, 4.0, 1.57, 6]]","[[5.0, 5.0, 0.0, 5], [8.0, 5.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.822916666543229, 0.6770833332317701]]",[1.0],[1.0],[0.645833333333333],[0.354166666666666],0,0,5
6,16.171573877334595,2,"[1, 0]",16.179645538330078,7,"[[11.0, 4.0, 1.57, 6], [11.0, 5.0, -0.0, 7]]","[[6.0, 5.0, 0.0, 6], [9.0, 5.0, 0.0, 7]]","[[0.499999999925, 0.499999999925], [0.843749999873437, 0.6562499999015621]]",[1.0],[1.0],[0.6875],[0.3125],0,0,5
0,102.45196723937988,7,"[0, 0]",102.45715761184692,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7708333332177081, 0.729166666557291]]",[1.0],[1.0],[0.5416666666666661],[0.45833333333333304],0,1,5
1,73.82954907417297,6,"[0, 0]",73.8347487449646,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[2.0, 4.0, 1.57, 1], [2.0, 5.0, -0.0, 2]]","[[0.499999999925, 0.499999999925], [0.812499999878125, 0.687499999896874]]",[1.0],[1.0],[0.625],[0.37499999999999906],0,1,5
2,60.280272245407104,5,"[0, 0]",60.2877299785614,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[2.0, 5.0, -0.0, 2], [3.0, 5.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.833333333208333, 0.6666666665666661]]",[1.0],[1.0],[0.6666666666666661],[0.33333333333333304],0,1,5
3,53.43913221359253,4,"[0, 0]",53.44681429862976,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[3.0, 5.0, 0.0, 3], [4.0, 5.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.8541666665385411, 0.6458333332364581]]",[1.0],[1.0],[0.708333333333333],[0.291666666666666],0,1,5
4,34.3021879196167,3,"[0, 0]",34.307459354400635,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 0.0, 5]]","[[4.0, 5.0, 0.0, 4], [5.0, 5.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.8749999998687491, 0.62499999990625]]",[1.0],[1.0],[0.7499999999999991],[0.25],0,1,5
5,19.126818656921387,2,"[0, 0]",19.13558340072632,6,"[[11.0, 2.0, 1.57, 5], [11.0, 4.0, 1.57, 6]]","[[5.0, 5.0, 0.0, 5], [6.0, 5.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.8645833332036451, 0.6354166665713541]]",[1.0],[1.0],[0.7291666666666661],[0.27083333333333304],0,1,5
6,11.37645411491394,2,"[1, 0]",11.384371042251587,7,"[[11.0, 4.0, 1.57, 6], [11.0, 5.0, 3.14, 7]]","[[6.0, 5.0, 0.0, 6], [7.0, 5.0, 0.0, 7]]","[[0.499999999925, 0.499999999925], [0.8854166665338541, 0.614583333241145]]",[1.0],[1.0],[0.770833333333333],[0.22916666666666602],0,1,5
0,59.808929204940796,5,"[0, 0]",59.81807017326355,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [4.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.729166666557291, 0.7708333332177081]]",[1.0],[1.0],[0.45833333333333304],[0.5416666666666661],0,0,8
1,49.31909227371216,4,"[0, 0]",49.32646107673645,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[2.0, 4.0, -1.57, 1], [2.0, 1.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.80208333321302, 0.697916666561979]]",[1.0],[1.0],[0.6041666666666661],[0.39583333333333304],0,0,8
2,51.59694981575012,4,"[0, 0]",51.60419797897339,3,"[[5.0, 2.0, 0.0, 2], [7.0, 2.0, 0.0, 3]]","[[2.0, 3.0, 0.0, 2], [5.0, 3.0, 0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,8
3,51.0535249710083,4,"[0, 0]",51.0607488155365,4,"[[7.0, 2.0, 0.0, 3], [9.0, 2.0, 0.0, 4]]","[[3.0, 3.0, 0.0, 3], [6.0, 3.0, 0.0, 4]]","[[0.499999999925, 0.499999999925], [0.80208333321302, 0.697916666561979]]",[1.0],[1.0],[0.6041666666666661],[0.39583333333333304],0,0,8
4,37.76197695732117,3,"[0, 0]",37.76923727989197,5,"[[9.0, 2.0, 0.0, 4], [11.0, 2.0, 1.57, 5]]","[[4.0, 3.0, 0.0, 4], [7.0, 3.0, 0.0, 5]]","[[0.499999999925, 0.499999999925], [0.822916666543229, 0.6770833332317701]]",[1.0],[1.0],[0.645833333333333],[0.354166666666666],0,0,8
5,22.444676399230957,2,"[0, 0]",22.454450607299805,6,"[[11.0, 2.0, 1.57, 5], [11.0, 4.0, -0.0, 6]]","[[5.0, 3.0, 0.0, 5], [8.0, 3.0, 0.0, 6]]","[[0.499999999925, 0.499999999925], [0.812499999878125, 0.687499999896875]]",[1.0],[1.0],[0.625],[0.37500000000000006],0,0,8
6,22.484854459762573,2,"[0, 0]",22.491270303726196,7,"[[11.0, 4.0, -0.0, 6], [13.0, 4.0, 1.57, 7]]","[[6.0, 3.0, 0.0, 6], [9.0, 3.0, 0.0, 7]]","[[0.499999999925, 0.499999999925], [0.812499999878125, 0.687499999896875]]",[1.0],[1.0],[0.625],[0.37500000000000006],0,0,8
7,7.102913618087768,1,"[1, 0]",7.108624458312988,8,"[[13.0, 4.0, 1.57, 7], [13.0, 5.0, -0.0, 8]]","[[7.0, 3.0, 0.0, 7], [10.0, 3.0, 0.0, 8]]","[[0.499999999925, 0.499999999925], [0.812499999878125, 0.687499999896874]]",[1.0],[1.0],[0.625],[0.37499999999999906],0,0,8
0,66.69918704032898,7,"[0, 0]",66.70368456840515,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, -1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7708333332177081, 0.729166666557291]]",[1.0],[1.0],[0.5416666666666661],[0.45833333333333304],0,1,8
1,60.00777745246887,6,"[0, 0]",60.01400685310364,2,"[[3.0, 2.0, 0.0, 1], [5.0, 2.0, 0.0, 2]]","[[2.0, 4.0, -1.57, 1], [2.0, 3.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.812499999878125, 0.687499999896874]]",[1.0],[1.0],[0.625],[0.37499999999999906],0,1,8
