Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,453,213.4364610278197,"[0.0, 1.57]",0,0,5,0.1461290322580645
1,0,547,266.9209355765533,"[0.0, -1.57]",0,0,5,0.1764516129032258
2,0,551,269.2103857439914,"[0.0, 0.0]",0,0,5,0.17774193548387096
3,0,602,298.6683026641413,"[1.0, -1.57]",0,0,5,0.19419354838709676
4,0,512,246.66541971058825,"[1.0, 0.0]",0,0,5,0.16516129032258065
5,0,435,203.0409284342112,"[1.0, 1.57]",0,0,5,0.1403225806451613
6,1,520,252.13154012135885,"[0.0, 0.0]",0,0,5,0.16774193548387098
7,1,608,302.680027577208,"[1.0, 1.57]",0,0,5,0.19612903225806452
8,1,455,214.8107005193332,"[0.0, -1.57]",0,0,5,0.14677419354838708
9,1,501,241.26317173191407,"[1.0, 0.0]",0,0,5,0.16161290322580646
10,1,535,260.7397101300478,"[0.0, 1.57]",0,0,5,0.17258064516129032
11,1,481,229.82479367691727,"[1.0, -1.57]",0,0,5,0.15516129032258064
0,0,588,278.28234360326627,"[1.0, 0.0]",1,0,5,0.1896774193548387
1,0,538,250.54764780797944,"[0.0, 0.0]",1,0,5,0.1735483870967742
2,0,503,231.30963105477616,"[1.0, -1.57]",1,0,5,0.16225806451612904
3,0,479,218.09937749181327,"[0.0, -1.57]",1,0,5,0.15451612903225806
4,0,479,218.17679509179248,"[0.0, 1.57]",1,0,5,0.15451612903225806
5,0,513,236.81229193871533,"[1.0, 1.57]",1,0,5,0.16548387096774195
6,1,475,215.8697175584809,"[0.0, 1.57]",1,0,5,0.1532258064516129
7,1,508,233.9156909491221,"[1.0, 1.57]",1,0,5,0.1638709677419355
8,1,588,278.2170203030041,"[1.0, 0.0]",1,0,5,0.1896774193548387
9,1,488,222.99927134632256,"[0.0, -1.57]",1,0,5,0.15741935483870967
10,1,524,242.7011993428234,"[1.0, -1.57]",1,0,5,0.16903225806451613
11,1,517,238.9406023886777,"[0.0, 0.0]",1,0,5,0.1667741935483871
0,0,470,180.99740301285016,"[0.0, 1.57]",2,0,5,0.15161290322580645
1,0,507,198.7286294401906,"[1.0, 0.0]",2,0,5,0.1635483870967742
2,0,461,176.68475411876042,"[0.0, -1.57]",2,0,5,0.14870967741935484
3,0,477,184.231873952365,"[1.0, -1.57]",2,0,5,0.15387096774193548
4,0,659,272.7077499040941,"[1.0, 1.57]",2,0,5,0.21258064516129033
5,0,526,207.8692834188198,"[0.0, 0.0]",2,0,5,0.1696774193548387
6,1,525,231.52224974527144,"[1.0, 1.57]",2,0,5,0.1693548387096774
7,1,666,306.80779652897843,"[1.0, 0.0]",2,0,5,0.21483870967741936
8,1,541,240.078650318988,"[1.0, -1.57]",2,0,5,0.17451612903225808
9,1,430,181.83356601272465,"[0.0, -1.57]",2,0,5,0.13870967741935483
10,1,430,181.80486163772915,"[0.0, 1.57]",2,0,5,0.13870967741935483
11,1,508,222.68821163185984,"[0.0, 0.0]",2,0,5,0.1638709677419355
0,0,396,49.843916992523305,"[0.0, -1.57]",3,0,5,0.12774193548387097
1,0,479,69.14244238962853,"[1.0, 1.57]",3,0,5,0.15451612903225806
2,0,485,70.41166783943807,"[1.0, -1.57]",3,0,5,0.15645161290322582
3,0,693,121.36439383179408,"[1.0, 0.0]",3,0,5,0.2235483870967742
4,0,543,84.40267228733923,"[0.0, 0.0]",3,0,5,0.17516129032258065
