Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,503,144.0302920836584,"[0.0, 1.57]",0,0,5,0.16225806451612904
1,0,573,170.58374997441345,"[1.0, -1.57]",0,0,5,0.18483870967741936
2,0,425,115.03799998274528,"[1.0, 0.0]",0,0,5,0.13709677419354838
3,0,514,148.15394997777693,"[0.0, -1.57]",0,0,5,0.16580645161290322
4,0,582,174.13919997387987,"[1.0, 1.57]",0,0,5,0.18774193548387097
5,0,503,144.1601999783767,"[0.0, 0.0]",0,0,5,0.16225806451612904
6,1,530,155.38769997669291,"[1.0, -1.57]",0,0,5,0.17096774193548386
7,1,636,196.09064997058704,"[1.0, 1.57]",0,0,5,0.20516129032258065
8,1,556,165.43619997518405,"[0.0, 1.57]",0,0,5,0.17935483870967742
9,1,488,139.44689997908364,"[0.0, 0.0]",0,0,5,0.15741935483870967
10,1,389,102.73409998459076,"[1.0, 0.0]",0,0,5,0.12548387096774194
11,1,501,144.37274208360694,"[0.0, -1.57]",0,0,5,0.16161290322580646
0,0,504,142.94839497855762,"[0.0, 1.57]",1,0,5,0.1625806451612903
1,0,394,102.5627328793523,"[0.0, -1.57]",1,0,5,0.1270967741935484
2,0,573,168.99191997465127,"[0.0, 0.0]",1,0,5,0.18483870967741936
3,0,499,141.13358997882975,"[1.0, 1.57]",1,0,5,0.16096774193548388
4,0,624,188.5688099717148,"[1.0, -1.57]",1,0,5,0.20129032258064516
5,0,506,143.8215749784266,"[1.0, 0.0]",1,0,5,0.16322580645161291
6,1,523,172.6069499741089,"[2.0, -1.57]",1,0,5,0.16870967741935483
7,1,413,127.1064149809338,"[0.0, 0.0]",1,0,5,0.13322580645161292
8,1,237,57.98627999130201,"[0.0, -1.57]",1,0,5,0.0764516129032258
9,1,361,106.2213749840666,"[2.0, 1.57]",1,0,5,0.11645161290322581
10,1,366,108.3160349837524,"[1.0, 1.57]",1,0,5,0.11806451612903225
11,1,235,57.17951999142303,"[1.0, -1.57]",1,0,5,0.07580645161290323
12,1,345,99.70788787978049,"[0.0, 1.57]",1,0,5,0.11129032258064517
13,1,272,71.36383498929536,"[2.0, 0.0]",1,0,5,0.08774193548387096
14,1,348,101.11999498483183,"[1.0, 0.0]",1,0,5,0.11225806451612903
0,0,663,173.02814997404514,"[1.0, 0.0]",2,0,5,0.21387096774193548
1,0,457,104.7055409842947,"[1.0, 1.57]",2,0,5,0.1474193548387097
2,0,488,114.72175158805491,"[0.0, 1.57]",2,0,5,0.15741935483870967
3,0,482,112.70923198309367,"[0.0, -1.57]",2,0,5,0.15548387096774194
4,0,466,107.45168398388262,"[1.0, -1.57]",2,0,5,0.1503225806451613
5,0,544,133.09790398003582,"[0.0, 0.0]",2,0,5,0.17548387096774193
6,1,492,97.69146748534574,"[0.0, 1.57]",2,0,5,0.15870967741935485
7,1,391,69.03787309490723,"[0.0, -1.57]",2,0,5,0.12612903225806452
8,1,513,103.93462348440916,"[1.0, 1.57]",2,0,5,0.16548387096774195
9,1,506,101.86134748472024,"[0.0, 0.0]",2,0,5,0.16322580645161291
10,1,425,78.55995598821586,"[1.0, 0.0]",2,0,5,0.13709677419354838
11,1,773,181.90445397271483,"[1.0, -1.57]",2,0,5,0.24935483870967742
0,0,620,148.03190637779466,"[1.0, -1.57]",3,0,5,0.2
1,0,569,131.87052313021903,"[1.0, 1.57]",3,0,5,0.1835483870967742
2,0,624,149.2546523223483,"[1.0, 0.0]",3,0,5,0.20129032258064516
3,0,377,72.84383053907315,"[0.0, -1.57]",3,0,5,0.12161290322580645
4,0,371,71.08121788933751,"[0.0, 1.57]",3,0,5,0.11967741935483871
5,0,539,122.289494831656,"[0.0, 0.0]",3,0,5,0.17387096774193547
6,1,344,73.30113223900476,"[0.0, -1.57]",3,0,5,0.11096774193548387
7,1,438,104.06215627912702,"[2.0, -1.57]",3,0,5,0.14129032258064517
8,1,232,38.43007334423544,"[0.0, 1.57]",3,0,5,0.07483870967741936
9,1,387,87.23079133691503,"[0.0, 0.0]",3,0,5,0.12483870967741935
10,1,313,63.28379744050728,"[2.0, 1.57]",3,0,5,0.10096774193548387
11,1,388,87.5476876368677,"[2.0, 0.0]",3,0,5,0.12516129032258064
12,1,264,48.18792059277174,"[1.0, -1.57]",3,0,5,0.08516129032258064
13,1,469,114.35265313284656,"[1.0, 0.0]",3,0,5,0.15129032258064515
14,1,265,48.33488699274965,"[1.0, 1.57]",3,0,5,0.08548387096774193
0,0,426,53.45410724198172,"[0.0, -1.57]",4,0,5,0.13741935483870968
1,0,660,108.24272188376328,"[1.0, 0.0]",4,0,5,0.2129032258064516
2,0,482,66.22640594006579,"[0.0, 0.0]",4,0,5,0.15548387096774194
3,0,558,83.8850093874168,"[1.0, 1.57]",4,0,5,0.18
4,0,556,83.40376003748909,"[1.0, -1.57]",4,0,5,0.17935483870967742
5,0,418,51.723971542241294,"[0.0, 1.57]",4,0,5,0.13483870967741934
6,1,404,57.97135574130392,"[2.0, 1.57]",4,0,5,0.13032258064516128
7,1,255,23.47788239647829,"[0.0, 1.57]",4,0,5,0.08225806451612903
8,1,406,58.52641634122067,"[2.0, -1.57]",4,0,5,0.13096774193548388
9,1,398,56.55417974151663,"[1.0, 0.0]",4,0,5,0.12838709677419355
10,1,312,36.09665369458545,"[1.0, 1.57]",4,0,5,0.10064516129032258
11,1,312,36.143892894578336,"[0.0, 0.0]",4,0,5,0.10064516129032258
12,1,249,22.08727844668688,"[0.0, -1.57]",4,0,5,0.08032258064516129
13,1,308,35.21387114471786,"[1.0, -1.57]",4,0,5,0.09935483870967741
14,1,456,70.80270343937917,"[2.0, 0.0]",4,0,5,0.14709677419354839
0,0,610,93.9853408359018,"[1.0, 1.57]",5,0,5,0.1967741935483871
1,0,612,94.38392158584205,"[1.0, 0.0]",5,0,5,0.19741935483870968
2,0,616,95.36708743569444,"[1.0, -1.57]",5,0,5,0.19870967741935483
3,0,413,49.12109162263199,"[0.0, 1.57]",5,0,5,0.13322580645161292
4,0,410,48.52056329272204,"[0.0, -1.57]",5,0,5,0.13225806451612904
5,0,439,54.79422429678107,"[0.0, 0.0]",5,0,5,0.14161290322580644
6,1,436,62.12545289068068,"[2.0, 1.57]",5,0,5,0.1406451612903226
7,1,260,22.29129274165627,"[0.0, -1.57]",5,0,5,0.08387096774193549
8,1,434,61.72687214074049,"[2.0, 0.0]",5,0,5,0.14
9,1,441,63.3211951405013,"[2.0, -1.57]",5,0,5,0.14225806451612905
10,1,319,35.06713437973995,"[1.0, -1.57]",5,0,5,0.10290322580645161
11,1,325,36.47545302952871,"[1.0, 1.57]",5,0,5,0.10483870967741936
12,1,261,22.517155166622384,"[0.0, 1.57]",5,0,5,0.08419354838709678
13,1,289,28.48789480072669,"[0.0, 0.0]",5,0,5,0.09322580645161291
14,1,335,38.72876286919074,"[1.0, 0.0]",5,0,5,0.10806451612903226
0,0,593,293.26500189525376,"[1.0, -1.57]",0,1,5,0.19129032258064516
1,0,470,223.1108815365411,"[0.0, 1.57]",0,1,5,0.15161290322580645
2,0,463,218.90059590341244,"[1.0, 1.57]",0,1,5,0.14935483870967742
3,0,553,270.39198777520613,"[0.0, -1.57]",0,1,5,0.17838709677419354
4,0,509,245.328756222509,"[1.0, 0.0]",0,1,5,0.16419354838709677
5,0,512,246.92045048408283,"[0.0, 0.0]",0,1,5,0.16516129032258065
6,1,544,266.0926577080445,"[0.0, 1.57]",0,1,5,0.17548387096774193
7,1,585,289.75915890215606,"[1.0, 1.57]",0,1,5,0.18870967741935485
8,1,465,220.79874918176043,"[0.0, -1.57]",0,1,5,0.15
9,1,474,225.7803710535867,"[1.0, -1.57]",0,1,5,0.1529032258064516
10,1,534,260.22350977102354,"[0.0, 0.0]",0,1,5,0.17225806451612904
11,1,498,239.46161109980423,"[1.0, 0.0]",0,1,5,0.16064516129032258
0,0,533,241.56978267194944,"[0.0, 1.57]",1,1,5,0.17193548387096774
1,0,433,187.99021730113503,"[1.0, 1.57]",1,1,5,0.1396774193548387
2,0,725,346.58945396989753,"[1.0, -1.57]",1,1,5,0.23387096774193547
3,0,528,238.90945552900104,"[0.0, 0.0]",1,1,5,0.1703225806451613
4,0,347,142.82228011322783,"[1.0, 0.0]",1,1,5,0.11193548387096774
5,0,534,242.16393096394668,"[0.0, -1.57]",1,1,5,0.17225806451612904
6,1,487,210.66872328653864,"[0.0, 0.0]",1,1,5,0.1570967741935484
7,1,685,315.7925320558249,"[1.0, 0.0]",1,1,5,0.22096774193548388
8,1,530,233.28392923426256,"[1.0, 1.57]",1,1,5,0.17096774193548386
9,1,546,241.69844741138493,"[1.0, -1.57]",1,1,5,0.1761290322580645
10,1,401,166.00526303729393,"[0.0, -1.57]",1,1,5,0.12935483870967743
11,1,451,191.88784492995816,"[0.0, 1.57]",1,1,5,0.14548387096774193
0,0,368,148.63708283175282,"[0.0, 1.57]",2,1,5,0.11870967741935484
1,0,541,238.34305709503764,"[1.0, 1.57]",2,1,5,0.17451612903225808
2,0,558,247.29046199843276,"[1.0, -1.57]",2,1,5,0.18
3,0,514,224.07878584187745,"[0.0, 0.0]",2,1,5,0.16580645161290322
4,0,681,312.8239601530764,"[1.0, 0.0]",2,1,5,0.2196774193548387
5,0,438,184.56494797283176,"[0.0, -1.57]",2,1,5,0.14129032258064517
6,1,656,270.8914591254096,"[1.0, -1.57]",2,1,5,0.21161290322580645
7,1,479,185.0103738174933,"[1.0, 1.57]",2,1,5,0.15451612903225806
8,1,516,202.70961043220484,"[0.0, 0.0]",2,1,5,0.1664516129032258
9,1,544,216.14392261282316,"[1.0, 0.0]",2,1,5,0.17548387096774193
10,1,457,174.4324734348313,"[0.0, 1.57]",2,1,5,0.1474193548387097
11,1,448,170.16675266070558,"[0.0, -1.57]",2,1,5,0.14451612903225808
0,0,548,216.117666912582,"[0.0, 0.0]",3,1,5,0.1767741935483871
1,0,581,232.02612361019612,"[1.0, 0.0]",3,1,5,0.18741935483870967
2,0,599,240.5728430639141,"[1.0, -1.57]",3,1,5,0.1932258064516129
3,0,372,133.05990121004075,"[0.0, 1.57]",3,1,5,0.12
4,0,594,238.27609940425856,"[1.0, 1.57]",3,1,5,0.19161290322580646
5,0,406,148.90602840766385,"[0.0, -1.57]",3,1,5,0.13096774193548388
6,1,477,158.05399790129113,"[1.0, 1.57]",3,1,5,0.15387096774193548
7,1,401,126.21674540606664,"[0.0, 1.57]",3,1,5,0.12935483870967743
8,1,522,177.04432032344286,"[1.0, -1.57]",3,1,5,0.16838709677419356
9,1,671,241.7343368937396,"[1.0, 0.0]",3,1,5,0.21645161290322582
10,1,478,158.45044632623183,"[0.0, -1.57]",3,1,5,0.15419354838709678
11,1,551,189.63146760155465,"[0.0, 0.0]",3,1,5,0.17774193548387096
0,0,485,89.49791208157471,"[0.0, -1.57]",4,1,5,0.15645161290322582
1,0,557,109.54475233356698,"[1.0, 1.57]",4,1,5,0.17967741935483872
