Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,559,271.7240533405146,"[1.0, -1.57]",0,0,5,0.1803225806451613
1,0,524,251.85232361888956,"[1.0, 1.57]",0,0,5,0.16903225806451613
2,0,561,272.8948909139733,"[1.0, 0.0]",0,0,5,0.18096774193548387
3,0,446,207.80799751841,"[0.0, 1.57]",0,0,5,0.14387096774193547
4,0,494,234.8459242993172,"[0.0, -1.57]",0,0,5,0.15935483870967743
5,0,516,247.21541761791485,"[0.0, 0.0]",0,0,5,0.1664516129032258
6,1,526,251.6359139709625,"[0.0, 0.0]",0,0,5,0.1696774193548387
7,1,491,231.97873188513265,"[1.0, 1.57]",0,0,5,0.15838709677419355
8,1,550,265.33426160970225,"[1.0, 0.0]",0,0,5,0.1774193548387097
9,1,593,289.8000176453121,"[1.0, -1.57]",0,0,5,0.19129032258064516
10,1,487,229.67297529467976,"[0.0, -1.57]",0,0,5,0.1570967741935484
11,1,453,210.63009200432376,"[0.0, 1.57]",0,0,5,0.1461290322580645
0,0,508,203.97493045354787,"[1.0, 0.0]",1,0,5,0.1638709677419355
1,0,551,225.0173246190379,"[0.0, -1.57]",1,0,5,0.17774193548387096
2,0,440,170.86634409308212,"[0.0, 1.57]",1,0,5,0.14193548387096774
3,0,488,194.1908458027801,"[1.0, 1.57]",1,0,5,0.15741935483870967
4,0,632,265.27871625161765,"[1.0, -1.57]",1,0,5,0.20387096774193547
5,0,481,190.56975133246775,"[0.0, 0.0]",1,0,5,0.15516129032258064
6,1,670,311.8110444768496,"[1.0, 0.0]",1,0,5,0.2161290322580645
7,1,495,217.6878966352374,"[0.0, 0.0]",1,0,5,0.1596774193548387
8,1,508,224.80427401165204,"[0.0, -1.57]",1,0,5,0.1638709677419355
9,1,477,208.33169866691964,"[0.0, 1.57]",1,0,5,0.15387096774193548
10,1,488,214.2063770123952,"[1.0, -1.57]",1,0,5,0.15741935483870967
11,1,462,200.2563689804001,"[1.0, 1.57]",1,0,5,0.14903225806451612
0,0,447,38.92859999416072,"[0.0, 0.0]",2,0,5,0.14419354838709678
1,0,611,70.11157498948319,"[1.0, 1.57]",2,0,5,0.19709677419354837
2,0,755,98.92529998516132,"[1.0, 0.0]",2,0,5,0.2435483870967742
3,0,385,27.938924995809227,"[0.0, -1.57]",2,0,5,0.12419354838709677
4,0,389,28.540349995719048,"[1.0, -1.57]",2,0,5,0.12548387096774194
5,0,513,51.21224999231825,"[0.0, 1.57]",2,0,5,0.16548387096774195
6,1,612,150.61139997740833,"[0.0, -1.57]",2,0,5,0.19741935483870968
7,1,624,154.5297749768207,"[1.0, -1.57]",2,0,5,0.20129032258064516
8,1,510,117.5785874823631,"[1.0, 0.0]",2,0,5,0.16451612903225807
9,1,374,75.04143748874378,"[0.0, 1.57]",2,0,5,0.12064516129032259
10,1,521,121.13246248183005,"[0.0, 0.0]",2,0,5,0.16806451612903225
11,1,459,101.35833748479637,"[1.0, 1.57]",2,0,5,0.14806451612903226
0,0,702,98.50247998522516,"[1.0, 1.57]",3,0,5,0.2264516129032258
1,0,321,21.760649996735925,"[0.0, 1.57]",3,0,5,0.10354838709677419
2,0,746,108.08427373378828,"[1.0, 0.0]",3,0,5,0.24064516129032257
3,0,701,98.25644248526208,"[1.0, -1.57]",3,0,5,0.22612903225806452
4,0,291,16.440772497533843,"[0.0, -1.57]",3,0,5,0.09387096774193548
5,0,339,25.03568249624472,"[0.0, 0.0]",3,0,5,0.10935483870967742
6,1,351,56.13755624157936,"[0.0, 1.57]",3,0,5,0.1132258064516129
7,1,664,145.1074499782326,"[1.0, 0.0]",3,0,5,0.21419354838709678
8,1,657,143.11181247853202,"[1.0, -1.57]",3,0,5,0.21193548387096775
9,1,417,74.13929998887924,"[0.0, 0.0]",3,0,5,0.13451612903225807
10,1,364,59.67229499104915,"[0.0, -1.57]",3,0,5,0.11741935483870967
11,1,647,140.13202497897896,"[1.0, 1.57]",3,0,5,0.20870967741935484
0,0,628,309.8233302166837,"[1.0, 0.0]",0,1,5,0.20258064516129032
1,0,431,198.30048154920215,"[0.0, 1.57]",0,1,5,0.13903225806451613
2,0,559,270.40151925444854,"[1.0, -1.57]",0,1,5,0.1803225806451613
3,0,544,261.86587693440447,"[0.0, 0.0]",0,1,5,0.17548387096774193
4,0,491,231.9741236494147,"[1.0, 1.57]",0,1,5,0.15838709677419355
5,0,447,207.25365194259604,"[0.0, -1.57]",0,1,5,0.14419354838709678
6,1,381,212.17554391845536,"[2.0, 0.0]",0,1,5,0.12290322580645162
7,1,281,146.94547497795818,"[0.0, -1.57]",0,1,5,0.09064516129032259
8,1,406,228.7270953604285,"[2.0, 1.57]",0,1,5,0.13096774193548388
9,1,451,258.70474701644787,"[2.0, -1.57]",0,1,5,0.14548387096774193
10,1,285,149.60390326703296,"[1.0, 1.57]",0,1,5,0.09193548387096774
11,1,301,159.8742473444397,"[1.0, -1.57]",0,1,5,0.09709677419354838
12,1,351,192.4354539185032,"[0.0, 0.0]",0,1,5,0.1132258064516129
13,1,242,121.95888748170614,"[0.0, 1.57]",0,1,5,0.07806451612903226
14,1,402,225.9860802292602,"[1.0, 0.0]",0,1,5,0.1296774193548387
0,0,489,111.5248499832713,"[0.0, -1.57]",1,1,5,0.15774193548387097
1,0,360,71.23848748931431,"[0.0, 1.57]",1,1,5,0.11612903225806452
2,0,603,148.67752497769877,"[1.0, -1.57]",1,1,5,0.19451612903225807
3,0,493,112.8911920883296,"[0.0, 0.0]",1,1,5,0.15903225806451612
4,0,567,136.80846708474206,"[1.0, 0.0]",1,1,5,0.1829032258064516
5,0,588,143.65248747845257,"[1.0, 1.57]",1,1,5,0.1896774193548387
6,1,350,118.21134669279462,"[1.0, 1.57]",1,1,5,0.11290322580645161
7,1,294,93.52361248597138,"[2.0, -1.57]",1,1,5,0.09483870967741935
8,1,291,91.9299374862105,"[0.0, -1.57]",1,1,5,0.09387096774193548
9,1,359,122.20267498166923,"[2.0, 0.0]",1,1,5,0.11580645161290322
10,1,395,138.32977497925054,"[2.0, 1.57]",1,1,5,0.12741935483870967
11,1,310,100.59997498490996,"[1.0, -1.57]",1,1,5,0.1
