timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,125.63243222236633,7,"[0, 0]",125.63955283164978,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, -1.57, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,79.4844651222229,5,"[0, 0]",79.49340510368347,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 1.57, 2]]","[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
2,21.864575624465942,2,"[0, 0]",21.874263525009155,3,"[[3.0, 2.0, 1.57, 2], [3.0, 3.0, 1.57, 3]]","[[2.0, 1.0, 0.0, 2], [3.0, 1.0, -1.57, 3]]","[[0.499999999925, 0.499999999925], [0.62499999990625, 0.87499999986875]]",[1.0],[1.0],[0.25],[0.75],0,0,5
3,14.085115194320679,2,"[0, 1]",14.094539165496826,4,"[[3.0, 3.0, 1.57, 3], [3.0, 4.0, 1.57, 4]]","[[3.0, 1.0, -1.57, 3], [3.0, 0.0, -1.57, 4]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,0,5
0,79.42445945739746,4,"[0, 0]",79.43138527870178,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,1,5
1,52.158958196640015,3,"[0, 0]",52.16918873786926,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 1.57, 2]]","[[2.0, 3.0, -1.57, 1], [2.0, 1.0, 0.0, 2]]","[[0.499999999925, 0.499999999925], [0.62499999990625, 0.87499999986875]]",[1.0],[1.0],[0.25],[0.75],0,1,5
2,10.379281520843506,1,"[0, 0]",10.38593864440918,3,"[[3.0, 2.0, 1.57, 2], [3.0, 3.0, 1.57, 3]]","[[2.0, 1.0, 0.0, 2], [3.0, 1.0, -1.57, 3]]","[[0.499999999925, 0.499999999925], [0.62499999990625, 0.87499999986875]]",[1.0],[1.0],[0.25],[0.75],0,1,5
3,9.533012628555298,1,"[0, 1]",9.54186487197876,4,"[[3.0, 3.0, 1.57, 3], [3.0, 4.0, 1.57, 4]]","[[3.0, 1.0, -1.57, 3], [3.0, 0.0, -3.14, 4]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,1,5
0,91.14262080192566,7,"[0, 0]",91.14799952507019,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
1,63.53046154975891,5,"[0, 0]",63.54003977775574,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 1.57, 2]]","[[2.0, 3.0, -1.57, 1], [2.0, 2.0, -1.57, 2]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,8
