Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,494,235.8803731195996,"[1.0, 1.57]",0,0,5,0.15935483870967743
1,0,668,335.9090392387948,"[1.0, 0.0]",0,0,5,0.21548387096774194
2,0,527,254.64042825127808,"[1.0, -1.57]",0,0,5,0.17
3,0,453,212.7838736522929,"[0.0, -1.57]",0,0,5,0.1461290322580645
4,0,422,195.2306407601891,"[0.0, 1.57]",0,0,5,0.13612903225806453
5,0,536,259.93514601364154,"[0.0, 0.0]",0,0,5,0.17290322580645162
6,1,441,253.3728628067213,"[2.0, -1.57]",0,0,5,0.14225806451612905
7,1,395,222.5605440455637,"[2.0, 1.57]",0,0,5,0.12741935483870967
8,1,396,223.321097334923,"[1.0, 0.0]",0,0,5,0.12774193548387097
9,1,294,156.1952731315522,"[1.0, 1.57]",0,0,5,0.09483870967741935
10,1,387,217.09448286217275,"[2.0, 0.0]",0,0,5,0.12483870967741935
11,1,282,148.2424874777635,"[0.0, -1.57]",0,0,5,0.09096774193548388
12,1,238,120.23839537670096,"[0.0, 1.57]",0,0,5,0.07677419354838709
13,1,368,204.5522782587909,"[0.0, 0.0]",0,0,5,0.11870967741935484
14,1,299,159.4770047100072,"[1.0, -1.57]",0,0,5,0.0964516129032258
0,0,559,157.93529208157332,"[1.0, -1.57]",1,0,5,0.1803225806451613
1,0,565,159.98006247600338,"[1.0, 1.57]",1,0,5,0.18225806451612903
2,0,621,180.67604207816203,"[1.0, 0.0]",1,0,5,0.20032258064516129
3,0,474,126.665774981,"[0.0, -1.57]",1,0,5,0.1529032258064516
4,0,506,138.35306247924717,"[0.0, 0.0]",1,0,5,0.16322580645161291
5,0,375,91.66162498625071,"[0.0, 1.57]",1,0,5,0.12096774193548387
6,1,387,130.10870129627318,"[2.0, -1.57]",1,0,5,0.12483870967741935
7,1,396,134.25243747986195,"[2.0, 1.57]",1,0,5,0.12774193548387097
8,1,202,52.20854999216869,"[0.0, 1.57]",1,0,5,0.06516129032258064
9,1,338,108.89741248366532,"[0.0, 0.0]",1,0,5,0.10903225806451614
10,1,280,84.14232038211561,"[0.0, -1.57]",1,0,5,0.09032258064516129
11,1,344,111.425624983286,"[1.0, 1.57]",1,0,5,0.11096774193548387
12,1,385,129.28106248060783,"[2.0, 0.0]",1,0,5,0.12419354838709677
13,1,384,128.94592498065802,"[1.0, -1.57]",1,0,5,0.12387096774193548
14,1,384,128.9904749806512,"[1.0, 0.0]",1,0,5,0.12387096774193548
0,0,521,144.91292208352755,"[0.0, -1.57]",2,0,5,0.16806451612903225
1,0,512,141.6793274787493,"[0.0, 0.0]",2,0,5,0.16516129032258065
2,0,510,140.82548622887762,"[1.0, 1.57]",2,0,5,0.16451612903225807
3,0,520,144.63906747830512,"[1.0, -1.57]",2,0,5,0.16774193548387098
4,0,554,157.07580747643954,"[1.0, 0.0]",2,0,5,0.17870967741935484
5,0,483,131.1452774803292,"[0.0, 1.57]",2,0,5,0.1558064516129032
6,1,356,89.61414748655838,"[1.0, 0.0]",2,0,5,0.11483870967741935
7,1,355,89.26149373661131,"[0.0, 1.57]",2,0,5,0.11451612903225807
8,1,261,56.43097874153535,"[2.0, 1.57]",2,0,5,0.08419354838709678
9,1,258,55.336135846962726,"[1.0, 1.57]",2,0,5,0.0832258064516129
10,1,407,108.00863998379953,"[0.0, 0.0]",2,0,5,0.13129032258064516
11,1,365,92.6522549861027,"[1.0, -1.57]",2,0,5,0.11774193548387096
12,1,377,97.04721373544358,"[2.0, -1.57]",2,0,5,0.12161290322580645
13,1,271,59.634022491054886,"[2.0, 0.0]",2,0,5,0.08741935483870968
14,1,450,123.7687087314356,"[0.0, -1.57]",2,0,5,0.14516129032258066
0,0,548,118.01844785729608,"[1.0, 0.0]",3,0,5,0.1767741935483871
1,0,531,112.85658110807049,"[0.0, 0.0]",3,0,5,0.17129032258064517
2,0,427,82.24951611266205,"[1.0, 1.57]",3,0,5,0.13774193548387098
3,0,543,116.47661285752814,"[0.0, -1.57]",3,0,5,0.17516129032258065
4,0,543,116.4397072325334,"[1.0, -1.57]",3,0,5,0.17516129032258065
5,0,508,106.07660773408732,"[0.0, 1.57]",3,0,5,0.1638709677419355
6,1,607,109.9705612335046,"[1.0, -1.57]",3,0,5,0.19580645161290322
7,1,428,64.31666286535332,"[0.0, 1.57]",3,0,5,0.13806451612903226
