timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,57.50406622886658,4,"[0, 0]",57.51057577133179,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [2.0, 3.0, -1.57, 1]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,0,5
1,42.32487607002258,3,"[0, 0]",42.33393669128418,2,"[[4.0, 2.0, 3.14, 1], [3.0, 2.0, 3.14, 2]]","[[1.0, 3.0, 0.0, 1], [3.0, 3.0, 1.57, 2]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,0,5
2,39.13135647773743,3,"[0, 0]",39.13787817955017,3,"[[3.0, 2.0, 3.14, 2], [2.0, 2.0, 3.14, 3]]","[[2.0, 3.0, 1.57, 2], [2.0, 3.0, -0.0, 3]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
3,34.95726013183594,3,"[0, 0]",34.9621901512146,4,"[[2.0, 2.0, 3.14, 3], [1.0, 2.0, 3.14, 4]]","[[2.0, 4.0, 1.57, 3], [2.0, 5.0, -0.0, 4]]","[[0.499999999925, 0.499999999925], [0.7916666665479161, 0.708333333227083]]",[1.0],[1.0],[0.583333333333333],[0.416666666666666],0,0,5
4,45.60922074317932,3,"[0, 0]",45.620264530181885,5,"[[1.0, 2.0, 3.14, 4], [1.0, 2.0, 1.57, 5]]","[[2.0, 4.0, -0.0, 4], [3.0, 4.0, -1.57, 5]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
5,28.867858409881592,2,"[0, 0]",28.873637199401855,6,"[[1.0, 2.0, 1.57, 5], [1.0, 3.0, 3.14, 6]]","[[3.0, 4.0, -1.57, 5], [3.0, 2.0, -1.57, 6]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,0,5
6,27.935545921325684,2,"[0, 0]",27.94862389564514,7,"[[1.0, 3.0, 3.14, 6], [0.0, 3.0, 1.57, 7]]","[[3.0, 3.0, -1.57, 6], [3.0, 1.0, -1.57, 7]]","[[0.499999999925, 0.499999999925], [0.708333333227083, 0.7916666665479161]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,0,5
7,17.836971044540405,2,"[0, 1]",17.84484338760376,8,"[[0.0, 3.0, 1.57, 7], [0.0, 3.0, -0.0, 8]]","[[3.0, 2.0, -1.57, 7], [3.0, 0.0, 0.0, 8]]","[[0.499999999925, 0.499999999925], [0.6666666665666661, 0.833333333208333]]",[1.0],[1.0],[0.33333333333333304],[0.6666666666666661],0,0,5
8,7.880747556686401,1,"[0, 1]",7.891021251678467,9,"[[0.0, 3.0, -0.0, 8], [0.0, 3.0, 1.57, 9]]","[[3.0, 1.0, -1.57, 8], [3.0, 0.0, 0.0, 9]]","[[0.499999999925, 0.499999999925], [0.6666666665666661, 0.833333333208333]]",[1.0],[1.0],[0.33333333333333304],[0.6666666666666661],0,0,5
0,90.6016936302185,7,"[0, 0]",90.60961890220642,1,"[[5.0, 2.0, 3.141592653589793, 0], [4.0, 2.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7499999998875, 0.7499999998875]]",[1.0],[1.0],[0.5],[0.5],0,1,5
