timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,alphat_eff_gamelength_2,runtime_gamelength_2,alphat_eff_gamelength_1,runtime_gamelength_1,collisions,data_of_agent,run_num
0,0.9578262852211511,22.170332193374634,4.0,"[0, 0]",22.175764322280884,1,"[[1.0, 2.0, 0.0, 0], [3.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7605937051415691, 0.7394062946334311]]",[1.0],[1.0],[0.521187410511316],[0.47881258948868305],,,,,,,,,0,0,5
1,,,3.0,"[0, 0]",14.65828561782837,1,"[[3.0, 2.0, 0.0, 0], [5.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8475566422156021, 0.6524433575593971]]",[1.0],[1.0],[0.6951132846854711],[0.30488671531452805],0.9363291775690441,14.65450406074524,,,,,,,0,0,5
2,,,2.0,"[0, 0]",9.531306505203247,1,"[[5.0, 2.0, 0.0, 0], [7.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.891111887254001, 0.6088881125209981]]",[1.0],[1.0],[0.7822237747753361],[0.21777622522466303],,,0.8944271909999151,9.526754379272461,,,,,0,0,5
3,,,1.0,"[0, 0]",3.638305902481079,1,"[[7.0, 2.0, 0.0, 0], [9.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 1.5707963267948961, 0], [1.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9237783210328011, 0.5762216787421981]]",[1.0],[1.0],[0.8475566423427351],[0.15244335765726402],,,,,0.8,3.634704828262329,,,0,0,5
4,,,0.0,"[0, 0]",0.808589935302734,1,"[[9.0, 2.0, 0.0, 0], [11.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 5.0, 0.0, 0], [3.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.923925874035566, 0.5760741257394331]]",[1.0],[1.0],[0.8478517483483111],[0.15214825165168902],,,,,,,0.554700196225229,0.80263066291809,0,0,5
5,,,0.0,"[0, 0]",0.7417356967926021,1,"[[11.0, 2.0, -1.5707963267948961, 0], [11.0, 1.0, -1.5707963267948961, 1]]","[[2.0, 5.0, 0.0, 0], [4.0, 5.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.9130739510266581, 0.5869260487483411]]",[1.0],[1.0],[0.8261479023272381],[0.17385209767276102],,,,,,,0.6666666666666661,0.738391399383544,0,0,5
6,,,1.0,"[0, 0]",1.917614936828613,1,"[[11.0, 1.0, -1.5707963267948961, 0], [11.0, 1.0, 0.0, 1]]","[[3.0, 5.0, 0.0, 0], [5.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.8913701050088411, 0.608629894766158]]",[1.0],[1.0],[0.7827402102850931],[0.217259789714906],,,,,1.0,1.914422750473022,,,0,0,5
7,,,1.0,"[0, 0]",2.091934204101562,1,"[[11.0, 1.0, 0.0, 0], [13.0, 1.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 1.5707963267948961, 0], [3.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.9348146852951661, 0.565185314479833]]",[1.0],[1.0],[0.8696293708707771],[0.130370629129222],,,,,1.0,2.089205265045166,,,0,0,5
8,,,1.0,"[0, 0]",3.463510513305664,1,"[[13.0, 1.0, 1.5707963267948961, 0], [13.0, 3.0, 1.5707963267948961, 1]]","[[3.0, 5.0, 3.141592653589793, 0], [3.0, 5.0, 4.71238898038469, 1]]","[[0.499999999925, 0.499999999925], [0.9348146852951661, 0.565185314479833]]",[1.0],[1.0],[0.8696293708707771],[0.130370629129222],,,,,0.8944271909999151,3.458073377609253,,,0,0,5
9,,,0.0,"[1, 0]",0.7338261604309081,1,"[[13.0, 3.0, 1.5707963267948961, 0], [13.0, 5.0, 1.5707963267948961, 1]]","[[1.0, 5.0, 4.71238898038469, 0], [0.9999999999999991, 4.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.99999999985, 0.499999999925]]",[1.0],[1.0],[1.0],[0.0],,,,,,,0.707106781186547,0.72906494140625,0,0,5
