Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,395,240.98897294875104,"[2.0, 1.57]",0,0,5,0.12741935483870967
1,0,431,260.08641717375866,"[1.0, -1.57]",0,0,5,0.13903225806451613
2,0,294,151.2029815881861,"[1.0, 1.57]",0,0,5,0.09483870967741935
3,0,348,205.6853916379423,"[0.0, 0.0]",0,0,5,0.11225806451612903
4,0,409,248.855124680409,"[2.0, 0.0]",0,0,5,0.13193548387096773
5,0,315,190.2082320600288,"[1.0, 0.0]",0,0,5,0.10161290322580645
6,0,310,183.3308709861324,"[0.0, -1.57]",0,0,5,0.1
7,0,275,138.93055278369874,"[0.0, 1.57]",0,0,5,0.08870967741935484
8,0,323,196.75119301131335,"[2.0, -1.57]",0,0,5,0.10419354838709677
9,1,403,243.3361028719684,"[2.0, 1.57]",0,0,5,0.13
10,1,297,179.19807852479676,"[2.0, 0.0]",0,0,5,0.09580645161290323
11,1,303,171.7731410905227,"[1.0, 1.57]",0,0,5,0.09774193548387097
12,1,376,205.73093284265624,"[0.0, 1.57]",0,0,5,0.12129032258064516
13,1,403,219.194608614854,"[0.0, -1.57]",0,0,5,0.13
14,1,428,258.5060624939811,"[2.0, -1.57]",0,0,5,0.13806451612903226
15,1,374,205.7356174333764,"[0.0, 0.0]",0,0,5,0.12064516129032259
16,1,270,150.7102773058048,"[1.0, 0.0]",0,0,5,0.08709677419354839
17,1,246,137.79697048199347,"[1.0, -1.57]",0,0,5,0.07935483870967742
0,0,448,280.2548121480317,"[0.0, 1.57]",1,0,5,0.14451612903225808
1,0,555,347.2778501686888,"[0.0, 0.0]",1,0,5,0.17903225806451614
2,0,556,347.9130171872236,"[1.0, 0.0]",1,0,5,0.17935483870967742
3,0,472,295.2709822989113,"[1.0, 1.57]",1,0,5,0.15225806451612903
4,0,605,378.6232441876345,"[1.0, -1.57]",1,0,5,0.19516129032258064
5,0,464,283.68813166594003,"[0.0, -1.57]",1,0,5,0.14967741935483872
6,1,541,321.77845033871563,"[1.0, 1.57]",1,0,5,0.17451612903225808
7,1,576,351.0030109305512,"[0.0, -1.57]",1,0,5,0.18580645161290324
8,1,489,298.0975910469078,"[1.0, -1.57]",1,0,5,0.15774193548387097
9,1,472,287.33356493562223,"[0.0, 1.57]",1,0,5,0.15225806451612903
10,1,507,301.79188855278045,"[0.0, 0.0]",1,0,5,0.1635483870967742
11,1,515,313.782767700949,"[1.0, 0.0]",1,0,5,0.16612903225806452
0,0,1046,599.4241580448959,"[0.0, 1.57]",2,0,5,0.33741935483870966
1,0,1059,605.6652111230184,"[0.0, 0.0]",2,0,5,0.34161290322580645
2,0,995,553.2495049852763,"[0.0, -1.57]",2,0,5,0.3209677419354839
3,1,356,118.20350814936812,"[0.0, -1.57]",2,0,5,0.11483870967741935
4,1,292,182.7667399900016,"[1.0, 0.0]",2,0,5,0.09419354838709677
5,1,432,270.4433658240521,"[1.0, -1.57]",2,0,5,0.1393548387096774
6,1,377,230.65707271300036,"[0.0, 0.0]",2,0,5,0.12161290322580645
7,1,322,201.52192941584707,"[1.0, 1.57]",2,0,5,0.10387096774193548
8,1,345,211.0576811464776,"[0.0, 1.57]",2,0,5,0.11129032258064517
9,1,295,186.5883295851409,"[2.0, 1.57]",2,0,5,0.09516129032258064
10,1,301,194.87404654862817,"[2.0, -1.57]",2,0,5,0.09709677419354838
11,1,380,243.400778386842,"[2.0, 0.0]",2,0,5,0.12258064516129032
0,0,1056,601.6365456336554,"[0.0, -1.57]",3,0,5,0.3406451612903226
1,0,994,580.8333103815967,"[0.0, 0.0]",3,0,5,0.32064516129032256
2,0,1050,613.889322239336,"[0.0, 1.57]",3,0,5,0.3387096774193548
3,1,370,231.66168484004032,"[1.0, -1.57]",3,0,5,0.11935483870967742
4,1,417,270.0871308005726,"[1.0, 1.57]",3,0,5,0.13451612903225807
5,1,384,253.95961973911977,"[2.0, 1.57]",3,0,5,0.12387096774193548
