timestep,alphat_eff_gamelength_5,runtime_gamelength_5,game_length,winner,runtime,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,alphat_eff_gamelength_4,runtime_gamelength_4,alphat_eff_gamelength_3,runtime_gamelength_3,collisions,data_of_agent,run_num,alphat_eff_gamelength_2,runtime_gamelength_2
0,0.9578262852211511,3.29395318031311,4,"[0, 0]",6.4970104694366455,1,"[[1.0, 2.0, 0.0, 0], [2.0, 2.0, -1.5707963267948961, 1]]","[[1.0, 4.0, 0.0, 0], [3.0, 4.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7388160826223691, 0.76118391715263]]",[1.0],[1.0],[0.47763216546638304],[0.522367834533616],,,,,0,0,5,,
1,,,3,"[0, 0]",4.409723997116089,1,"[[2.0, 2.0, -1.5707963267948961, 0], [2.0, 1.0, -3.141592653589793, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 4.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.760519928640186, 0.7394800711348131]]",[1.0],[1.0],[0.521039857508528],[0.47896014249147106],0.843274042711567,2.579351663589477,,,0,0,5,,
2,,,3,"[0, 0]",4.924885511398315,1,"[[2.0, 1.0, -3.141592653589793, 0], [2.0, 1.0, -3.141592653589793, 1]]","[[2.0, 5.0, 0.0, 0], [3.0, 5.0, -1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7388160826223691, 0.76118391715263]]",[1.0],[1.0],[0.47763216546638304],[0.522367834533616],0.8122769321068951,2.743969678878784,,,0,0,5,,
3,,,3,"[0, 0]",4.531304836273193,1,"[[2.0, 1.0, -3.141592653589793, 0], [2.0, 1.0, -4.71238898038469, 1]]","[[4.0, 5.0, 0.0, 0], [5.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.706260313595644, 0.7937396861793561]]",[1.0],[1.0],[0.41252062740316603],[0.587479372596833],0.8944271909999151,2.460344791412353,,,0,0,5,,
4,,,2,"[0, 0]",3.792537927627563,1,"[[2.0, 1.0, -4.71238898038469, 0], [1.9999999999999991, 3.0, -0.0, 1]]","[[6.0, 5.0, 1.5707963267948961, 0], [6.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.6845564675778271, 0.815443532197173]]",[1.0],[1.0],[0.36911293536102],[0.630887064638979],,,0.832050294337843,2.178156852722168,0,0,5,,
5,,,2,"[0, 0]",4.880193710327148,1,"[[1.9999999999999991, 3.0, -0.0, 0], [3.999999999999999, 3.0, -1.5707963267948961, 1]]","[[6.0, 5.0, 1.5707963267948961, 0], [6.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7281117126162261, 0.7718882871587731]]",[1.0],[1.0],[0.456223425450886],[0.543776574549113],,,0.832050294337843,2.902691602706909,0,0,5,,
6,,,2,"[0, 0]",3.7848587036132812,1,"[[3.999999999999999, 3.0, -1.5707963267948961, 0], [3.999999999999999, 3.0, 0.0, 1]]","[[6.0, 5.0, 1.5707963267948961, 0], [6.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7281117126162261, 0.7718882871587731]]",[1.0],[1.0],[0.456223425450886],[0.543776574549113],,,0.832050294337843,2.203296661376953,0,0,5,,
7,,,2,"[0, 0]",3.488430261611938,1,"[[3.999999999999999, 3.0, 0.0, 0], [3.999999999999999, 3.0, -1.5707963267948961, 1]]","[[6.0, 5.0, 1.5707963267948961, 0], [6.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.7281117126162261, 0.7718882871587731]]",[1.0],[1.0],[0.456223425450886],[0.543776574549113],,,0.832050294337843,1.8954911231994631,0,0,5,,
8,,,2,"[0, 0]",3.634434938430786,1,"[[3.999999999999999, 3.0, -1.5707963267948961, 0], [3.999999999999999, 3.0, -1.5707963267948961, 1]]","[[6.0, 5.0, 3.141592653589793, 0], [5.0, 5.0, 3.141592653589793, 1]]","[[0.499999999925, 0.499999999925], [0.749815558634043, 0.7501844411409561]]",[1.0],[1.0],[0.499631117493031],[0.5003688825069681],,,0.832050294337843,1.9519789218902581,0,0,5,,
9,,,2,"[0, 0]",3.643955469131469,1,"[[3.999999999999999, 3.0, -1.5707963267948961, 0], [3.999999999999999, 3.0, -1.5707963267948961, 1]]","[[6.0, 5.0, 3.141592653589793, 0], [6.0, 5.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.7281117126162261, 0.7718882871587731]]",[1.0],[1.0],[0.456223425450886],[0.543776574549113],,,0.832050294337843,1.9543237686157222,0,0,5,,
0,0.9578262852211511,1.009554862976074,4,"[0, 0]",4.17461371421814,1,"[[1.0, 2.0, 0.0, 0], [2.0, 2.0, 0.0, 1]]","[[1.0, 4.0, 0.0, 0], [2.0, 4.0, 1.5707963267948961, 1]]","[[0.499999999925, 0.499999999925], [0.760519928640186, 0.7394800711348131]]",[1.0],[1.0],[0.521039857508528],[0.47896014249147106],,,,,0,1,5,,
1,,,3,"[0, 0]",3.288968086242676,1,"[[2.0, 2.0, -1.5707963267948961, 0], [2.0, 1.0, -1.5707963267948961, 1]]","[[2.0, 4.0, 1.5707963267948961, 0], [2.0, 5.0, 0.0, 1]]","[[0.499999999925, 0.499999999925], [0.760519928640186, 0.7394800711348131]]",[1.0],[1.0],[0.521039857508528],[0.47896014249147106],0.843274042711567,1.096815824508667,,,0,1,5,,
