Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,486,320.9389612777141,"[1.0, 1.57]",0,0,5,0.1567741935483871
1,0,529,353.7136221659023,"[1.0, -1.57]",0,0,5,0.1706451612903226
2,0,513,341.56586605628064,"[1.0, 0.0]",0,0,5,0.16548387096774195
3,0,511,340.0203944389042,"[0.0, 1.57]",0,0,5,0.16483870967741934
4,0,487,322.019053794252,"[0.0, -1.57]",0,0,5,0.1570967741935484
5,0,574,387.7146691483396,"[0.0, 0.0]",0,0,5,0.18516129032258064
6,1,517,344.30652999679467,"[0.0, 1.57]",0,0,5,0.1667741935483871
7,1,564,379.60543579619326,"[0.0, 0.0]",0,0,5,0.18193548387096775
8,1,497,329.2284727471811,"[1.0, 1.57]",0,0,5,0.16032258064516128
9,1,504,334.4991055064448,"[1.0, -1.57]",0,0,5,0.1625806451612903
10,1,506,336.1347228702773,"[0.0, -1.57]",0,0,5,0.16322580645161291
11,1,512,340.6039769648209,"[1.0, 0.0]",0,0,5,0.16516129032258065
0,0,465,298.016832644814,"[1.0, 0.0]",1,0,5,0.15
1,0,563,370.43453965651,"[0.0, 1.57]",1,0,5,0.18161290322580645
2,0,472,303.1868011237751,"[1.0, -1.57]",1,0,5,0.15225806451612903
3,0,550,360.7236261495902,"[0.0, 0.0]",1,0,5,0.1774193548387097
4,0,487,314.1445123963168,"[1.0, 1.57]",1,0,5,0.1570967741935484
5,0,563,370.34937106962025,"[0.0, -1.57]",1,0,5,0.18161290322580645
6,1,504,330.2842775649568,"[1.0, 0.0]",1,0,5,0.1625806451612903
7,1,465,301.3073581624276,"[1.0, -1.57]",1,0,5,0.15
8,1,543,359.37738257062466,"[0.0, -1.57]",1,0,5,0.17516129032258065
9,1,529,349.02298530800425,"[0.0, 1.57]",1,0,5,0.1706451612903226
10,1,467,302.84450136740384,"[1.0, 1.57]",1,0,5,0.15064516129032257
11,1,592,396.1784962927759,"[0.0, 0.0]",1,0,5,0.19096774193548388
0,0,1015,644.3699344752127,"[0.0, -1.57]",2,0,5,0.32741935483870965
1,0,1047,666.7110536080113,"[0.0, 1.57]",2,0,5,0.337741935483871
2,0,1038,660.0074596272646,"[0.0, 0.0]",2,0,5,0.33483870967741935
3,1,566,374.69155702822,"[1.0, -1.57]",2,0,5,0.18258064516129033
4,1,478,308.8115796226159,"[0.0, -1.57]",2,0,5,0.15419354838709678
5,1,382,238.8883191393214,"[1.0, 0.0]",2,0,5,0.12322580645161291
6,1,561,370.9083951468477,"[0.0, 0.0]",2,0,5,0.18096774193548387
7,1,598,398.6500469817888,"[1.0, 1.57]",2,0,5,0.1929032258064516
8,1,515,336.7423255051679,"[0.0, 1.57]",2,0,5,0.16612903225806452
0,0,1087,498.4576415312725,"[0.0, -1.57]",3,0,5,0.3506451612903226
1,0,957,431.3653320412287,"[0.0, 0.0]",3,0,5,0.30870967741935484
2,0,1056,482.2739876896014,"[0.0, 1.57]",3,0,5,0.3406451612903226
3,1,465,219.38597336362324,"[1.0, 0.0]",3,0,5,0.15
4,1,422,195.04967139599032,"[1.0, -1.57]",3,0,5,0.13612903225806453
5,1,396,180.99499244380124,"[1.0, 1.57]",3,0,5,0.12774193548387097
6,1,642,321.1960359047282,"[0.0, 0.0]",3,0,5,0.20709677419354838
7,1,595,293.6785573437649,"[0.0, -1.57]",3,0,5,0.19193548387096773
8,1,580,285.35905657347394,"[0.0, 1.57]",3,0,5,0.1870967741935484
0,0,1198,69.31315636613807,"[0.0, -1.57]",4,0,5,0.3864516129032258
1,0,966,43.15305414636989,"[0.0, 1.57]",4,0,5,0.3116129032258064
2,0,936,39.90676915451899,"[0.0, 0.0]",4,0,5,0.30193548387096775
3,1,616,61.34832410522986,"[0.0, 0.0]",4,0,5,0.19870967741935483
4,1,481,37.68459328496292,"[0.0, 1.57]",4,0,5,0.15516129032258064
5,1,504,41.57292052418529,"[1.0, 1.57]",4,0,5,0.1625806451612903
6,1,508,42.38562248152272,"[1.0, -1.57]",4,0,5,0.1638709677419355
7,1,511,42.775023298944646,"[0.0, -1.57]",4,0,5,0.16483870967741934
8,1,480,37.48900339500225,"[1.0, 0.0]",4,0,5,0.15483870967741936
0,0,528,4.097405451680508,"[1.0, 0.0]",5,0,5,0.1703225806451613
1,0,533,4.617770106576413,"[1.0, -1.57]",5,0,5,0.17193548387096774
2,0,504,1.838338334632313,"[0.0, -1.57]",5,0,5,0.1625806451612903
3,0,523,3.706796316758618,"[1.0, 1.57]",5,0,5,0.16870967741935483
4,0,503,1.8144234896370963,"[0.0, 1.57]",5,0,5,0.16225806451612904
5,0,509,2.3285926570342657,"[0.0, 0.0]",5,0,5,0.16419354838709677
6,1,529,26.65176614466959,"[1.0, 0.0]",5,0,5,0.1706451612903226
7,1,528,26.492333844701463,"[1.0, -1.57]",5,0,5,0.1703225806451613
8,1,531,26.87762856962441,"[1.0, 1.57]",5,0,5,0.17129032258064517
9,1,505,23.3794042153242,"[0.0, 1.57]",5,0,5,0.1629032258064516
10,1,501,22.81962901043605,"[0.0, 0.0]",5,0,5,0.16161290322580646
11,1,506,23.42723390531461,"[0.0, -1.57]",5,0,5,0.16322580645161291
0,0,431,114.44523912872668,"[0.0, -1.57]",0,1,5,0.13903225806451613
1,0,540,154.4135570010643,"[1.0, -1.57]",0,1,5,0.17419354838709677
2,0,406,105.44610881637269,"[0.0, 1.57]",0,1,5,0.13096774193548388
3,0,485,134.11878532199103,"[0.0, 0.0]",0,1,5,0.15645161290322582
4,0,679,207.0229607312206,"[1.0, 0.0]",0,1,5,0.21903225806451612
5,0,559,161.65889924956917,"[1.0, 1.57]",0,1,5,0.1803225806451613
6,1,688,215.0966889172384,"[1.0, 0.0]",0,1,5,0.22193548387096773
7,1,406,108.09863787538298,"[0.0, 1.57]",0,1,5,0.13096774193548388
8,1,542,159.01677682466715,"[1.0, -1.57]",0,1,5,0.17483870967741935
9,1,416,111.89251611372342,"[0.0, -1.57]",0,1,5,0.13419354838709677
10,1,534,155.987437529815,"[1.0, 1.57]",0,1,5,0.17225806451612904
11,1,514,148.39336441384157,"[0.0, 0.0]",0,1,5,0.16580645161290322
0,0,409,93.53030818002804,"[0.0, -1.57]",1,1,5,0.13193548387096773
1,0,413,94.7506082079744,"[0.0, 1.57]",1,1,5,0.13322580645161292
2,0,690,189.2357729652117,"[1.0, 0.0]",1,1,5,0.22258064516129034
3,0,534,135.360594251308,"[1.0, -1.57]",1,1,5,0.17225806451612904
4,0,539,136.97367025886675,"[1.0, 1.57]",1,1,5,0.17387096774193547
5,0,515,128.8699974391528,"[0.0, 0.0]",1,1,5,0.16612903225806452
6,1,700,239.6063913975019,"[1.0, 0.0]",1,1,5,0.22580645161290322
7,1,396,115.75670716622643,"[0.0, 1.57]",1,1,5,0.12774193548387097
8,1,409,120.81527690267085,"[0.0, -1.57]",1,1,5,0.13193548387096773
9,1,526,167.82394586931855,"[1.0, 1.57]",1,1,5,0.1696774193548387
10,1,522,166.1366493481987,"[0.0, 0.0]",1,1,5,0.16838709677419356
11,1,547,176.3302390920753,"[1.0, -1.57]",1,1,5,0.1764516129032258
0,0,1268,265.57626582186174,"[0.0, -1.57]",2,1,5,0.40903225806451615
1,0,958,184.4032541492516,"[0.0, 0.0]",2,1,5,0.3090322580645161
2,0,874,162.83419506935283,"[0.0, 1.57]",2,1,5,0.28193548387096773
3,1,497,181.4513396728132,"[0.0, 0.0]",2,1,5,0.16032258064516128
4,1,781,313.64085945569684,"[1.0, -1.57]",2,1,5,0.25193548387096776
