timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,37.709468364715576,7,"[0, 0]",37.71236515045166,1,"[[6.0, 3.0, 3.141592653589793, 0], [6.0, 3.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [0.0, 3.0, 0.0, 1]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,0,5
1,32.89940094947815,6,"[0, 0]",32.902244329452515,2,"[[6.0, 3.0, 3.14, 1], [6.0, 3.0, 4.71, 2]]","[[1.0, 3.0, 0.0, 1], [1.0, 3.0, 0.0, 2]]","[[0.8999999998199999, 0.8999999998199999], [0.9416666664783331, 0.958333333141666]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,0,5
2,26.621484518051147,5,"[0, 0]",26.62423801422119,3,"[[6.0, 3.0, 4.71, 2], [6.0, 3.0, 6.28, 3]]","[[2.0, 3.0, 0.0, 2], [3.0, 3.0, 1.57, 3]]","[[0.8999999998199999, 0.8999999998199999], [0.924999999815, 0.974999999805]]",[1.0],[1.0],[0.25],[0.75],0,0,5
3,16.617780923843384,4,"[0, 0]",16.619778871536255,4,"[[6.0, 3.0, 6.28, 3], [6.0, 3.0, 4.71, 4]]","[[3.0, 3.0, -1.57, 3], [3.0, 3.0, -1.57, 4]]","[[0.8999999998199999, 0.8999999998199999], [0.924999999815, 0.974999999805]]",[1.0],[1.0],[0.25],[0.75],0,0,5
4,11.513949394226074,3,"[0, 0]",11.517105102539062,5,"[[6.0, 3.0, 4.71, 4], [6.0, 3.0, 3.14, 5]]","[[3.0, 2.0, -1.57, 4], [3.0, 2.0, -1.57, 5]]","[[0.8999999998199999, 0.8999999998199999], [0.9166666664833331, 0.983333333136666]]",[1.0],[1.0],[0.16666666666666602],[0.833333333333333],0,0,5
5,4.746958494186401,2,"[0, 1]",4.749844074249268,6,"[[6.0, 3.0, 3.14, 5], [5.0, 3.0, 1.57, 6]]","[[3.0, 1.0, -1.57, 5], [3.0, 0.0, 0.0, 6]]","[[0.8999999998199999, 0.8999999998199999], [0.9083333331516661, 0.9916666664683331]]",[1.0],[1.0],[0.08333333333333301],[0.9166666666666661],0,0,5
0,41.42549681663513,7,"[0, 0]",41.4292414188385,1,"[[6.0, 3.0, 3.141592653589793, 0], [5.0, 3.0, 3.14, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, 0.0, 1]]","[[0.09999999997999999, 0.09999999997999999], [0.5499999998899999, 0.5499999998899999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
1,31.321825981140137,6,"[0, 0]",31.32487201690674,2,"[[6.0, 3.0, 3.14, 1], [5.0, 3.0, 3.14, 2]]","[[1.0, 3.0, 0.0, 1], [2.0, 3.0, 0.0, 2]]","[[0.09999999997999999, 0.09999999997999999], [0.474999999904999, 0.624999999875]]",[1.0],[1.0],[0.416666666666666],[0.583333333333333],0,1,5
2,27.8503258228302,5,"[0, 0]",27.85234832763672,3,"[[6.0, 3.0, 4.71, 2], [6.0, 3.0, 3.14, 3]]","[[2.0, 3.0, 0.0, 2], [3.0, 3.0, -1.57, 3]]","[[0.09999999997999999, 0.09999999997999999], [0.324999999935, 0.774999999845]]",[1.0],[1.0],[0.25],[0.75],0,1,5
3,16.309267282485962,4,"[0, 0]",16.311418294906616,4,"[[6.0, 3.0, 6.28, 3], [6.0, 3.0, 4.71, 4]]","[[3.0, 3.0, -1.57, 3], [3.0, 2.0, -1.57, 4]]","[[0.09999999997999999, 0.09999999997999999], [0.24999999995, 0.84999999983]]",[1.0],[1.0],[0.16666666666666602],[0.833333333333333],0,1,5
4,13.577463388442993,3,"[0, 0]",13.5796377658844,5,"[[6.0, 3.0, 4.71, 4], [6.0, 3.0, 3.14, 5]]","[[3.0, 2.0, -1.57, 4], [3.0, 1.0, -1.57, 5]]","[[0.09999999997999999, 0.09999999997999999], [0.17499999996499901, 0.924999999814999]]",[1.0],[1.0],[0.08333333333333301],[0.9166666666666661],0,1,5
