Unnamed: 0,agent,num_count,sum_payoffs,action,timestep,data_of_agent,run_num,selection_value
0,0,448,247.747718146484,"[0.0, 0.0]",0,0,5,0.14451612903225808
1,0,514,290.37065262220835,"[1.0, 1.57]",0,0,5,0.16580645161290322
2,0,754,449.6358639508184,"[1.0, -1.57]",0,0,5,0.2432258064516129
3,0,495,278.2265046073047,"[0.0, 1.57]",0,0,5,0.1596774193548387
4,0,496,279.0304073887224,"[0.0, -1.57]",0,0,5,0.16
5,0,393,212.1416506948132,"[1.0, 0.0]",0,0,5,0.1267741935483871
6,1,519,293.8618081280522,"[1.0, 1.57]",0,0,5,0.16741935483870968
7,1,503,283.1904865216051,"[0.0, 1.57]",0,0,5,0.16225806451612904
8,1,443,244.4058988601298,"[1.0, 0.0]",0,0,5,0.14290322580645162
9,1,726,430.87829320107375,"[1.0, -1.57]",0,0,5,0.23419354838709677
10,1,437,240.56497888690603,"[0.0, -1.57]",0,0,5,0.14096774193548386
11,1,472,263.4115238127531,"[0.0, 0.0]",0,0,5,0.15225806451612903
0,0,613,325.2219739283754,"[1.0, 0.0]",1,0,5,0.19774193548387098
1,0,579,304.0699286233957,"[0.0, 0.0]",1,0,5,0.1867741935483871
2,0,380,184.75757898727628,"[0.0, -1.57]",1,0,5,0.12258064516129032
3,0,520,268.07480544638435,"[1.0, 1.57]",1,0,5,0.16774193548387098
4,0,504,258.4594776983075,"[1.0, -1.57]",1,0,5,0.1625806451612903
5,0,504,258.4782329541306,"[0.0, 1.57]",1,0,5,0.1625806451612903
6,1,508,261.0774509872575,"[1.0, 1.57]",1,0,5,0.1638709677419355
7,1,599,315.94540576575685,"[1.0, 0.0]",1,0,5,0.1932258064516129
8,1,478,242.77999619202424,"[1.0, -1.57]",1,0,5,0.15419354838709678
9,1,570,298.577594663968,"[0.0, 0.0]",1,0,5,0.18387096774193548
10,1,435,217.0439997197489,"[0.0, -1.57]",1,0,5,0.1403225806451613
11,1,510,262.05470905943105,"[0.0, 1.57]",1,0,5,0.16451612903225807
0,0,527,45.96554586580744,"[1.0, 1.57]",2,0,5,0.17
1,0,510,43.04590086639136,"[1.0, -1.57]",2,0,5,0.16451612903225807
2,0,619,62.44513761251165,"[0.0, 0.0]",2,0,5,0.1996774193548387
3,0,486,38.83701936723272,"[1.0, 0.0]",2,0,5,0.1567741935483871
4,0,492,39.94746861701094,"[0.0, -1.57]",2,0,5,0.15870967741935485
5,0,466,35.49911061790055,"[0.0, 1.57]",2,0,5,0.1503225806451613
6,1,493,40.077868491984944,"[1.0, -1.57]",2,0,5,0.15903225806451612
7,1,632,64.61108773707842,"[0.0, 0.0]",2,0,5,0.20387096774193547
8,1,544,48.8318827402342,"[1.0, 1.57]",2,0,5,0.17548387096774193
9,1,490,39.53822624209279,"[0.0, -1.57]",2,0,5,0.15806451612903225
10,1,472,36.35204061772976,"[1.0, 0.0]",2,0,5,0.15225806451612903
11,1,469,35.974783117805416,"[0.0, 1.57]",2,0,5,0.15129032258064515
0,0,540,15.271547621945516,"[1.0, 0.0]",3,0,5,0.17419354838709677
1,0,532,14.36366924712712,"[1.0, 1.57]",3,0,5,0.17161290322580644
2,0,539,15.234641996952917,"[1.0, -1.57]",3,0,5,0.17387096774193547
3,0,494,10.138385247972373,"[0.0, 1.57]",3,0,5,0.15935483870967743
4,0,500,10.77644249784473,"[0.0, 0.0]",3,0,5,0.16129032258064516
5,0,495,10.231059372953824,"[0.0, -1.57]",3,0,5,0.1596774193548387
6,1,538,23.709813745258053,"[1.0, 1.57]",3,0,5,0.1735483870967742
7,1,539,23.83283249523344,"[1.0, 0.0]",3,0,5,0.17387096774193547
8,1,540,24.029662495194035,"[1.0, -1.57]",3,0,5,0.17419354838709677
9,1,488,17.28659474654262,"[0.0, 1.57]",3,0,5,0.15741935483870967
10,1,499,18.73329524625335,"[0.0, 0.0]",3,0,5,0.16096774193548388
11,1,496,18.319952246335998,"[0.0, -1.57]",3,0,5,0.16
0,0,435,131.19916480497068,"[0.0, 0.0]",0,1,5,0.1403225806451613
1,0,1082,402.7908304526988,"[1.0, -1.57]",0,1,5,0.34903225806451615
2,0,496,155.69971006745527,"[1.0, 0.0]",0,1,5,0.16
3,0,319,85.98898397932999,"[0.0, 1.57]",0,1,5,0.10290322580645161
4,0,339,93.67256346163651,"[0.0, -1.57]",0,1,5,0.10935483870967742
5,0,429,128.9058525788582,"[1.0, 1.57]",0,1,5,0.13838709677419356
6,1,1132,427.7957575791567,"[1.0, -1.57]",0,1,5,0.36516129032258066
7,1,489,154.42171900565887,"[1.0, 0.0]",0,1,5,0.15774193548387097
8,1,396,117.04251662865452,"[1.0, 1.57]",0,1,5,0.12774193548387097
9,1,334,92.70737663027984,"[0.0, -1.57]",0,1,5,0.10774193548387097
10,1,446,137.0347422399083,"[0.0, 0.0]",0,1,5,0.14387096774193547
11,1,303,80.79907275898326,"[0.0, 1.57]",0,1,5,0.09774193548387097
0,0,463,139.90957256128277,"[0.0, 0.0]",1,1,5,0.14935483870967742
1,0,287,72.20581249245346,"[0.0, 1.57]",1,1,5,0.09258064516129032
2,0,1011,366.4381780517122,"[1.0, 0.0]",1,1,5,0.3261290322580645
3,0,550,174.67601373106257,"[1.0, 1.57]",1,1,5,0.1774193548387097
4,0,562,179.4103312733281,"[1.0, -1.57]",1,1,5,0.18129032258064517
5,0,227,50.39545771360515,"[0.0, -1.57]",1,1,5,0.0732258064516129
6,1,455,137.23164328550246,"[0.0, 0.0]",1,1,5,0.14677419354838708
7,1,553,176.52976451074636,"[1.0, -1.57]",1,1,5,0.17838709677419354
8,1,217,47.03183116538492,"[0.0, -1.57]",1,1,5,0.07
9,1,976,352.7648057254993,"[1.0, 0.0]",1,1,5,0.31483870967741934
10,1,594,193.2309818495115,"[1.0, 1.57]",1,1,5,0.19161290322580646
11,1,305,79.2283137862033,"[0.0, 1.57]",1,1,5,0.09838709677419355
0,0,528,147.62933434547418,"[1.0, 1.57]",2,1,5,0.1703225806451613
1,0,1057,349.8315175550336,"[1.0, 0.0]",2,1,5,0.34096774193548385
2,0,532,149.1575917201685,"[1.0, -1.57]",2,1,5,0.17161290322580644
3,0,297,65.79744411184055,"[0.0, 1.57]",2,1,5,0.09580645161290323
4,0,282,60.71449161285717,"[0.0, -1.57]",2,1,5,0.09096774193548388
5,0,404,102.8173398544366,"[0.0, 0.0]",2,1,5,0.13032258064516128
6,1,289,62.80334998743943,"[0.0, 1.57]",2,1,5,0.09322580645161291
7,1,438,114.45965210210814,"[0.0, 0.0]",2,1,5,0.14129032258064517
8,1,278,59.19215736316162,"[0.0, -1.57]",2,1,5,0.08967741935483871
9,1,1063,351.2380319297524,"[1.0, 0.0]",2,1,5,0.3429032258064516
10,1,513,141.75660147164874,"[1.0, 1.57]",2,1,5,0.16548387096774195
11,1,519,143.97358159620526,"[1.0, -1.57]",2,1,5,0.16741935483870968
0,0,679,155.59985584387837,"[1.0, 1.57]",3,1,5,0.21903225806451612
1,0,313,48.892571990221285,"[0.0, -1.57]",3,1,5,0.10096774193548387
2,0,747,176.57045208968418,"[1.0, 0.0]",3,1,5,0.24096774193548387
3,0,326,52.4921006145014,"[0.0, 1.57]",3,1,5,0.10516129032258065
4,0,676,154.64851084406862,"[1.0, -1.57]",3,1,5,0.21806451612903227
5,0,359,61.48395111270304,"[0.0, 0.0]",3,1,5,0.11580645161290322
6,1,328,103.42924422931432,"[0.0, 0.0]",3,1,5,0.10580645161290322
7,1,761,297.754582440448,"[1.0, 0.0]",3,1,5,0.24548387096774194
8,1,767,300.55940993988685,"[1.0, -1.57]",3,1,5,0.24741935483870967
9,1,758,296.4259799407137,"[1.0, 1.57]",3,1,5,0.24451612903225806
10,1,243,67.75708723644874,"[0.0, -1.57]",3,1,5,0.07838709677419355
11,1,243,67.88912736142227,"[0.0, 1.57]",3,1,5,0.07838709677419355
0,0,440,241.444887244054,"[1.0, 0.0]",0,0,8,0.14193548387096774
1,0,692,406.5274300708101,"[1.0, -1.57]",0,0,8,0.2232258064516129
2,0,517,291.5865664578264,"[0.0, 1.57]",0,0,8,0.1667741935483871
3,0,540,306.06732130604166,"[1.0, 1.57]",0,0,8,0.17419354838709677
4,0,442,242.7011293294643,"[0.0, 0.0]",0,0,8,0.14258064516129032
5,0,469,260.1499375661911,"[0.0, -1.57]",0,0,8,0.15129032258064515
