timestep,runtime,game_length,winner,runtime_selfplay,T_terminal,trajectory_0,trajectory_1,payoff_total,coll_payoff_0,coll_payoff_1,final_lead_payoff_0,final_lead_payoff_1,collisions,data_of_agent,run_num
0,94.054927110672,5,"[0, 0]",94.06458401679993,1,"[[2.0, 3.0, 3.141592653589793, 0], [1.0, 3.0, 1.57, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, -1.57, 1]]","[[0.0, 0.0], [0.049999999989999995, 0.049999999989999995]]",[0.0],[0.0],[0.5],[0.5],1,0,5
1,68.01650214195251,4,"[0, 0]",68.02177619934082,2,"[[1.0, 3.0, 1.57, 1], [1.0, 4.0, 1.57, 2]]","[[1.0, 3.0, -1.57, 1], [1.0, 2.0, -1.57, 2]]","[[0.0, 0.0], [0.049999999989999995, 0.049999999989999995]]",[0.0],[0.0],[0.5],[0.5],1,0,5
2,39.48195433616638,3,"[0, 0]",39.48777794837952,3,"[[1.0, 4.0, 1.57, 2], [1.0, 4.0, 1.57, 3]]","[[1.0, 2.0, -1.57, 2], [1.0, 2.0, -1.57, 3]]","[[0.8999999998199999, 0.8999999998199999], [0.9499999998099999, 0.9499999998099999]]",[1.0],[1.0],[0.5],[0.5],0,0,5
3,15.03309154510498,2,"[0, 1]",15.044713258743286,4,"[[1.0, 4.0, 1.57, 3], [1.0, 5.0, 1.57, 4]]","[[1.0, 1.0, -1.57, 3], [1.0, 0.0, -3.14, 4]]","[[0.8999999998199999, 0.8999999998199999], [0.9374999998125, 0.9624999998075]]",[1.0],[1.0],[0.375],[0.625],0,0,5
0,84.83362555503845,5,"[0, 0]",84.841628074646,1,"[[2.0, 3.0, 3.141592653589793, 0], [1.0, 3.0, 1.57, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, -1.57, 1]]","[[0.0, 0.0], [0.44999999990999995, 0.44999999990999995]]",[0.0],[0.0],[0.5],[0.5],1,1,5
1,64.82964158058167,4,"[0, 0]",64.8383264541626,2,"[[1.0, 3.0, 1.57, 1], [1.0, 4.0, 1.57, 2]]","[[1.0, 3.0, -1.57, 1], [1.0, 2.0, -1.57, 2]]","[[0.0, 0.0], [0.44999999990999995, 0.44999999990999995]]",[0.0],[0.0],[0.5],[0.5],1,1,5
2,33.76397681236267,3,"[0, 0]",33.771742820739746,3,"[[1.0, 4.0, 1.57, 2], [1.0, 5.0, 1.57, 3]]","[[1.0, 2.0, -1.57, 2], [1.0, 1.0, -1.57, 3]]","[[0.09999999997999999, 0.09999999997999999], [0.5499999998899999, 0.5499999998899999]]",[1.0],[1.0],[0.5],[0.5],0,1,5
3,14.200042009353638,2,"[0, 1]",14.210163116455078,4,"[[1.0, 4.0, 1.57, 3], [1.0, 5.0, 1.57, 4]]","[[1.0, 1.0, -1.57, 3], [1.0, 0.0, -3.14, 4]]","[[0.09999999997999999, 0.09999999997999999], [0.4374999999125, 0.6624999998675]]",[1.0],[1.0],[0.375],[0.625],0,1,5
0,84.17208862304688,5,"[0, 0]",84.18358492851257,1,"[[2.0, 3.0, 3.141592653589793, 0], [1.0, 3.0, 1.57, 1]]","[[0.0, 3.0, 0.0, 0], [1.0, 3.0, -1.57, 1]]","[[0.0, 0.0], [0.049999999989999995, 0.049999999989999995]]",[0.0],[0.0],[0.5],[0.5],1,0,8
1,56.476800203323364,4,"[0, 0]",56.48529863357544,2,"[[1.0, 3.0, 1.57, 1], [1.0, 3.0, 1.57, 2]]","[[1.0, 3.0, -1.57, 1], [1.0, 2.0, -1.57, 2]]","[[0.0, 0.0], [0.0374999999925, 0.0624999999875]]",[0.0],[0.0],[0.375],[0.625],1,0,8
